序号	键值	数值
1777	SoulLevelDamageRuleB1	1000
1778	SoulLevelDamageRuleB2	80
1779	SoulLevelDamageRuleB3	2000
1780	QuickFinishSoulDedalDropBoxId	10275
1781	SoulDedalProtoId	1998
1782	PopularityGotoLuck	FestivalActivityPanel;25009,77
1783	StarDoorMinPlayer	3
1784	StarDoorDropNumber	1
1785	StarDoorMaxNumber	3
1786	StarDoorBuyNumber	4
1787	StarDoorBuyGold	2,1000;2,5000;2,25000;2,100000
1788	StarDooreffectid	5910014
1789	StarDooreffecttime	5
1790	StarDoorHome	58
1791	StarDoorMaxMonster	100
1792	StarDoorMaxTime	360
1793	StarDoorOutTime	10
1794	StarDoorBeforeTime	3
1795	StarDoorEffectCameraPoint	16.50104f, 16.88756f, 7.990116f
1796	StarDoorEffectCameraAngle	36.647f, -119.082f, 0
1797	StarDoorEffectCameraDistance	200
1798	MercenaryArrayPointSkillType	1,2
1799	MercenaryArrayPointLuckyType	3
1800	ShowEquipSkillStoneEffectLv	5
1801	CompanionablyInviteLimit	15
1802	CompanionablyTimeLimit	2023-03-03-09:00:00;2023-03-17-05:00:00
1803	CompanionablySwitch	1
1804	CompanionablyServerList	239,239
1805	MonthPveScoreItemId	item178100000001
1806	MonthRacingDialyAward	item101200000016,60
1807	MonthRacingBlazerStartTime	561600
1808	MonthRacingBlazerFirstClearTeamAward	item178100000001,5000;item178100000004,1
1809	MonthRacingBlazerFirstClearServerAward	item178100000005,1
1810	MonthRacingTeamRankFirstAward	item178100000005,1
1811	MonthRacingTeamRankFirstAwardTimes	7
1812	MonthRacingBlazerDiffReduceLimit	50
1813	MonthRacingPersonalFirstCalTime	604800
1814	MonthRacingPersonalCalInterval	604800
1815	MonthRacingPersonalCalNum	2
1816	MonthPveLeaveTime	9
1817	MonthPveTeamFightMemberNum	3
1818	MonthRacingBalDelayTime	1200
1819	MonthRacingBlazerCloneSceneTime	3600
1820	SailSeasonBossMaxHP	10000
1821	SkillGemChipItemGainWay	25;23;111;122;2015;14;3;26;105;1455
1822	SkillGemUpgradeMaterial	item17909000000001,100;item17909000000002,500;item17909000000003,2000
1823	SkillGemMaxAdvancedLevel	6
1824	SkillGemPieceBagLimit	570,10
1825	ExShiledDecTime	1
1826	ExShiledDecLeast	500
1827	StarSparkleSeaRankTitleInfo	CrossServerStarSparkleMainPanel_Rank_Rank,135;CrossServerStarSparkleMainPanel_Rank_Role,135;CrossServerStarSparkleMainPanel_Rank_Server,135;CrossServerStarSparkleMainPanel_Rank_Score,135;CrossServerStarSparkleMainPanel_Rank_Result,135
1828	StarSparkleGroupRankTitleInfo	CrossServerStarSparkleMainPanel_Rank_Rank,112;CrossServerStarSparkleMainPanel_Rank_Role,112;CrossServerStarSparkleMainPanel_Rank_Server,112;CrossServerStarSparkleMainPanel_Rank_Win,112;CrossServerStarSparkleMainPanel_Rank_Score,112;CrossServerStarSparkleMainPanel_Rank_Result,112
1829	StarSparkleHistoryRankTitleInfo	StarSparkleHistoryRankPanel_Role,200;StarSparkleHistoryRankPanel_Profession,150;StarSparkleHistoryRankPanel_Fight,200;StarSparkleHistoryRankPanel_Server,200
1830	StarSparkleSeaRankResultTitleInfo	StarSparkleRankResultPanel_Rank,135;StarSparkleRankResultPanel_Role,200;StarSparkleRankResultPanel_Server,200;StarSparkleRankResultPanel_Score,135;StarSparkleRankResultPanel_Result,135
1831	StarSparkleGroupRankResultTitleInfo	StarSparkleRankResultPanel_Rank,135;StarSparkleRankResultPanel_Role,135;StarSparkleRankResultPanel_Server,135;StarSparkleRankResultPanel_Win,135;StarSparkleRankResultPanel_Score,135;StarSparkleRankResultPanel_Result,135
1832	StarSparkleRankResultLeaveTime	10
1833	StarSparkleVotePanelVoteRate	2
1834	StarSparkleVotePanelVoteCostId	item1000
1835	StarSparkleVotePanelVoteCostMaxNum	500000
1836	StarSparkleRedEnvelopeDays	7
1837	StarSparkleWaitProtoId	1083
1838	StarSparkleWaitRoomLimit	75
1839	StarSparkleAuditionBattlePlayerLimit	50
1840	StarSparkleAuditionPrePromotedNum	2
1841	StarSparkleAuditionSession	4
1842	StarSparkleGroupPlayerNum1	5
1843	StarSparkleGroupPlayerNum2	4
1844	StarSparkleGroupMinPromotedNum	2
1845	StarSparkleNoticeHalfTime	300
1846	StarSparkleNoticeNearByTime	540
1847	StarSparkleEliminateMaxNum	32
1848	StarSparkleMinSignNum	32
1849	StarSparkleEliminateFightReadyTime	10
1850	StarSparkleCloseTime	30
1851	StarSparkleRoundOverTime	60
1852	StarSparkleSignOverTime	30
1853	StarSparkleDelayKickAllTime1	9
1854	StarSparkleDelayKickAllTime2	15
1855	StarSparkleRedEnvelope	item1014,100
1856	StarLightFightEliminateMateSeed	1,32;8,25;12,21;16,17;3,30;6,27;10,23;14,19;2,31;7,26;11,22;15,18;4,29;5,28;9,24;13,20
1857	StarSparkleSignReward	item1014,100
1858	StarSparkleReviveProtectTime	8
1859	StarSparkleReadyTimeoutTime	50
1860	StarSparkleKeepTime	3600
1861	ExpBackTimeRepair1	1,2021-06-17-05:00:00;2,2021-06-04-05:00:00;3,2021-06-22-05:00:00;4,2021-06-16-05:00:00;5,2021-06-23-05:00:00;6,2021-06-17-05:00:00
1862	ArrowTaskEffectId	1790004
1863	StarDoorWipeOut	1
1864	CoupleAutoAgreeJoinTeam	10000
1865	QuestionnaireSurveyAppId	
1866	QuestionnaireSurveyQnId	
1867	QuestionnaireSurveyKey	
1868	MergeTargetLevelRank	20
1869	MergeActiveLimit	100
1870	BackTargetLevelRank	20
1871	OpenActivitySummonsBottleScene	2
1872	SummonsBottleProtectInformation	30,3
1873	ActivitySummonsBottleMailReward	item91000001411,1;item91000001412,1
1874	SummonsBottleMonsterLive	10
1875	PlayerReturnTimeAgain	16
1876	UJoySDKTrackLevels	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,25,40,45,50,60,65,70
1877	PlayerReturnRegionId	11002
1878	EnvoyCd	60
1879	EnvoySkillItemBoxCapacity	100
1880	EnvoyDmageDin	POIDIN;FIREDIN;HOLYDIN;ARCDIN;PHYDIN
1881	EnvoyDmageDRE	POIDRE;FIREDRE;HOLYDRE;ARCDRE;PHYDRE
1882	EnvoyGetItemWay	479;28;1501::item18000000000016;3000
1883	EnvoySkillMaterialExpExchange	item105900000047,1
1884	EnvoySoulGemReturnRatio	8000
1885	RecoverEnvoyPerOnBattle	10000
1886	EnvoyResloveRateUpLevel	10000
1887	EnvoyResloveRateAdvance	10000
1888	EnvoyRebitrhUpLevel	10000
1889	EnvoyRebitrhAdvance	10000
1890	EnvoyNameMaxNameLenght	6
1891	EnvoyLevelUpCoinCost	100
1892	EnvoyEquipBagCapacity	400
1893	EnvoyRecoverInterval	5
1894	EnvoyEquipBagLimitTips	EnvoyEquip_Bag_Notice
1895	EnvoySkillMaxSkillCol	6
1896	EnvoySkillColUnlockCost	1,0;1,0;1,1000000;1,1000000;1,2000000;1,2000000
1897	EnvoySkillColVirtualNameLength	4
1898	EnvoyEquipBagShortNoticeNum	360,370,380,390,400
1899	EnvoyBefallSkillId	skill120000
1900	EnvoyItemReturn	item19300000000003
1901	NewplayerendStory	10000020
1902	OfflineArrow	3
1903	EnvoyWeightCpValue	5
1904	EnvoySkillSlotCount	5
1905	EnvoyGrowPointPropId	3,4,301,302,331
1906	EnvoyEquipGainWay	197;28;14;1501::item18000000000012;3000
1907	EnvoyDungeonPublicTimes	1
1908	EnvoyModelSize	0.9
1909	EnvoyModelPos	0,-0.1,0
1910	EnvoyShieldOffset	3333
1911	XyThiradExchangeGameId	e28ab2901c3b168961deb2a2f29fbaea
1912	XyThiradExchangeRate	100
1913	IgnoreNotchDiviceInfolList	samsung SM-F916N
1914	SailSeasonRankShowOff	1
1915	EnvoyEmblemBackpackCapacity	200
1916	EnvoyEmblemWay	122;1457;30;143
1917	EnvoyEmblemResloveRate	8000
1918	EnvoyEmblemResloveMaxNum	15
1919	TraranPlayerSolider	soldier_npc_10052
1920	TraranRandomMap	10;20;30
1921	TraranTeamMember	5
1922	TraranSoldierTeamAttrShow	1;3;4;11;12;13;21;22;23;24;25;26;29;30;31;32;33;34;35;51;52;66;67;75;79;83;105;112;173;174;206
1923	TranranDailyTreasure	3
1924	TraranTreasureSelectPanelLeaveTime	3
1925	TraranTreasureSelectPanelSelectTime	30
1926	TraranSoldierEquip	3
1927	TraranSoliderSkill	3
1928	TraranGolden	0
1929	TraranMonsterDebuff	301
1930	TranranEliteDebuff	302
1931	TraranSoliderLevel	70;1;1
1932	MergeAreaActiveLimit	100
1933	MergeAreaTargetServer	70
1934	MergeAreaToStopOtherServer	10004
1935	MergeServerStopArea	10005
1936	MergeAreaStopReturnReward	1101
1937	CloseMergeServerOpposeToArea	1
1938	MergeAreaMaxChaseDay	5
1939	FairyShowTipPerspectiveModel	ride_195,ride_210,ride_212
1940	PVSDamage	0.15
1941	SVPDamage	0.15
1942	WishTreeEffLastTime	3
1943	StrenthenStoneId	item103010121003
1944	MercenaryTenGiftBagId	item90000000129
1945	SoldierLotteryFirstFloorsTimes	30
1946	MontherCardLimitBuy	501,5;502,1;504,1;505,1;512,1;514,5;516,5
1947	MemberShipLimitBuy	501,5;502,1;504,1;505,1;512,1;514,5;516,5
1948	MultiDuelWin	10.5
1949	MultiDuelFailure	4.5
1950	MultiDuelModulus	1000000
1951	SoldierNpcPageNum	0,1;1,70
1952	DivineStoneBagMaxCount	200
1953	DivineStoneBagGainWay	496
1954	DivineStonePlanNum	10
1955	DivineStoneUnlockCost	1,0;1,0;1,100000;1,200000;1,500000;1,1000000;1,2000000;1,2000000;1,2000000;1,2000000
1956	MaxDivineStonePlanNameLenght	4
1957	DivineStoneExchangeDropId	26187
1958	DivineStoneExpGainWay	494
1959	FairyCastlePropValue	
1960	DivineStoneSelectPanelGainWay	496
1961	HideRollSkillScenes	48;41
1962	FairyCastleBlessCloseTime	60
1963	FairyCastleBattleCloseTime	20
1964	FairyCastleEffectCloseTime	5
1965	FairyCastleFinishCloseTime	20
1966	FairyCastleEventSelectFinishCloseTime	60
1967	FairyCastleEventReviveHP	10000
1968	FairyCastleBuffId	skill40409::buff_13
1969	HeadProtraitFrameIcon	frame710
1970	ApprenticeClothes	3000
1971	ApprenticeReleaseItemReturn	item127000063001
1972	ApprenticeNameMaxNameLenght	6
1973	ApprenticeRecruitNpcPosition	41;npc_apprentice
1974	ApprenticeNpcStartPos	-20.4,-2.2,-79.7;-15.6,-2.2,-78.9;-17.4,-2.2,-82.6;-16.9,-2.4,-85.8;-14,-2.3,-81.3;-21.2,-2.2,-82.7;-13.5,-2.5,-82.9;-21.5,-2.3,-85.1
1975	ApprenticeNpcTargetPos	-7.1,-1.7,-68.4
1976	ApprenticeNpcOrientation	5;5;5;5;95;95;95;95
1977	ApprenticeNpcMoveSpeed	3
1978	ApprenticeRecruitUpgradeIcon	recruit
1979	ApprenticeGetItemWay	508
1980	ApprenticeReducedIntimacy	1,0;2,20;3,50;4,80;5,120;6,200
1981	ApprenticeRebitrhUpLevel	10000
1982	ApprenticeRebitrhSpeciality	5000
1983	ApprenticeTiceSkillReturn	10000
1984	ApprenticePropItemGainWay	3000
1985	MaxFollowApprenticeMaxNum	5
1986	ApprenticeSkillFragment	120
1987	ApprenticeSkillupgradeEff	10040
1988	ApprenticeSlotUnlockEff	10346
1989	ApprenticeFavouriteDouble	2
1990	ApprenticeLikeDouble	1.5
1991	ApprenticeAlbumMax	5
1992	FairyCastleOccupyMachineTime	5
1993	FairyCastleOccupyEffectId	5910008
1994	FairyCastleOccupyEffectScale	0.4
1995	FairyCastleOccupyEffSymbolColor	0,0.15,0.48,1
1996	FairyCastleOccupyEffCursorColor	0.23,0.36,1,1
1997	ApprenticeGiftReceive	28000
1998	ApprenticeGiftTime	5
1999	ApprenticeGiftLimit	3
2000	ApprenticeHomeLandNpcPos	-13.5,0.7,-58.3;-3.8,0.7,-60.1;5.6,0.7,-56.6;-8.7,0.7,-49.1
2001	ApprenticeHomeLandNpcRadius	5
2002	ApprenticeSkillCd	30
2003	ApprenticeSkillCdGroup	500111
2004	FairyUpgradeCDTime	50
2005	ApprenticeSkillObtain	500
2006	ApprenticeSkillFragmentObtain	500
2007	ApprenticeSkillFragmentTips	110,10
2008	ApprenticeSlotUnlockEff2	10347
2009	ApprenticeSlotUnlockEff3	10348
2010	MauDungeonEnterEffectId	10356
2011	ApprenticeFashionPageOpen	1
2012	ControlGuildName	塞尔公会
2013	ControlAdventureName	塞尔冒险小队
2014	ControlKingTowerName	王者之塔小队
2015	ControlGuildSign	每天都上线活跃
2016	NationFilterNameOpen	0
2017	ControlPersonalTeamName	大服预约小队
2018	NewtwSevernumber	101998
2019	CrystalRebateEffectId1	10357
2020	FastLevelLimit	40
2021	TWInheritItem	item92000000545,1
2022	TWInheritItemExperience	500
2023	TWInheritItemTalentExperience	500
2024	TWPowerexchangeLooks	200
2025	TWPowerexchangeLooksCoin	item11003
2026	TWPowerexchangepowerCoin	item11002
2027	ApprenticeMaxStayTime	10
2028	TreasurehuntPuzzleEff	10358
2029	TreasurehuntBossQuantity	10
2030	TreasurehuntRefreshTime	300
2031	TreasurehuntSceneList	1,10;4,10;3,10
2032	TreasurehuntUnopenedRecoveryTime	600
2033	TreasurehuntOpenedRecoveryTime	780
2034	StarLightReminderPopover	120
2035	BattlePassDivideDay	28
2036	MonthRacingDifficultyCoefficient	0.1
2037	ActivityThemeShop	LinkUI:OpenServerActivityPanel;22036;21
2038	DistrictRechargeSwitch	0
2039	SoldierStaticWeightNum	50
2040	SoldierNormalGroupWeight	9800
2041	SoldierSpecialGroupWeight	200
2042	DropSpeedUpOpenLevel	40,70
2043	DropSpeedUpOpenWorldLevel	40,110
2044	SoldierBiasedMaxNum	2
2045	ElementalQueueGroupMaxLevel	10
2046	ElementalEquipRefineExp	item127000065100,20;item127000065101,200;item127000065102,2500
2047	ElementalEquipAdvancedCostBase	1,20
2048	ElementalEquipBagNum	400
2049	ElementalEquipGainWay	3000
2050	ElementalImprintBagNum	400
2051	ElementalImprintReturn	10000
2052	ElementalImprintClearReturn	5000
2053	ElementalImprintGainWay	3000
2054	ElementalSpiritBattlePlan	4
2055	ElementalSpiritBattleUnlockCost	1,0;1,0;1,1000000;1,1000000
2056	ElementalShieldMultipleDmg	3333
2057	ElementalSummonCommonCD	5
2058	ElementalCriticalDemPerRange	0,10000
2059	ElementalCriticalDemRange	12000,30000
2060	ElementalLetterRange	0,100000
2061	ElementalMinRate	100
2062	ElementalFloatRange	9500,10500
2063	ElementalResolve	10000
2064	ElementalReborn	10000
2065	ElementalGradeRatio	10000
2066	MaxElementalQueuePanelNameLength	5
2067	NewShareRewardItemList	item175000120001,1;item175000120002,2;item175000120003,3;item175000120004,4
2068	ElementalSpiritReleaseItemReturn	item128000032001
2069	ElementalSpiritNameMaxNameLenght	6
2070	ElementalSpiritModeOffset	0,-0.1,0
2071	ElementalSpiritModeScale	0.9
2072	ElementTrialLevel	85
2073	LevelUpIsOpen	0
2074	elementalCubeChallengeTimes	3
2075	ElementTrialAssitEffect	1830242
2076	ElementalDefault	elemental_npc_3001
2077	ElementalSpiritGetItemWay	5263000
2078	ElementTrialActivity	0
2079	ElementTrialNum	3
2080	PlayerReturnItemMaxNum	9999
