流水id	技能宝石	进阶等级	最大等级	收集属性倍率	镶嵌属性倍率	收集额外属性	镶嵌额外属性	技能效果评分	突破所需材料	进阶需求货币数量
693	40103001	6	140	0.000000	2.000000	4,101;23,337	4,216;1,2164;23,721;22,721	600		
694	40104001	0	20	0.000000	1.000000	1,450;24,150	3,70;1,700;24,233;25,233	300	item17902040104001,10	item1000,250000
695	40104001	1	40	0.000000	1.170000	1,510;24,170	3,80;1,800;24,266;25,266	350	item17902040104001,20	item1000,500000
696	40104001	2	60	0.000000	1.330000	1,590;24,197	3,93;1,938;24,312;25,312	400	item17902040104001,40	item1000,750000
697	40104001	3	80	0.000000	1.500000	1,654;24,218	3,113;1,1133;24,377;25,377	450	item17902040104001,70	item1000,1000000
698	40104001	4	100	0.000000	1.670000	1,744;24,248	3,139;1,1396;24,465;25,465	500	item17902040104001,110	item1000,1250000
699	40104001	5	120	0.000000	1.830000	1,862;24,288	3,173;1,1734;24,578;25,578	550	item17902040104001,160	item1000,1500000
700	40104001	6	140	0.000000	2.000000	1,1010;24,337	3,216;1,2164;24,721;25,721	600		
701	40105001	0	20	0.000000	1.000000	4,45;26,150	4,70;1,700;23,233;26,233	300	item17902040105001,10	item1000,250000
702	40105001	1	40	0.000000	1.170000	4,51;26,170	4,80;1,800;23,266;26,266	350	item17902040105001,20	item1000,500000
703	40105001	2	60	0.000000	1.330000	4,59;26,197	4,93;1,938;23,312;26,312	400	item17902040105001,40	item1000,750000
704	40105001	3	80	0.000000	1.500000	4,66;26,218	4,113;1,1133;23,377;26,377	450	item17902040105001,70	item1000,1000000
705	40105001	4	100	0.000000	1.670000	4,75;26,248	4,139;1,1396;23,465;26,465	500	item17902040105001,110	item1000,1250000
706	40105001	5	120	0.000000	1.830000	4,87;26,288	4,173;1,1734;23,578;26,578	550	item17902040105001,160	item1000,1500000
707	40105001	6	140	0.000000	2.000000	4,101;26,337	4,216;1,2164;23,721;26,721	600		
708	40106001	0	20	0.000000	1.000000	4,45;21,150	3,70;4,70;24,233;21,233	300	item17902040106001,10	item1000,250000
709	40106001	1	40	0.000000	1.170000	4,51;21,170	3,80;4,80;24,266;21,266	350	item17902040106001,20	item1000,500000
710	40106001	2	60	0.000000	1.330000	4,59;21,197	3,93;4,93;24,312;21,312	400	item17902040106001,40	item1000,750000
711	40106001	3	80	0.000000	1.500000	4,66;21,218	3,113;4,113;24,377;21,377	450	item17902040106001,70	item1000,1000000
712	40106001	4	100	0.000000	1.670000	4,75;21,248	3,139;4,139;24,465;21,465	500	item17902040106001,110	item1000,1250000
713	40106001	5	120	0.000000	1.830000	4,87;21,288	3,173;4,173;24,578;21,578	550	item17902040106001,160	item1000,1500000
714	40106001	6	140	0.000000	2.000000	4,101;21,337	3,216;4,216;24,721;21,721	600		
715	40107001	0	20	0.000000	1.000000	3,45;22,150	3,70;1,700;25,233;22,233	300	item17902040107001,10	item1000,250000
716	40107001	1	40	0.000000	1.170000	3,51;22,170	3,80;1,800;25,266;22,266	350	item17902040107001,20	item1000,500000
717	40107001	2	60	0.000000	1.330000	3,59;22,197	3,93;1,938;25,312;22,312	400	item17902040107001,40	item1000,750000
718	40107001	3	80	0.000000	1.500000	3,66;22,218	3,113;1,1133;25,377;22,377	450	item17902040107001,70	item1000,1000000
719	40107001	4	100	0.000000	1.670000	3,75;22,248	3,139;1,1396;25,465;22,465	500	item17902040107001,110	item1000,1250000
720	40107001	5	120	0.000000	1.830000	3,87;22,288	3,173;1,1734;25,578;22,578	550	item17902040107001,160	item1000,1500000
721	40107001	6	140	0.000000	2.000000	3,101;22,337	3,216;1,2164;25,721;22,721	600		
722	40108001	0	20	0.000000	1.000000	3,45;25,150	3,70;1,700;25,233;22,233	300	item17902040108001,10	item1000,250000
723	40108001	1	40	0.000000	1.170000	3,51;25,170	3,80;1,800;25,266;22,266	350	item17902040108001,20	item1000,500000
724	40108001	2	60	0.000000	1.330000	3,59;25,197	3,93;1,938;25,312;22,312	400	item17902040108001,40	item1000,750000
725	40108001	3	80	0.000000	1.500000	3,66;25,218	3,113;1,1133;25,377;22,377	450	item17902040108001,70	item1000,1000000
726	40108001	4	100	0.000000	1.670000	3,75;25,248	3,139;1,1396;25,465;22,465	500	item17902040108001,110	item1000,1250000
727	40108001	5	120	0.000000	1.830000	3,87;25,288	3,173;1,1734;25,578;22,578	550	item17902040108001,160	item1000,1500000
728	40108001	6	140	0.000000	2.000000	3,101;25,337	3,216;1,2164;25,721;22,721	600		
729	40201001	0	20	0.000000	1.000000	1,450;26,150	4,70;1,700;26,233;21,233	300	item17902040201001,10	item1000,250000
730	40201001	1	40	0.000000	1.170000	1,510;26,170	4,80;1,800;26,266;21,266	350	item17902040201001,20	item1000,500000
731	40201001	2	60	0.000000	1.330000	1,590;26,197	4,93;1,938;26,312;21,312	400	item17902040201001,40	item1000,750000
732	40201001	3	80	0.000000	1.500000	1,654;26,218	4,113;1,1133;26,377;21,377	450	item17902040201001,70	item1000,1000000
733	40201001	4	100	0.000000	1.670000	1,744;26,248	4,139;1,1396;26,465;21,465	500	item17902040201001,110	item1000,1250000
734	40201001	5	120	0.000000	1.830000	1,862;26,288	4,173;1,1734;26,578;21,578	550	item17902040201001,160	item1000,1500000
735	40201001	6	140	0.000000	2.000000	1,1010;26,337	4,216;1,2164;26,721;21,721	600		
736	40202001	0	20	0.000000	1.000000	1,450;24,150	4,70;1,700;24,233;21,233	300	item17902040202001,10	item1000,250000
737	40202001	1	40	0.000000	1.170000	1,510;24,170	4,80;1,800;24,266;21,266	350	item17902040202001,20	item1000,500000
738	40202001	2	60	0.000000	1.330000	1,590;24,197	4,93;1,938;24,312;21,312	400	item17902040202001,40	item1000,750000
739	40202001	3	80	0.000000	1.500000	1,654;24,218	4,113;1,1133;24,377;21,377	450	item17902040202001,70	item1000,1000000
740	40202001	4	100	0.000000	1.670000	1,744;24,248	4,139;1,1396;24,465;21,465	500	item17902040202001,110	item1000,1250000
741	40202001	5	120	0.000000	1.830000	1,862;24,288	4,173;1,1734;24,578;21,578	550	item17902040202001,160	item1000,1500000
742	40202001	6	140	0.000000	2.000000	1,1010;24,337	4,216;1,2164;24,721;21,721	600		
743	40203001	0	20	0.000000	1.000000	4,45;23,150	4,70;1,700;23,233;22,233	300	item17902040203001,10	item1000,250000
744	40203001	1	40	0.000000	1.170000	4,51;23,170	4,80;1,800;23,266;22,266	350	item17902040203001,20	item1000,500000
745	40203001	2	60	0.000000	1.330000	4,59;23,197	4,93;1,938;23,312;22,312	400	item17902040203001,40	item1000,750000
746	40203001	3	80	0.000000	1.500000	4,66;23,218	4,113;1,1133;23,377;22,377	450	item17902040203001,70	item1000,1000000
747	40203001	4	100	0.000000	1.670000	4,75;23,248	4,139;1,1396;23,465;22,465	500	item17902040203001,110	item1000,1250000
748	40203001	5	120	0.000000	1.830000	4,87;23,288	4,173;1,1734;23,578;22,578	550	item17902040203001,160	item1000,1500000
749	40203001	6	140	0.000000	2.000000	4,101;23,337	4,216;1,2164;23,721;22,721	600		
750	40204001	0	20	0.000000	1.000000	1,450;24,150	3,70;1,700;24,233;25,233	300	item17902040204001,10	item1000,250000
751	40204001	1	40	0.000000	1.170000	1,510;24,170	3,80;1,800;24,266;25,266	350	item17902040204001,20	item1000,500000
752	40204001	2	60	0.000000	1.330000	1,590;24,197	3,93;1,938;24,312;25,312	400	item17902040204001,40	item1000,750000
753	40204001	3	80	0.000000	1.500000	1,654;24,218	3,113;1,1133;24,377;25,377	450	item17902040204001,70	item1000,1000000
754	40204001	4	100	0.000000	1.670000	1,744;24,248	3,139;1,1396;24,465;25,465	500	item17902040204001,110	item1000,1250000
755	40204001	5	120	0.000000	1.830000	1,862;24,288	3,173;1,1734;24,578;25,578	550	item17902040204001,160	item1000,1500000
756	40204001	6	140	0.000000	2.000000	1,1010;24,337	3,216;1,2164;24,721;25,721	600		
757	40205001	0	20	0.000000	1.000000	4,45;26,150	4,70;1,700;23,233;26,233	300	item17902040205001,10	item1000,250000
758	40205001	1	40	0.000000	1.170000	4,51;26,170	4,80;1,800;23,266;26,266	350	item17902040205001,20	item1000,500000
759	40205001	2	60	0.000000	1.330000	4,59;26,197	4,93;1,938;23,312;26,312	400	item17902040205001,40	item1000,750000
760	40205001	3	80	0.000000	1.500000	4,66;26,218	4,113;1,1133;23,377;26,377	450	item17902040205001,70	item1000,1000000
761	40205001	4	100	0.000000	1.670000	4,75;26,248	4,139;1,1396;23,465;26,465	500	item17902040205001,110	item1000,1250000
762	40205001	5	120	0.000000	1.830000	4,87;26,288	4,173;1,1734;23,578;26,578	550	item17902040205001,160	item1000,1500000
763	40205001	6	140	0.000000	2.000000	4,101;26,337	4,216;1,2164;23,721;26,721	600		
764	40206001	0	20	0.000000	1.000000	4,45;21,150	3,70;4,70;24,233;21,233	300	item17902040206001,10	item1000,250000
765	40206001	1	40	0.000000	1.170000	4,51;21,170	3,80;4,80;24,266;21,266	350	item17902040206001,20	item1000,500000
766	40206001	2	60	0.000000	1.330000	4,59;21,197	3,93;4,93;24,312;21,312	400	item17902040206001,40	item1000,750000
767	40206001	3	80	0.000000	1.500000	4,66;21,218	3,113;4,113;24,377;21,377	450	item17902040206001,70	item1000,1000000
768	40206001	4	100	0.000000	1.670000	4,75;21,248	3,139;4,139;24,465;21,465	500	item17902040206001,110	item1000,1250000
769	40206001	5	120	0.000000	1.830000	4,87;21,288	3,173;4,173;24,578;21,578	550	item17902040206001,160	item1000,1500000
770	40206001	6	140	0.000000	2.000000	4,101;21,337	3,216;4,216;24,721;21,721	600		
771	40207001	0	20	0.000000	1.000000	3,45;22,150	3,70;1,700;25,233;22,233	300	item17902040207001,10	item1000,250000
772	40207001	1	40	0.000000	1.170000	3,51;22,170	3,80;1,800;25,266;22,266	350	item17902040207001,20	item1000,500000
773	40207001	2	60	0.000000	1.330000	3,59;22,197	3,93;1,938;25,312;22,312	400	item17902040207001,40	item1000,750000
774	40207001	3	80	0.000000	1.500000	3,66;22,218	3,113;1,1133;25,377;22,377	450	item17902040207001,70	item1000,1000000
775	40207001	4	100	0.000000	1.670000	3,75;22,248	3,139;1,1396;25,465;22,465	500	item17902040207001,110	item1000,1250000
776	40207001	5	120	0.000000	1.830000	3,87;22,288	3,173;1,1734;25,578;22,578	550	item17902040207001,160	item1000,1500000
777	40207001	6	140	0.000000	2.000000	3,101;22,337	3,216;1,2164;25,721;22,721	600		
778	40208001	0	20	0.000000	1.000000	3,45;25,150	3,70;1,700;25,233;22,233	300	item17902040208001,10	item1000,250000
779	40208001	1	40	0.000000	1.170000	3,51;25,170	3,80;1,800;25,266;22,266	350	item17902040208001,20	item1000,500000
780	40208001	2	60	0.000000	1.330000	3,59;25,197	3,93;1,938;25,312;22,312	400	item17902040208001,40	item1000,750000
781	40208001	3	80	0.000000	1.500000	3,66;25,218	3,113;1,1133;25,377;22,377	450	item17902040208001,70	item1000,1000000
782	40208001	4	100	0.000000	1.670000	3,75;25,248	3,139;1,1396;25,465;22,465	500	item17902040208001,110	item1000,1250000
783	40208001	5	120	0.000000	1.830000	3,87;25,288	3,173;1,1734;25,578;22,578	550	item17902040208001,160	item1000,1500000
784	40208001	6	140	0.000000	2.000000	3,101;25,337	3,216;1,2164;25,721;22,721	600		
785	40301001	0	20	0.000000	1.000000	1,450;26,150	4,70;1,700;26,233;21,233	300	item17902040301001,10	item1000,250000
786	40301001	1	40	0.000000	1.170000	1,510;26,170	4,80;1,800;26,266;21,266	350	item17902040301001,20	item1000,500000
787	40301001	2	60	0.000000	1.330000	1,590;26,197	4,93;1,938;26,312;21,312	400	item17902040301001,40	item1000,750000
788	40301001	3	80	0.000000	1.500000	1,654;26,218	4,113;1,1133;26,377;21,377	450	item17902040301001,70	item1000,1000000
789	40301001	4	100	0.000000	1.670000	1,744;26,248	4,139;1,1396;26,465;21,465	500	item17902040301001,110	item1000,1250000
790	40301001	5	120	0.000000	1.830000	1,862;26,288	4,173;1,1734;26,578;21,578	550	item17902040301001,160	item1000,1500000
791	40301001	6	140	0.000000	2.000000	1,1010;26,337	4,216;1,2164;26,721;21,721	600		
792	40302001	0	20	0.000000	1.000000	1,450;24,150	4,70;1,700;24,233;21,233	300	item17902040302001,10	item1000,250000
793	40302001	1	40	0.000000	1.170000	1,510;24,170	4,80;1,800;24,266;21,266	350	item17902040302001,20	item1000,500000
794	40302001	2	60	0.000000	1.330000	1,590;24,197	4,93;1,938;24,312;21,312	400	item17902040302001,40	item1000,750000
795	40302001	3	80	0.000000	1.500000	1,654;24,218	4,113;1,1133;24,377;21,377	450	item17902040302001,70	item1000,1000000
796	40302001	4	100	0.000000	1.670000	1,744;24,248	4,139;1,1396;24,465;21,465	500	item17902040302001,110	item1000,1250000
797	40302001	5	120	0.000000	1.830000	1,862;24,288	4,173;1,1734;24,578;21,578	550	item17902040302001,160	item1000,1500000
798	40302001	6	140	0.000000	2.000000	1,1010;24,337	4,216;1,2164;24,721;21,721	600		
799	40303001	0	20	0.000000	1.000000	4,45;23,150	4,70;1,700;23,233;22,233	300	item17902040303001,10	item1000,250000
800	40303001	1	40	0.000000	1.170000	4,51;23,170	4,80;1,800;23,266;22,266	350	item17902040303001,20	item1000,500000
801	40303001	2	60	0.000000	1.330000	4,59;23,197	4,93;1,938;23,312;22,312	400	item17902040303001,40	item1000,750000
802	40303001	3	80	0.000000	1.500000	4,66;23,218	4,113;1,1133;23,377;22,377	450	item17902040303001,70	item1000,1000000
803	40303001	4	100	0.000000	1.670000	4,75;23,248	4,139;1,1396;23,465;22,465	500	item17902040303001,110	item1000,1250000
804	40303001	5	120	0.000000	1.830000	4,87;23,288	4,173;1,1734;23,578;22,578	550	item17902040303001,160	item1000,1500000
805	40303001	6	140	0.000000	2.000000	4,101;23,337	4,216;1,2164;23,721;22,721	600		
806	40304001	0	20	0.000000	1.000000	1,450;24,150	3,70;1,700;24,233;25,233	300	item17902040304001,10	item1000,250000
807	40304001	1	40	0.000000	1.170000	1,510;24,170	3,80;1,800;24,266;25,266	350	item17902040304001,20	item1000,500000
808	40304001	2	60	0.000000	1.330000	1,590;24,197	3,93;1,938;24,312;25,312	400	item17902040304001,40	item1000,750000
809	40304001	3	80	0.000000	1.500000	1,654;24,218	3,113;1,1133;24,377;25,377	450	item17902040304001,70	item1000,1000000
810	40304001	4	100	0.000000	1.670000	1,744;24,248	3,139;1,1396;24,465;25,465	500	item17902040304001,110	item1000,1250000
811	40304001	5	120	0.000000	1.830000	1,862;24,288	3,173;1,1734;24,578;25,578	550	item17902040304001,160	item1000,1500000
812	40304001	6	140	0.000000	2.000000	1,1010;24,337	3,216;1,2164;24,721;25,721	600		
813	40305001	0	20	0.000000	1.000000	4,45;26,150	4,70;1,700;23,233;26,233	300	item17902040305001,10	item1000,250000
814	40305001	1	40	0.000000	1.170000	4,51;26,170	4,80;1,800;23,266;26,266	350	item17902040305001,20	item1000,500000
815	40305001	2	60	0.000000	1.330000	4,59;26,197	4,93;1,938;23,312;26,312	400	item17902040305001,40	item1000,750000
816	40305001	3	80	0.000000	1.500000	4,66;26,218	4,113;1,1133;23,377;26,377	450	item17902040305001,70	item1000,1000000
817	40305001	4	100	0.000000	1.670000	4,75;26,248	4,139;1,1396;23,465;26,465	500	item17902040305001,110	item1000,1250000
818	40305001	5	120	0.000000	1.830000	4,87;26,288	4,173;1,1734;23,578;26,578	550	item17902040305001,160	item1000,1500000
819	40305001	6	140	0.000000	2.000000	4,101;26,337	4,216;1,2164;23,721;26,721	600		
820	40306001	0	20	0.000000	1.000000	4,45;21,150	3,70;4,70;24,233;21,233	300	item17902040306001,10	item1000,250000
821	40306001	1	40	0.000000	1.170000	4,51;21,170	3,80;4,80;24,266;21,266	350	item17902040306001,20	item1000,500000
822	40306001	2	60	0.000000	1.330000	4,59;21,197	3,93;4,93;24,312;21,312	400	item17902040306001,40	item1000,750000
823	40306001	3	80	0.000000	1.500000	4,66;21,218	3,113;4,113;24,377;21,377	450	item17902040306001,70	item1000,1000000
824	40306001	4	100	0.000000	1.670000	4,75;21,248	3,139;4,139;24,465;21,465	500	item17902040306001,110	item1000,1250000
825	40306001	5	120	0.000000	1.830000	4,87;21,288	3,173;4,173;24,578;21,578	550	item17902040306001,160	item1000,1500000
826	40306001	6	140	0.000000	2.000000	4,101;21,337	3,216;4,216;24,721;21,721	600		
827	40307001	0	20	0.000000	1.000000	3,45;22,150	3,70;1,700;25,233;22,233	300	item17902040307001,10	item1000,250000
828	40307001	1	40	0.000000	1.170000	3,51;22,170	3,80;1,800;25,266;22,266	350	item17902040307001,20	item1000,500000
829	40307001	2	60	0.000000	1.330000	3,59;22,197	3,93;1,938;25,312;22,312	400	item17902040307001,40	item1000,750000
830	40307001	3	80	0.000000	1.500000	3,66;22,218	3,113;1,1133;25,377;22,377	450	item17902040307001,70	item1000,1000000
831	40307001	4	100	0.000000	1.670000	3,75;22,248	3,139;1,1396;25,465;22,465	500	item17902040307001,110	item1000,1250000
832	40307001	5	120	0.000000	1.830000	3,87;22,288	3,173;1,1734;25,578;22,578	550	item17902040307001,160	item1000,1500000
833	40307001	6	140	0.000000	2.000000	3,101;22,337	3,216;1,2164;25,721;22,721	600		
834	40308001	0	20	0.000000	1.000000	3,45;25,150	3,70;1,700;25,233;22,233	300	item17902040308001,10	item1000,250000
835	40308001	1	40	0.000000	1.170000	3,51;25,170	3,80;1,800;25,266;22,266	350	item17902040308001,20	item1000,500000
836	40308001	2	60	0.000000	1.330000	3,59;25,197	3,93;1,938;25,312;22,312	400	item17902040308001,40	item1000,750000
837	40308001	3	80	0.000000	1.500000	3,66;25,218	3,113;1,1133;25,377;22,377	450	item17902040308001,70	item1000,1000000
838	40308001	4	100	0.000000	1.670000	3,75;25,248	3,139;1,1396;25,465;22,465	500	item17902040308001,110	item1000,1250000
839	40308001	5	120	0.000000	1.830000	3,87;25,288	3,173;1,1734;25,578;22,578	550	item17902040308001,160	item1000,1500000
840	40308001	6	140	0.000000	2.000000	3,101;25,337	3,216;1,2164;25,721;22,721	600		
841	40401001	0	20	0.000000	1.000000	1,450;26,150	4,70;1,700;26,233;21,233	300	item17902040401001,10	item1000,250000
842	40401001	1	40	0.000000	1.170000	1,510;26,170	4,80;1,800;26,266;21,266	350	item17902040401001,20	item1000,500000
843	40401001	2	60	0.000000	1.330000	1,590;26,197	4,93;1,938;26,312;21,312	400	item17902040401001,40	item1000,750000
844	40401001	3	80	0.000000	1.500000	1,654;26,218	4,113;1,1133;26,377;21,377	450	item17902040401001,70	item1000,1000000
845	40401001	4	100	0.000000	1.670000	1,744;26,248	4,139;1,1396;26,465;21,465	500	item17902040401001,110	item1000,1250000
846	40401001	5	120	0.000000	1.830000	1,862;26,288	4,173;1,1734;26,578;21,578	550	item17902040401001,160	item1000,1500000
847	40401001	6	140	0.000000	2.000000	1,1010;26,337	4,216;1,2164;26,721;21,721	600		
848	40402001	0	20	0.000000	1.000000	1,450;24,150	4,70;1,700;24,233;21,233	300	item17902040402001,10	item1000,250000
849	40402001	1	40	0.000000	1.170000	1,510;24,170	4,80;1,800;24,266;21,266	350	item17902040402001,20	item1000,500000
850	40402001	2	60	0.000000	1.330000	1,590;24,197	4,93;1,938;24,312;21,312	400	item17902040402001,40	item1000,750000
851	40402001	3	80	0.000000	1.500000	1,654;24,218	4,113;1,1133;24,377;21,377	450	item17902040402001,70	item1000,1000000
852	40402001	4	100	0.000000	1.670000	1,744;24,248	4,139;1,1396;24,465;21,465	500	item17902040402001,110	item1000,1250000
853	40402001	5	120	0.000000	1.830000	1,862;24,288	4,173;1,1734;24,578;21,578	550	item17902040402001,160	item1000,1500000
854	40402001	6	140	0.000000	2.000000	1,1010;24,337	4,216;1,2164;24,721;21,721	600		
855	40403001	0	20	0.000000	1.000000	4,45;23,150	4,70;1,700;23,233;22,233	300	item17902040403001,10	item1000,250000
856	40403001	1	40	0.000000	1.170000	4,51;23,170	4,80;1,800;23,266;22,266	350	item17902040403001,20	item1000,500000
857	40403001	2	60	0.000000	1.330000	4,59;23,197	4,93;1,938;23,312;22,312	400	item17902040403001,40	item1000,750000
858	40403001	3	80	0.000000	1.500000	4,66;23,218	4,113;1,1133;23,377;22,377	450	item17902040403001,70	item1000,1000000
859	40403001	4	100	0.000000	1.670000	4,75;23,248	4,139;1,1396;23,465;22,465	500	item17902040403001,110	item1000,1250000
860	40403001	5	120	0.000000	1.830000	4,87;23,288	4,173;1,1734;23,578;22,578	550	item17902040403001,160	item1000,1500000
861	40403001	6	140	0.000000	2.000000	4,101;23,337	4,216;1,2164;23,721;22,721	600		
862	40404001	0	20	0.000000	1.000000	1,450;24,150	3,70;1,700;24,233;25,233	300	item17902040404001,10	item1000,250000
863	40404001	1	40	0.000000	1.170000	1,510;24,170	3,80;1,800;24,266;25,266	350	item17902040404001,20	item1000,500000
864	40404001	2	60	0.000000	1.330000	1,590;24,197	3,93;1,938;24,312;25,312	400	item17902040404001,40	item1000,750000
865	40404001	3	80	0.000000	1.500000	1,654;24,218	3,113;1,1133;24,377;25,377	450	item17902040404001,70	item1000,1000000
866	40404001	4	100	0.000000	1.670000	1,744;24,248	3,139;1,1396;24,465;25,465	500	item17902040404001,110	item1000,1250000
867	40404001	5	120	0.000000	1.830000	1,862;24,288	3,173;1,1734;24,578;25,578	550	item17902040404001,160	item1000,1500000
868	40404001	6	140	0.000000	2.000000	1,1010;24,337	3,216;1,2164;24,721;25,721	600		
869	40405001	0	20	0.000000	1.000000	4,45;26,150	4,70;1,700;23,233;26,233	300	item17902040405001,10	item1000,250000
870	40405001	1	40	0.000000	1.170000	4,51;26,170	4,80;1,800;23,266;26,266	350	item17902040405001,20	item1000,500000
871	40405001	2	60	0.000000	1.330000	4,59;26,197	4,93;1,938;23,312;26,312	400	item17902040405001,40	item1000,750000
872	40405001	3	80	0.000000	1.500000	4,66;26,218	4,113;1,1133;23,377;26,377	450	item17902040405001,70	item1000,1000000
873	40405001	4	100	0.000000	1.670000	4,75;26,248	4,139;1,1396;23,465;26,465	500	item17902040405001,110	item1000,1250000
874	40405001	5	120	0.000000	1.830000	4,87;26,288	4,173;1,1734;23,578;26,578	550	item17902040405001,160	item1000,1500000
875	40405001	6	140	0.000000	2.000000	4,101;26,337	4,216;1,2164;23,721;26,721	600		
876	40406001	0	20	0.000000	1.000000	4,45;21,150	3,70;4,70;24,233;21,233	300	item17902040406001,10	item1000,250000
877	40406001	1	40	0.000000	1.170000	4,51;21,170	3,80;4,80;24,266;21,266	350	item17902040406001,20	item1000,500000
878	40406001	2	60	0.000000	1.330000	4,59;21,197	3,93;4,93;24,312;21,312	400	item17902040406001,40	item1000,750000
879	40406001	3	80	0.000000	1.500000	4,66;21,218	3,113;4,113;24,377;21,377	450	item17902040406001,70	item1000,1000000
880	40406001	4	100	0.000000	1.670000	4,75;21,248	3,139;4,139;24,465;21,465	500	item17902040406001,110	item1000,1250000
881	40406001	5	120	0.000000	1.830000	4,87;21,288	3,173;4,173;24,578;21,578	550	item17902040406001,160	item1000,1500000
882	40406001	6	140	0.000000	2.000000	4,101;21,337	3,216;4,216;24,721;21,721	600		
883	40407001	0	20	0.000000	1.000000	3,45;22,150	3,70;1,700;25,233;22,233	300	item17902040407001,10	item1000,250000
884	40407001	1	40	0.000000	1.170000	3,51;22,170	3,80;1,800;25,266;22,266	350	item17902040407001,20	item1000,500000
885	40407001	2	60	0.000000	1.330000	3,59;22,197	3,93;1,938;25,312;22,312	400	item17902040407001,40	item1000,750000
886	40407001	3	80	0.000000	1.500000	3,66;22,218	3,113;1,1133;25,377;22,377	450	item17902040407001,70	item1000,1000000
887	40407001	4	100	0.000000	1.670000	3,75;22,248	3,139;1,1396;25,465;22,465	500	item17902040407001,110	item1000,1250000
888	40407001	5	120	0.000000	1.830000	3,87;22,288	3,173;1,1734;25,578;22,578	550	item17902040407001,160	item1000,1500000
889	40407001	6	140	0.000000	2.000000	3,101;22,337	3,216;1,2164;25,721;22,721	600		
890	40408001	0	20	0.000000	1.000000	3,45;25,150	3,70;1,700;25,233;22,233	300	item17902040408001,10	item1000,250000
891	40408001	1	40	0.000000	1.170000	3,51;25,170	3,80;1,800;25,266;22,266	350	item17902040408001,20	item1000,500000
892	40408001	2	60	0.000000	1.330000	3,59;25,197	3,93;1,938;25,312;22,312	400	item17902040408001,40	item1000,750000
893	40408001	3	80	0.000000	1.500000	3,66;25,218	3,113;1,1133;25,377;22,377	450	item17902040408001,70	item1000,1000000
894	40408001	4	100	0.000000	1.670000	3,75;25,248	3,139;1,1396;25,465;22,465	500	item17902040408001,110	item1000,1250000
895	40408001	5	120	0.000000	1.830000	3,87;25,288	3,173;1,1734;25,578;22,578	550	item17902040408001,160	item1000,1500000
896	40408001	6	140	0.000000	2.000000	3,101;25,337	3,216;1,2164;25,721;22,721	600		
897	40501001	0	20	0.000000	1.000000	1,450;26,150	4,70;1,700;26,233;21,233	300	item17902040501001,10	item1000,250000
898	40501001	1	40	0.000000	1.170000	1,510;26,170	4,80;1,800;26,266;21,266	350	item17902040501001,20	item1000,500000
899	40501001	2	60	0.000000	1.330000	1,590;26,197	4,93;1,938;26,312;21,312	400	item17902040501001,40	item1000,750000
900	40501001	3	80	0.000000	1.500000	1,654;26,218	4,113;1,1133;26,377;21,377	450	item17902040501001,70	item1000,1000000
901	40501001	4	100	0.000000	1.670000	1,744;26,248	4,139;1,1396;26,465;21,465	500	item17902040501001,110	item1000,1250000
902	40501001	5	120	0.000000	1.830000	1,862;26,288	4,173;1,1734;26,578;21,578	550	item17902040501001,160	item1000,1500000
903	40501001	6	140	0.000000	2.000000	1,1010;26,337	4,216;1,2164;26,721;21,721	600		
904	40502001	0	20	0.000000	1.000000	1,450;24,150	4,70;1,700;24,233;21,233	300	item17902040502001,10	item1000,250000
905	40502001	1	40	0.000000	1.170000	1,510;24,170	4,80;1,800;24,266;21,266	350	item17902040502001,20	item1000,500000
906	40502001	2	60	0.000000	1.330000	1,590;24,197	4,93;1,938;24,312;21,312	400	item17902040502001,40	item1000,750000
907	40502001	3	80	0.000000	1.500000	1,654;24,218	4,113;1,1133;24,377;21,377	450	item17902040502001,70	item1000,1000000
908	40502001	4	100	0.000000	1.670000	1,744;24,248	4,139;1,1396;24,465;21,465	500	item17902040502001,110	item1000,1250000
909	40502001	5	120	0.000000	1.830000	1,862;24,288	4,173;1,1734;24,578;21,578	550	item17902040502001,160	item1000,1500000
910	40502001	6	140	0.000000	2.000000	1,1010;24,337	4,216;1,2164;24,721;21,721	600		
911	40503001	0	20	0.000000	1.000000	4,45;23,150	4,70;1,700;23,233;22,233	300	item17902040503001,10	item1000,250000
912	40503001	1	40	0.000000	1.170000	4,51;23,170	4,80;1,800;23,266;22,266	350	item17902040503001,20	item1000,500000
913	40503001	2	60	0.000000	1.330000	4,59;23,197	4,93;1,938;23,312;22,312	400	item17902040503001,40	item1000,750000
914	40503001	3	80	0.000000	1.500000	4,66;23,218	4,113;1,1133;23,377;22,377	450	item17902040503001,70	item1000,1000000
915	40503001	4	100	0.000000	1.670000	4,75;23,248	4,139;1,1396;23,465;22,465	500	item17902040503001,110	item1000,1250000
916	40503001	5	120	0.000000	1.830000	4,87;23,288	4,173;1,1734;23,578;22,578	550	item17902040503001,160	item1000,1500000
917	40503001	6	140	0.000000	2.000000	4,101;23,337	4,216;1,2164;23,721;22,721	600		
918	40504001	0	20	0.000000	1.000000	1,450;24,150	3,70;1,700;24,233;25,233	300	item17902040504001,10	item1000,250000
919	40504001	1	40	0.000000	1.170000	1,510;24,170	3,80;1,800;24,266;25,266	350	item17902040504001,20	item1000,500000
920	40504001	2	60	0.000000	1.330000	1,590;24,197	3,93;1,938;24,312;25,312	400	item17902040504001,40	item1000,750000
