流水	装备ID	等级	属性
2211	366	9	4,96;22,350;25,99
2212	366	10	4,105;22,383;25,108
2213	366	11	4,117;22,429;25,120
2214	366	12	4,129;22,475;25,132
2215	366	13	4,141;22,521;25,144
2216	366	14	4,153;22,567;25,156
2217	366	15	4,165;22,613;25,168
2218	366	16	4,180;22,668;25,183
2219	366	17	4,195;22,723;25,198
2220	366	18	4,210;22,778;25,213
2221	366	19	4,225;22,833;25,228
2222	366	20	4,240;22,888;25,243
2223	366	21	4,258;22,955;25,264
2224	366	22	4,276;22,1022;25,285
2225	366	23	4,294;22,1089;25,306
2226	366	24	4,312;22,1156;25,327
2227	366	25	4,330;22,1223;25,348
2228	366	26	4,360;22,1336;25,381
2229	366	27	4,390;22,1449;25,414
2230	366	28	4,420;22,1562;25,447
2231	366	29	4,450;22,1675;25,480
2232	366	30	4,480;22,1788;25,513
2233	411	0	3,210;21,203;25,245
2234	411	1	3,252;21,238;25,294
2235	411	2	3,294;21,273;25,343
2236	411	3	3,336;21,308;25,392
2237	411	4	3,378;21,343;25,441
2238	411	5	3,420;21,378;25,490
2239	411	6	3,483;21,434;25,560
2240	411	7	3,546;21,490;25,630
2241	411	8	3,609;21,546;25,700
2242	411	9	3,672;21,602;25,770
2243	411	10	3,735;21,658;25,840
2244	411	11	3,819;21,735;25,938
2245	411	12	3,903;21,812;25,1036
2246	411	13	3,987;21,889;25,1134
2247	411	14	3,1071;21,966;25,1232
2248	411	15	3,1155;21,1043;25,1330
2249	411	16	3,1260;21,1141;25,1449
2250	411	17	3,1365;21,1239;25,1568
2251	411	18	3,1470;21,1337;25,1687
2252	411	19	3,1575;21,1435;25,1806
2253	411	20	3,1680;21,1533;25,1925
2254	411	21	3,1806;21,1652;25,2072
2255	411	22	3,1932;21,1771;25,2219
2256	411	23	3,2058;21,1890;25,2366
2257	411	24	3,2184;21,2009;25,2513
2258	411	25	3,2310;21,2128;25,2660
2259	411	26	3,2520;21,2331;25,2905
2260	411	27	3,2730;21,2534;25,3150
2261	411	28	3,2940;21,2737;25,3395
2262	411	29	3,3150;21,2940;25,3640
2263	411	30	3,3360;21,3143;25,3885
2264	412	0	1,1078;21,175;24,217
2265	412	1	1,1288;21,210;24,259
2266	412	2	1,1498;21,245;24,301
2267	412	3	1,1708;21,280;24,343
2268	412	4	1,1918;21,315;24,385
2269	412	5	1,2128;21,350;24,427
2270	412	6	1,2450;21,399;24,490
2271	412	7	1,2772;21,448;24,553
2272	412	8	1,3094;21,497;24,616
2273	412	9	1,3416;21,546;24,679
2274	412	10	1,3738;21,595;24,742
2275	412	11	1,4165;21,665;24,826
2276	412	12	1,4592;21,735;24,910
2277	412	13	1,5019;21,805;24,994
2278	412	14	1,5446;21,875;24,1078
2279	412	15	1,5873;21,945;24,1162
2280	412	16	1,6412;21,1029;24,1267
2281	412	17	1,6951;21,1113;24,1372
2282	412	18	1,7490;21,1197;24,1477
2283	412	19	1,8029;21,1281;24,1582
2284	412	20	1,8568;21,1365;24,1687
2285	412	21	1,9212;21,1470;24,1820
2286	412	22	1,9856;21,1575;24,1953
2287	412	23	1,10500;21,1680;24,2086
2288	412	24	1,11144;21,1785;24,2219
2289	412	25	1,11788;21,1890;24,2352
2290	412	26	1,12866;21,2065;24,2569
2291	412	27	1,13944;21,2240;24,2786
2292	412	28	1,15022;21,2415;24,3003
2293	412	29	1,16100;21,2590;24,3220
2294	412	30	1,17178;21,2765;24,3437
2295	413	0	4,98;23,266;26,182
2296	413	1	4,112;23,315;26,217
2297	413	2	4,126;23,364;26,252
2298	413	3	4,140;23,413;26,287
2299	413	4	4,154;23,462;26,322
2300	413	5	4,168;23,511;26,357
2301	413	6	4,196;23,588;26,413
2302	413	7	4,224;23,665;26,469
2303	413	8	4,252;23,742;26,525
2304	413	9	4,280;23,819;26,581
2305	413	10	4,308;23,896;26,637
2306	413	11	4,343;23,1001;26,707
2307	413	12	4,378;23,1106;26,777
2308	413	13	4,413;23,1211;26,847
2309	413	14	4,448;23,1316;26,917
2310	413	15	4,483;23,1421;26,987
2311	413	16	4,532;23,1554;26,1078
2312	413	17	4,581;23,1687;26,1169
2313	413	18	4,630;23,1820;26,1260
2314	413	19	4,679;23,1953;26,1351
2315	413	20	4,728;23,2086;26,1442
2316	413	21	4,784;23,2247;26,1554
2317	413	22	4,840;23,2408;26,1666
2318	413	23	4,896;23,2569;26,1778
2319	413	24	4,952;23,2730;26,1890
2320	413	25	4,1008;23,2891;26,2002
2321	413	26	4,1106;23,3157;26,2184
2322	413	27	4,1204;23,3423;26,2366
2323	413	28	4,1302;23,3689;26,2548
2324	413	29	4,1400;23,3955;26,2730
2325	413	30	4,1498;23,4221;26,2912
2326	414	0	4,133;24,322;26,273
2327	414	1	4,154;24,385;26,322
2328	414	2	4,175;24,448;26,371
2329	414	3	4,196;24,511;26,420
2330	414	4	4,217;24,574;26,469
2331	414	5	4,238;24,637;26,518
2332	414	6	4,273;24,735;26,595
2333	414	7	4,308;24,833;26,672
2334	414	8	4,343;24,931;26,749
2335	414	9	4,378;24,1029;26,826
2336	414	10	4,413;24,1127;26,903
2337	414	11	4,462;24,1253;26,1008
2338	414	12	4,511;24,1379;26,1113
2339	414	13	4,560;24,1505;26,1218
2340	414	14	4,609;24,1631;26,1323
2341	414	15	4,658;24,1757;26,1428
2342	414	16	4,721;24,1918;26,1561
2343	414	17	4,784;24,2079;26,1694
2344	414	18	4,847;24,2240;26,1827
2345	414	19	4,910;24,2401;26,1960
2346	414	20	4,973;24,2562;26,2093
2347	414	21	4,1050;24,2758;26,2254
2348	414	22	4,1127;24,2954;26,2415
2349	414	23	4,1204;24,3150;26,2576
2350	414	24	4,1281;24,3346;26,2737
2351	414	25	4,1358;24,3542;26,2898
2352	414	26	4,1491;24,3864;26,3171
2353	414	27	4,1624;24,4186;26,3444
2354	414	28	4,1757;24,4508;26,3717
2355	414	29	4,1890;24,4830;26,3990
2356	414	30	4,2023;24,5152;26,4263
2357	415	0	1,1890;22,112;23,154
2358	415	1	1,2268;22,133;23,182
2359	415	2	1,2646;22,154;23,210
2360	415	3	1,3024;22,175;23,238
2361	415	4	1,3402;22,196;23,266
2362	415	5	1,3780;22,217;23,294
2363	415	6	1,4347;22,252;23,336
2364	415	7	1,4914;22,287;23,378
2365	415	8	1,5481;22,322;23,420
2366	415	9	1,6048;22,357;23,462
2367	415	10	1,6615;22,392;23,504
2368	415	11	1,7371;22,434;23,567
2369	415	12	1,8127;22,476;23,630
2370	415	13	1,8883;22,518;23,693
2371	415	14	1,9639;22,560;23,756
2372	415	15	1,10395;22,602;23,819
2373	415	16	1,11340;22,658;23,896
2374	415	17	1,12285;22,714;23,973
2375	415	18	1,13230;22,770;23,1050
2376	415	19	1,14175;22,826;23,1127
2377	415	20	1,15120;22,882;23,1204
2378	415	21	1,16254;22,952;23,1295
2379	415	22	1,17388;22,1022;23,1386
2380	415	23	1,18522;22,1092;23,1477
2381	415	24	1,19656;22,1162;23,1568
2382	415	25	1,20790;22,1232;23,1659
2383	415	26	1,22680;22,1344;23,1813
2384	415	27	1,24570;22,1456;23,1967
2385	415	28	1,26460;22,1568;23,2121
2386	415	29	1,28350;22,1680;23,2275
2387	415	30	1,30240;22,1792;23,2429
2388	416	0	4,70;22,175;25,77
2389	416	1	4,84;22,210;25,91
2390	416	2	4,98;22,245;25,105
2391	416	3	4,112;22,280;25,119
2392	416	4	4,126;22,315;25,133
2393	416	5	4,140;22,350;25,147
2394	416	6	4,161;22,399;25,168
2395	416	7	4,182;22,448;25,189
2396	416	8	4,203;22,497;25,210
2397	416	9	4,224;22,546;25,231
2398	416	10	4,245;22,595;25,252
2399	416	11	4,273;22,665;25,280
2400	416	12	4,301;22,735;25,308
2401	416	13	4,329;22,805;25,336
2402	416	14	4,357;22,875;25,364
2403	416	15	4,385;22,945;25,392
2404	416	16	4,420;22,1029;25,427
2405	416	17	4,455;22,1113;25,462
2406	416	18	4,490;22,1197;25,497
2407	416	19	4,525;22,1281;25,532
2408	416	20	4,560;22,1365;25,567
2409	416	21	4,602;22,1470;25,616
2410	416	22	4,644;22,1575;25,665
2411	416	23	4,686;22,1680;25,714
2412	416	24	4,728;22,1785;25,763
2413	416	25	4,770;22,1890;25,812
2414	416	26	4,840;22,2065;25,889
2415	416	27	4,910;22,2240;25,966
2416	416	28	4,980;22,2415;25,1043
2417	416	29	4,1050;22,2590;25,1120
2418	416	30	4,1120;22,2765;25,1197
2419	421	0	3,266;21,175;25,357
2420	421	1	3,315;21,210;25,427
2421	421	2	3,364;21,245;25,497
2422	421	3	3,413;21,280;25,567
2423	421	4	3,462;21,315;25,637
2424	421	5	3,511;21,350;25,707
2425	421	6	3,588;21,399;25,812
2426	421	7	3,665;21,448;25,917
2427	421	8	3,742;21,497;25,1022
2428	421	9	3,819;21,546;25,1127
2429	421	10	3,896;21,595;25,1232
2430	421	11	3,1001;21,665;25,1372
2431	421	12	3,1106;21,735;25,1512
2432	421	13	3,1211;21,805;25,1652
2433	421	14	3,1316;21,875;25,1792
2434	421	15	3,1421;21,945;25,1932
2435	421	16	3,1554;21,1029;25,2107
2436	421	17	3,1687;21,1113;25,2282
2437	421	18	3,1820;21,1197;25,2457
2438	421	19	3,1953;21,1281;25,2632
2439	421	20	3,2086;21,1365;25,2807
2440	421	21	3,2247;21,1470;25,3017
2441	421	22	3,2408;21,1575;25,3227
2442	421	23	3,2569;21,1680;25,3437
2443	421	24	3,2730;21,1785;25,3647
2444	421	25	3,2891;21,1890;25,3857
2445	421	26	3,3157;21,2065;25,4214
2446	421	27	3,3423;21,2240;25,4571
2447	421	28	3,3689;21,2415;25,4928
2448	421	29	3,3955;21,2590;25,5285
2449	421	30	3,4221;21,2765;25,5642
2450	422	0	1,945;21,154;24,161
2451	422	1	1,1134;21,182;24,189
2452	422	2	1,1323;21,210;24,217
2453	422	3	1,1512;21,238;24,245
2454	422	4	1,1701;21,266;24,273
2455	422	5	1,1890;21,294;24,301
2456	422	6	1,2170;21,336;24,350
2457	422	7	1,2450;21,378;24,399
2458	422	8	1,2730;21,420;24,448
2459	422	9	1,3010;21,462;24,497
2460	422	10	1,3290;21,504;24,546
2461	422	11	1,3668;21,560;24,609
2462	422	12	1,4046;21,616;24,672
2463	422	13	1,4424;21,672;24,735
2464	422	14	1,4802;21,728;24,798
2465	422	15	1,5180;21,784;24,861
2466	422	16	1,5649;21,861;24,938
2467	422	17	1,6118;21,938;24,1015
2468	422	18	1,6587;21,1015;24,1092
2469	422	19	1,7056;21,1092;24,1169
2470	422	20	1,7525;21,1169;24,1246
2471	422	21	1,8092;21,1260;24,1344
2472	422	22	1,8659;21,1351;24,1442
2473	422	23	1,9226;21,1442;24,1540
2474	422	24	1,9793;21,1533;24,1638
2475	422	25	1,10360;21,1624;24,1736
2476	422	26	1,11305;21,1778;24,1897
2477	422	27	1,12250;21,1932;24,2058
2478	422	28	1,13195;21,2086;24,2219
2479	422	29	1,14140;21,2240;24,2380
2480	422	30	1,15085;21,2394;24,2541
2481	423	0	4,91;23,301;26,147
2482	423	1	4,105;23,357;26,175
2483	423	2	4,119;23,413;26,203
2484	423	3	4,133;23,469;26,231
2485	423	4	4,147;23,525;26,259
2486	423	5	4,161;23,581;26,287
2487	423	6	4,189;23,665;26,329
2488	423	7	4,217;23,749;26,371
2489	423	8	4,245;23,833;26,413
2490	423	9	4,273;23,917;26,455
2491	423	10	4,301;23,1001;26,497
2492	423	11	4,336;23,1120;26,553
2493	423	12	4,371;23,1239;26,609
2494	423	13	4,406;23,1358;26,665
2495	423	14	4,441;23,1477;26,721
2496	423	15	4,476;23,1596;26,777
2497	423	16	4,518;23,1743;26,847
2498	423	17	4,560;23,1890;26,917
2499	423	18	4,602;23,2037;26,987
2500	423	19	4,644;23,2184;26,1057
2501	423	20	4,686;23,2331;26,1127
2502	423	21	4,742;23,2506;26,1211
2503	423	22	4,798;23,2681;26,1295
2504	423	23	4,854;23,2856;26,1379
2505	423	24	4,910;23,3031;26,1463
2506	423	25	4,966;23,3206;26,1547
2507	423	26	4,1057;23,3507;26,1694
2508	423	27	4,1148;23,3808;26,1841
2509	423	28	4,1239;23,4109;26,1988
2510	423	29	4,1330;23,4410;26,2135
2511	423	30	4,1421;23,4711;26,2282
2512	424	0	4,126;24,238;26,217
2513	424	1	4,147;24,280;26,259
2514	424	2	4,168;24,322;26,301
2515	424	3	4,189;24,364;26,343
2516	424	4	4,210;24,406;26,385
2517	424	5	4,231;24,448;26,427
2518	424	6	4,266;24,518;26,490
2519	424	7	4,301;24,588;26,553
2520	424	8	4,336;24,658;26,616
2521	424	9	4,371;24,728;26,679
2522	424	10	4,406;24,798;26,742
2523	424	11	4,455;24,889;26,826
2524	424	12	4,504;24,980;26,910
2525	424	13	4,553;24,1071;26,994
2526	424	14	4,602;24,1162;26,1078
2527	424	15	4,651;24,1253;26,1162
2528	424	16	4,714;24,1372;26,1267
2529	424	17	4,777;24,1491;26,1372
2530	424	18	4,840;24,1610;26,1477
2531	424	19	4,903;24,1729;26,1582
2532	424	20	4,966;24,1848;26,1687
2533	424	21	4,1036;24,1988;26,1813
2534	424	22	4,1106;24,2128;26,1939
2535	424	23	4,1176;24,2268;26,2065
2536	424	24	4,1246;24,2408;26,2191
2537	424	25	4,1316;24,2548;26,2317
2538	424	26	4,1442;24,2786;26,2534
2539	424	27	4,1568;24,3024;26,2751
2540	424	28	4,1694;24,3262;26,2968
2541	424	29	4,1820;24,3500;26,3185
2542	424	30	4,1946;24,3738;26,3402
2543	425	0	1,1652;22,154;23,175
2544	425	1	1,1981;22,182;23,210
2545	425	2	1,2310;22,210;23,245
2546	425	3	1,2639;22,238;23,280
2547	425	4	1,2968;22,266;23,315
2548	425	5	1,3297;22,294;23,350
2549	425	6	1,3794;22,336;23,399
2550	425	7	1,4291;22,378;23,448
2551	425	8	1,4788;22,420;23,497
2552	425	9	1,5285;22,462;23,546
2553	425	10	1,5782;22,504;23,595
2554	425	11	1,6440;22,560;23,665
2555	425	12	1,7098;22,616;23,735
2556	425	13	1,7756;22,672;23,805
2557	425	14	1,8414;22,728;23,875
2558	425	15	1,9072;22,784;23,945
2559	425	16	1,9898;22,861;23,1029
2560	425	17	1,10724;22,938;23,1113
2561	425	18	1,11550;22,1015;23,1197
2562	425	19	1,12376;22,1092;23,1281
2563	425	20	1,13202;22,1169;23,1365
2564	425	21	1,14196;22,1260;23,1470
2565	425	22	1,15190;22,1351;23,1575
2566	425	23	1,16184;22,1442;23,1680
2567	425	24	1,17178;22,1533;23,1785
2568	425	25	1,18172;22,1624;23,1890
2569	425	26	1,19824;22,1778;23,2065
2570	425	27	1,21476;22,1932;23,2240
2571	425	28	1,23128;22,2086;23,2415
2572	425	29	1,24780;22,2240;23,2590
2573	425	30	1,26432;22,2394;23,2765
2574	426	0	4,63;22,231;25,119
2575	426	1	4,70;22,273;25,140
2576	426	2	4,77;22,315;25,161
2577	426	3	4,84;22,357;25,182
2578	426	4	4,91;22,399;25,203
2579	426	5	4,98;22,441;25,224
2580	426	6	4,112;22,511;25,259
2581	426	7	4,126;22,581;25,294
2582	426	8	4,140;22,651;25,329
2583	426	9	4,154;22,721;25,364
2584	426	10	4,168;22,791;25,399
2585	426	11	4,189;22,882;25,441
2586	426	12	4,210;22,973;25,483
2587	426	13	4,231;22,1064;25,525
2588	426	14	4,252;22,1155;25,567
2589	426	15	4,273;22,1246;25,609
2590	426	16	4,301;22,1358;25,665
2591	426	17	4,329;22,1470;25,721
2592	426	18	4,357;22,1582;25,777
2593	426	19	4,385;22,1694;25,833
2594	426	20	4,413;22,1806;25,889
2595	426	21	4,448;22,1946;25,959
2596	426	22	4,483;22,2086;25,1029
2597	426	23	4,518;22,2226;25,1099
2598	426	24	4,553;22,2366;25,1169
2599	426	25	4,588;22,2506;25,1239
2600	426	26	4,651;22,2737;25,1358
2601	426	27	4,714;22,2968;25,1477
2602	426	28	4,777;22,3199;25,1596
2603	426	29	4,840;22,3430;25,1715
2604	426	30	4,903;22,3661;25,1834
2605	431	0	3,259;21,280;25,287
2606	431	1	3,308;21,336;25,343
2607	431	2	3,357;21,392;25,399
2608	431	3	3,406;21,448;25,455
2609	431	4	3,455;21,504;25,511
2610	431	5	3,504;21,560;25,567
2611	431	6	3,581;21,644;25,651
2612	431	7	3,658;21,728;25,735
2613	431	8	3,735;21,812;25,819
2614	431	9	3,812;21,896;25,903
2615	431	10	3,889;21,980;25,987
2616	431	11	3,994;21,1092;25,1099
2617	431	12	3,1099;21,1204;25,1211
2618	431	13	3,1204;21,1316;25,1323
2619	431	14	3,1309;21,1428;25,1435
2620	431	15	3,1414;21,1540;25,1547
2621	431	16	3,1540;21,1680;25,1687
2622	431	17	3,1666;21,1820;25,1827
2623	431	18	3,1792;21,1960;25,1967
2624	431	19	3,1918;21,2100;25,2107
2625	431	20	3,2044;21,2240;25,2247
2626	431	21	3,2198;21,2408;25,2415
2627	431	22	3,2352;21,2576;25,2583
2628	431	23	3,2506;21,2744;25,2751
2629	431	24	3,2660;21,2912;25,2919
2630	431	25	3,2814;21,3080;25,3087
2631	431	26	3,3073;21,3360;25,3374
2632	431	27	3,3332;21,3640;25,3661
2633	431	28	3,3591;21,3920;25,3948
2634	431	29	3,3850;21,4200;25,4235
2635	431	30	3,4109;21,4480;25,4522
2636	432	0	1,973;21,238;24,182
2637	432	1	1,1162;21,280;24,217
2638	432	2	1,1351;21,322;24,252
2639	432	3	1,1540;21,364;24,287
2640	432	4	1,1729;21,406;24,322
2641	432	5	1,1918;21,448;24,357
2642	432	6	1,2205;21,518;24,406
2643	432	7	1,2492;21,588;24,455
2644	432	8	1,2779;21,658;24,504
2645	432	9	1,3066;21,728;24,553
2646	432	10	1,3353;21,798;24,602
2647	432	11	1,3738;21,889;24,672
2648	432	12	1,4123;21,980;24,742
2649	432	13	1,4508;21,1071;24,812
2650	432	14	1,4893;21,1162;24,882
2651	432	15	1,5278;21,1253;24,952
2652	432	16	1,5761;21,1372;24,1043
2653	432	17	1,6244;21,1491;24,1134
2654	432	18	1,6727;21,1610;24,1225
2655	432	19	1,7210;21,1729;24,1316
2656	432	20	1,7693;21,1848;24,1407
2657	432	21	1,8274;21,1988;24,1512
2658	432	22	1,8855;21,2128;24,1617
2659	432	23	1,9436;21,2268;24,1722
2660	432	24	1,10017;21,2408;24,1827
2661	432	25	1,10598;21,2548;24,1932
2662	432	26	1,11571;21,2786;24,2114
2663	432	27	1,12544;21,3024;24,2296
2664	432	28	1,13517;21,3262;24,2478
2665	432	29	1,14490;21,3500;24,2660
2666	432	30	1,15463;21,3738;24,2842
2667	433	0	4,91;23,210;26,126
2668	433	1	4,105;23,252;26,147
2669	433	2	4,119;23,294;26,168
2670	433	3	4,133;23,336;26,189
2671	433	4	4,147;23,378;26,210
2672	433	5	4,161;23,420;26,231
2673	433	6	4,182;23,483;26,266
2674	433	7	4,203;23,546;26,301
2675	433	8	4,224;23,609;26,336
2676	433	9	4,245;23,672;26,371
2677	433	10	4,266;23,735;26,406
2678	433	11	4,301;23,819;26,455
2679	433	12	4,336;23,903;26,504
2680	433	13	4,371;23,987;26,553
2681	433	14	4,406;23,1071;26,602
2682	433	15	4,441;23,1155;26,651
2683	433	16	4,483;23,1260;26,714
2684	433	17	4,525;23,1365;26,777
2685	433	18	4,567;23,1470;26,840
2686	433	19	4,609;23,1575;26,903
2687	433	20	4,651;23,1680;26,966
2688	433	21	4,700;23,1806;26,1043
2689	433	22	4,749;23,1932;26,1120
2690	433	23	4,798;23,2058;26,1197
2691	433	24	4,847;23,2184;26,1274
2692	433	25	4,896;23,2310;26,1351
2693	433	26	4,987;23,2520;26,1477
2694	433	27	4,1078;23,2730;26,1603
2695	433	28	4,1169;23,2940;26,1729
2696	433	29	4,1260;23,3150;26,1855
2697	433	30	4,1351;23,3360;26,1981
2698	434	0	4,119;24,266;26,189
2699	434	1	4,140;24,315;26,224
2700	434	2	4,161;24,364;26,259
2701	434	3	4,182;24,413;26,294
2702	434	4	4,203;24,462;26,329
2703	434	5	4,224;24,511;26,364
2704	434	6	4,259;24,588;26,420
2705	434	7	4,294;24,665;26,476
2706	434	8	4,329;24,742;26,532
2707	434	9	4,364;24,819;26,588
2708	434	10	4,399;24,896;26,644
2709	434	11	4,448;24,1001;26,714
2710	434	12	4,497;24,1106;26,784
2711	434	13	4,546;24,1211;26,854
2712	434	14	4,595;24,1316;26,924
2713	434	15	4,644;24,1421;26,994
2714	434	16	4,700;24,1554;26,1085
2715	434	17	4,756;24,1687;26,1176
2716	434	18	4,812;24,1820;26,1267
2717	434	19	4,868;24,1953;26,1358
2718	434	20	4,924;24,2086;26,1449
2719	434	21	4,994;24,2247;26,1561
2720	434	22	4,1064;24,2408;26,1673
2721	434	23	4,1134;24,2569;26,1785
2722	434	24	4,1204;24,2730;26,1897
2723	434	25	4,1274;24,2891;26,2009
2724	434	26	4,1393;24,3157;26,2198
2725	434	27	4,1512;24,3423;26,2387
2726	434	28	4,1631;24,3689;26,2576
2727	434	29	4,1750;24,3955;26,2765
2728	434	30	4,1869;24,4221;26,2954
2729	435	0	1,1708;22,168;23,119
2730	435	1	1,2044;22,196;23,140
2731	435	2	1,2380;22,224;23,161
2732	435	3	1,2716;22,252;23,182
2733	435	4	1,3052;22,280;23,203
2734	435	5	1,3388;22,308;23,224
2735	435	6	1,3899;22,357;23,259
2736	435	7	1,4410;22,406;23,294
2737	435	8	1,4921;22,455;23,329
2738	435	9	1,5432;22,504;23,364
2739	435	10	1,5943;22,553;23,399
2740	435	11	1,6622;22,616;23,448
2741	435	12	1,7301;22,679;23,497
2742	435	13	1,7980;22,742;23,546
2743	435	14	1,8659;22,805;23,595
2744	435	15	1,9338;22,868;23,644
2745	435	16	1,10192;22,952;23,700
2746	435	17	1,11046;22,1036;23,756
2747	435	18	1,11900;22,1120;23,812
2748	435	19	1,12754;22,1204;23,868
2749	435	20	1,13608;22,1288;23,924
2750	435	21	1,14630;22,1386;23,994
2751	435	22	1,15652;22,1484;23,1064
2752	435	23	1,16674;22,1582;23,1134
2753	435	24	1,17696;22,1680;23,1204
2754	435	25	1,18718;22,1778;23,1274
2755	435	26	1,20426;22,1946;23,1393
2756	435	27	1,22134;22,2114;23,1512
2757	435	28	1,23842;22,2282;23,1631
2758	435	29	1,25550;22,2450;23,1750
2759	435	30	1,27258;22,2618;23,1869
2760	436	0	4,63;22,259;25,91
2761	436	1	4,70;22,308;25,105
2762	436	2	4,77;22,357;25,119
2763	436	3	4,84;22,406;25,133
2764	436	4	4,91;22,455;25,147
2765	436	5	4,98;22,504;25,161
2766	436	6	4,112;22,581;25,189
2767	436	7	4,126;22,658;25,217
2768	436	8	4,140;22,735;25,245
2769	436	9	4,154;22,812;25,273
2770	436	10	4,168;22,889;25,301
2771	436	11	4,189;22,994;25,336
2772	436	12	4,210;22,1099;25,371
2773	436	13	4,231;22,1204;25,406
2774	436	14	4,252;22,1309;25,441
2775	436	15	4,273;22,1414;25,476
2776	436	16	4,301;22,1540;25,518
2777	436	17	4,329;22,1666;25,560
2778	436	18	4,357;22,1792;25,602
2779	436	19	4,385;22,1918;25,644
2780	436	20	4,413;22,2044;25,686
2781	436	21	4,448;22,2198;25,742
2782	436	22	4,483;22,2352;25,798
2783	436	23	4,518;22,2506;25,854
2784	436	24	4,553;22,2660;25,910
2785	436	25	4,588;22,2814;25,966
2786	436	26	4,651;22,3073;25,1057
2787	436	27	4,714;22,3332;25,1148
2788	436	28	4,777;22,3591;25,1239
2789	436	29	4,840;22,3850;25,1330
2790	436	30	4,903;22,4109;25,1421
2791	441	0	3,238;21,252;25,357
2792	441	1	3,280;21,301;25,427
2793	441	2	3,322;21,350;25,497
2794	441	3	3,364;21,399;25,567
2795	441	4	3,406;21,448;25,637
2796	441	5	3,448;21,497;25,707
2797	441	6	3,518;21,574;25,812
2798	441	7	3,588;21,651;25,917
2799	441	8	3,658;21,728;25,1022
2800	441	9	3,728;21,805;25,1127
2801	441	10	3,798;21,882;25,1232
2802	441	11	3,889;21,980;25,1372
2803	441	12	3,980;21,1078;25,1512
2804	441	13	3,1071;21,1176;25,1652
2805	441	14	3,1162;21,1274;25,1792
2806	441	15	3,1253;21,1372;25,1932
2807	441	16	3,1372;21,1498;25,2107
2808	441	17	3,1491;21,1624;25,2282
2809	441	18	3,1610;21,1750;25,2457
2810	441	19	3,1729;21,1876;25,2632
2811	441	20	3,1848;21,2002;25,2807
2812	441	21	3,1988;21,2156;25,3017
2813	441	22	3,2128;21,2310;25,3227
2814	441	23	3,2268;21,2464;25,3437
2815	441	24	3,2408;21,2618;25,3647
2816	441	25	3,2548;21,2772;25,3857
2817	441	26	3,2786;21,3024;25,4214
2818	441	27	3,3024;21,3276;25,4571
2819	441	28	3,3262;21,3528;25,4928
2820	441	29	3,3500;21,3780;25,5285
2821	441	30	3,3738;21,4032;25,5642
2822	442	0	1,1050;21,217;24,196
2823	442	1	1,1260;21,259;24,231
2824	442	2	1,1470;21,301;24,266
2825	442	3	1,1680;21,343;24,301
2826	442	4	1,1890;21,385;24,336
2827	442	5	1,2100;21,427;24,371
2828	442	6	1,2415;21,490;24,427
2829	442	7	1,2730;21,553;24,483
2830	442	8	1,3045;21,616;24,539
2831	442	9	1,3360;21,679;24,595
2832	442	10	1,3675;21,742;24,651
2833	442	11	1,4095;21,826;24,728
2834	442	12	1,4515;21,910;24,805
2835	442	13	1,4935;21,994;24,882
2836	442	14	1,5355;21,1078;24,959
2837	442	15	1,5775;21,1162;24,1036
2838	442	16	1,6300;21,1267;24,1134
2839	442	17	1,6825;21,1372;24,1232
2840	442	18	1,7350;21,1477;24,1330
2841	442	19	1,7875;21,1582;24,1428
2842	442	20	1,8400;21,1687;24,1526
2843	442	21	1,9030;21,1813;24,1645
2844	442	22	1,9660;21,1939;24,1764
2845	442	23	1,10290;21,2065;24,1883
2846	442	24	1,10920;21,2191;24,2002
2847	442	25	1,11550;21,2317;24,2121
2848	442	26	1,12600;21,2534;24,2317
2849	442	27	1,13650;21,2751;24,2513
2850	442	28	1,14700;21,2968;24,2709
2851	442	29	1,15750;21,3185;24,2905
2852	442	30	1,16800;21,3402;24,3101
2853	443	0	4,91;23,147;26,168
2854	443	1	4,105;23,175;26,196
2855	443	2	4,119;23,203;26,224
2856	443	3	4,133;23,231;26,252
2857	443	4	4,147;23,259;26,280
2858	443	5	4,161;23,287;26,308
2859	443	6	4,182;23,329;26,357
2860	443	7	4,203;23,371;26,406
2861	443	8	4,224;23,413;26,455
2862	443	9	4,245;23,455;26,504
2863	443	10	4,266;23,497;26,553
2864	443	11	4,301;23,553;26,616
2865	443	12	4,336;23,609;26,679
2866	443	13	4,371;23,665;26,742
2867	443	14	4,406;23,721;26,805
2868	443	15	4,441;23,777;26,868
2869	443	16	4,483;23,847;26,952
2870	443	17	4,525;23,917;26,1036
2871	443	18	4,567;23,987;26,1120
2872	443	19	4,609;23,1057;26,1204
2873	443	20	4,651;23,1127;26,1288
2874	443	21	4,700;23,1211;26,1386
2875	443	22	4,749;23,1295;26,1484
2876	443	23	4,798;23,1379;26,1582
2877	443	24	4,847;23,1463;26,1680
2878	443	25	4,896;23,1547;26,1778
2879	443	26	4,987;23,1694;26,1946
2880	443	27	4,1078;23,1841;26,2114
2881	443	28	4,1169;23,1988;26,2282
2882	443	29	4,1260;23,2135;26,2450
2883	443	30	4,1351;23,2282;26,2618
2884	444	0	4,119;24,294;26,245
2885	444	1	4,140;24,350;26,294
2886	444	2	4,161;24,406;26,343
2887	444	3	4,182;24,462;26,392
2888	444	4	4,203;24,518;26,441
2889	444	5	4,224;24,574;26,490
2890	444	6	4,259;24,658;26,560
2891	444	7	4,294;24,742;26,630
2892	444	8	4,329;24,826;26,700
2893	444	9	4,364;24,910;26,770
