流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
20477	equip301110443001	9	75	3,716;21,697;25,851	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20478	equip301110443001	10	80	3,830;21,808;25,987	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20479	equip301110443001	11	85	3,954;21,930;25,1135	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20480	equip301110443001	12	90	3,1089;21,1061;25,1295	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20481	equip301110443001	13	90	3,1235;21,1203;25,1468	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20482	equip301110443001	14	90	3,1390;21,1354;25,1653	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20483	equip301110443002	1	48	3,66;21,44;25,88	item103015110413,30;item103015110302,2	50000
20484	equip301110443002	2	48	3,132;21,88;25,176	item103015110413,50;item103015110302,10	100000
20485	equip301110443002	3	48	3,211;21,141;25,282	item103015110413,70;item103015110302,20	150000
20486	equip301110443002	4	48	3,303;21,203;25,405	item103015110413,100;item103015110302,40	200000
20487	equip301110443002	5	55	3,409;21,274;25,546	item103015110413,150;item103015110302,60;item103015110412,1	250000
20488	equip301110443002	6	60	3,528;21,353;25,705	item103015110413,200;item103015110302,80;item103015110412,1	500000
20489	equip301110443002	7	65	3,646;21,433;25,864	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
20490	equip301110443002	8	70	3,778;21,521;25,1040	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
20491	equip301110443002	9	75	3,910;21,609;25,1217	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20492	equip301110443002	10	80	3,1056;21,707;25,1411	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20493	equip301110443002	11	85	3,1214;21,813;25,1622	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20494	equip301110443002	12	90	3,1386;21,928;25,1852	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20495	equip301110443002	13	90	3,1570;21,1051;25,2099	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20496	equip301110443002	14	90	3,1768;21,1184;25,2363	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20497	equip301110443003	1	48	3,65;21,69;25,70	item103015110413,30;item103015110302,2	50000
20498	equip301110443003	2	48	3,130;21,138;25,141	item103015110413,50;item103015110302,10	100000
20499	equip301110443003	3	48	3,208;21,222;25,225	item103015110413,70;item103015110302,20	150000
20500	equip301110443003	4	48	3,299;21,319;25,324	item103015110413,100;item103015110302,40	200000
20501	equip301110443003	5	55	3,403;21,430;25,437	item103015110413,150;item103015110302,60;item103015110412,1	250000
20502	equip301110443003	6	60	3,520;21,555;25,564	item103015110413,200;item103015110302,80;item103015110412,1	500000
20503	equip301110443003	7	65	3,637;21,680;25,691	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
20504	equip301110443003	8	70	3,767;21,819;25,833	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
20505	equip301110443003	9	75	3,897;21,958;25,974	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20506	equip301110443003	10	80	3,1040;21,1111;25,1129	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20507	equip301110443003	11	85	3,1196;21,1277;25,1299	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20508	equip301110443003	12	90	3,1365;21,1458;25,1482	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20509	equip301110443003	13	90	3,1547;21,1652;25,1680	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20510	equip301110443003	14	90	3,1742;21,1861;25,1892	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20511	equip301110443004	1	48	3,59;21,63;25,88	item103015110413,30;item103015110302,2	50000
20512	equip301110443004	2	48	3,119;21,126;25,176	item103015110413,50;item103015110302,10	100000
20513	equip301110443004	3	48	3,190;21,201;25,282	item103015110413,70;item103015110302,20	150000
20514	equip301110443004	4	48	3,274;21,290;25,405	item103015110413,100;item103015110302,40	200000
20515	equip301110443004	5	55	3,369;21,391;25,546	item103015110413,150;item103015110302,60;item103015110412,1	250000
20516	equip301110443004	6	60	3,477;21,504;25,705	item103015110413,200;item103015110302,80;item103015110412,1	500000
20517	equip301110443004	7	65	3,584;21,618;25,864	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
20518	equip301110443004	8	70	3,703;21,744;25,1040	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
20519	equip301110443004	9	75	3,823;21,870;25,1217	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20520	equip301110443004	10	80	3,954;21,1009;25,1411	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20521	equip301110443004	11	85	3,1097;21,1161;25,1622	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20522	equip301110443004	12	90	3,1252;21,1325;25,1852	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20523	equip301110443004	13	90	3,1419;21,1501;25,2099	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20524	equip301110443004	14	90	3,1598;21,1691;25,2363	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20525	equip301110443005	1	48	3,67;21,56;25,105	item103015110413,30;item103015110302,2	50000
20526	equip301110443005	2	48	3,134;21,113;25,211	item103015110413,50;item103015110302,10	100000
20527	equip301110443005	3	48	3,214;21,181;25,338	item103015110413,70;item103015110302,20	150000
20528	equip301110443005	4	48	3,308;21,261;25,486	item103015110413,100;item103015110302,40	200000
20529	equip301110443005	5	55	3,415;21,352;25,656	item103015110413,150;item103015110302,60;item103015110412,1	250000
20530	equip301110443005	6	60	3,536;21,454;25,846	item103015110413,200;item103015110302,80;item103015110412,1	500000
20531	equip301110443005	7	65	3,657;21,556;25,1037	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
20532	equip301110443005	8	70	3,791;21,670;25,1249	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
20533	equip301110443005	9	75	3,925;21,783;25,1460	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20534	equip301110443005	10	80	3,1072;21,908;25,1693	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20535	equip301110443005	11	85	3,1233;21,1045;25,1947	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20536	equip301110443005	12	90	3,1408;21,1192;25,2222	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20537	equip301110443005	13	90	3,1595;21,1351;25,2519	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20538	equip301110443005	14	90	3,1796;21,1522;25,2836	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20539	equip301110443006	1	48	3,51;21,50;25,61	item103015110413,30;item103015110302,2	50000
20540	equip301110443006	2	48	3,102;21,101;25,123	item103015110413,50;item103015110302,10	100000
20541	equip301110443006	3	48	3,164;21,161;25,197	item103015110413,70;item103015110302,20	150000
20542	equip301110443006	4	48	3,236;21,232;25,283	item103015110413,100;item103015110302,40	200000
20543	equip301110443006	5	55	3,318;21,313;25,382	item103015110413,150;item103015110302,60;item103015110412,1	250000
20544	equip301110443006	6	60	3,411;21,404;25,493	item103015110413,200;item103015110302,80;item103015110412,1	500000
20545	equip301110443006	7	65	3,503;21,495;25,604	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
20546	equip301110443006	8	70	3,606;21,596;25,728	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
20547	equip301110443006	9	75	3,709;21,697;25,851	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
20548	equip301110443006	10	80	3,822;21,808;25,987	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
20549	equip301110443006	11	85	3,945;21,930;25,1135	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
20550	equip301110443006	12	90	3,1079;21,1061;25,1295	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
20551	equip301110443006	13	90	3,1223;21,1203;25,1468	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
20552	equip301110443006	14	90	3,1377;21,1354;25,1653	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
20553	equip302110441001	1	48	1,239;21,39;24,49	item103015110413,30;item103015110303,3	50000
20554	equip302110441001	2	48	1,478;21,78;24,98	item103015110413,50;item103015110303,5	100000
20555	equip302110441001	3	48	1,765;21,125;24,157	item103015110413,70;item103015110303,12	150000
20556	equip302110441001	4	48	1,1100;21,180;24,225	item103015110413,100;item103015110303,20	200000
20557	equip302110441001	5	55	1,1483;21,242;24,304	item103015110413,150;item103015110303,30;item103015110412,1	250000
20558	equip302110441001	6	60	1,1913;21,313;24,392	item103015110413,200;item103015110303,30;item103015110412,1	500000
20559	equip302110441001	7	65	1,2344;21,383;24,481	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20560	equip302110441001	8	70	1,2822;21,461;24,579	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20561	equip302110441001	9	75	1,3300;21,540;24,677	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20562	equip302110441001	10	80	1,3827;21,626;24,785	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20563	equip302110441001	11	85	1,4401;21,720;24,903	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20564	equip302110441001	12	90	1,5023;21,822;24,1031	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20565	equip302110441001	13	90	1,5692;21,931;24,1168	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20566	equip302110441001	14	90	1,6410;21,1049;24,1315	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20567	equip302110441002	1	48	1,209;21,34;24,36	item103015110413,30;item103015110303,3	50000
20568	equip302110441002	2	48	1,419;21,68;24,72	item103015110413,50;item103015110303,5	100000
20569	equip302110441002	3	48	1,670;21,109;24,116	item103015110413,70;item103015110303,12	150000
20570	equip302110441002	4	48	1,963;21,157;24,166	item103015110413,100;item103015110303,20	200000
20571	equip302110441002	5	55	1,1298;21,212;24,225	item103015110413,150;item103015110303,30;item103015110412,1	250000
20572	equip302110441002	6	60	1,1676;21,274;24,290	item103015110413,200;item103015110303,30;item103015110412,1	500000
20573	equip302110441002	7	65	1,2053;21,335;24,355	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20574	equip302110441002	8	70	1,2472;21,404;24,428	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20575	equip302110441002	9	75	1,2891;21,472;24,500	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20576	equip302110441002	10	80	1,3352;21,548;24,580	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20577	equip302110441002	11	85	1,3854;21,630;24,667	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20578	equip302110441002	12	90	1,4399;21,719;24,762	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20579	equip302110441002	13	90	1,4986;21,815;24,863	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20580	equip302110441002	14	90	1,5614;21,917;24,972	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20581	equip302110441003	1	48	1,216;21,53;24,40	item103015110413,30;item103015110303,3	50000
20582	equip302110441003	2	48	1,432;21,107;24,81	item103015110413,50;item103015110303,5	100000
20583	equip302110441003	3	48	1,691;21,172;24,129	item103015110413,70;item103015110303,12	150000
20584	equip302110441003	4	48	1,994;21,247;24,186	item103015110413,100;item103015110303,20	200000
20585	equip302110441003	5	55	1,1340;21,333;24,251	item103015110413,150;item103015110303,30;item103015110412,1	250000
20586	equip302110441003	6	60	1,1729;21,430;24,324	item103015110413,200;item103015110303,30;item103015110412,1	500000
20587	equip302110441003	7	65	1,2118;21,527;24,397	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20588	equip302110441003	8	70	1,2550;21,635;24,478	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20589	equip302110441003	9	75	1,2982;21,743;24,559	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20590	equip302110441003	10	80	1,3458;21,861;24,648	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20591	equip302110441003	11	85	1,3977;21,990;24,746	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20592	equip302110441003	12	90	1,4539;21,1130;24,851	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20593	equip302110441003	13	90	1,5144;21,1281;24,965	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20594	equip302110441003	14	90	1,5792;21,1443;24,1086	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20595	equip302110441004	1	48	1,233;21,48;24,44	item103015110413,30;item103015110303,3	50000
20596	equip302110441004	2	48	1,466;21,97;24,89	item103015110413,50;item103015110303,5	100000
20597	equip302110441004	3	48	1,746;21,156;24,143	item103015110413,70;item103015110303,12	150000
20598	equip302110441004	4	48	1,1072;21,225;24,206	item103015110413,100;item103015110303,20	200000
20599	equip302110441004	5	55	1,1445;21,303;24,277	item103015110413,150;item103015110303,30;item103015110412,1	250000
20600	equip302110441004	6	60	1,1865;21,391;24,358	item103015110413,200;item103015110303,30;item103015110412,1	500000
20601	equip302110441004	7	65	1,2285;21,479;24,439	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20602	equip302110441004	8	70	1,2751;21,577;24,528	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20603	equip302110441004	9	75	1,3218;21,675;24,618	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20604	equip302110441004	10	80	1,3731;21,783;24,716	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20605	equip302110441004	11	85	1,4290;21,900;24,824	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20606	equip302110441004	12	90	1,4897;21,1027;24,940	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20607	equip302110441004	13	90	1,5550;21,1165;24,1066	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20608	equip302110441004	14	90	1,6249;21,1311;24,1200	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20609	equip302110441005	1	48	1,222;21,44;24,32	item103015110413,30;item103015110303,3	50000
20610	equip302110441005	2	48	1,445;21,88;24,64	item103015110413,50;item103015110303,5	100000
20611	equip302110441005	3	48	1,713;21,141;24,102	item103015110413,70;item103015110303,12	150000
20612	equip302110441005	4	48	1,1025;21,202;24,147	item103015110413,100;item103015110303,20	200000
20613	equip302110441005	5	55	1,1381;21,273;24,198	item103015110413,150;item103015110303,30;item103015110412,1	250000
20614	equip302110441005	6	60	1,1783;21,352;24,256	item103015110413,200;item103015110303,30;item103015110412,1	500000
20615	equip302110441005	7	65	1,2184;21,432;24,313	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20616	equip302110441005	8	70	1,2630;21,520;24,377	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20617	equip302110441005	9	75	1,3076;21,608;24,441	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20618	equip302110441005	10	80	1,3566;21,705;24,512	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20619	equip302110441005	11	85	1,4101;21,811;24,588	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20620	equip302110441005	12	90	1,4680;21,926;24,672	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20621	equip302110441005	13	90	1,5305;21,1049;24,761	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20622	equip302110441005	14	90	1,5973;21,1181;24,857	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20623	equip302110441006	1	48	1,246;21,39;24,49	item103015110413,30;item103015110303,3	50000
20624	equip302110441006	2	48	1,493;21,78;24,98	item103015110413,50;item103015110303,5	100000
20625	equip302110441006	3	48	1,789;21,125;24,157	item103015110413,70;item103015110303,12	150000
20626	equip302110441006	4	48	1,1135;21,180;24,225	item103015110413,100;item103015110303,20	200000
20627	equip302110441006	5	55	1,1530;21,242;24,304	item103015110413,150;item103015110303,30;item103015110412,1	250000
20628	equip302110441006	6	60	1,1974;21,313;24,392	item103015110413,200;item103015110303,30;item103015110412,1	500000
20629	equip302110441006	7	65	1,2418;21,383;24,481	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20630	equip302110441006	8	70	1,2912;21,461;24,579	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20631	equip302110441006	9	75	1,3405;21,540;24,677	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20632	equip302110441006	10	80	1,3948;21,626;24,785	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20633	equip302110441006	11	85	1,4541;21,720;24,903	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20634	equip302110441006	12	90	1,5182;21,822;24,1031	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20635	equip302110441006	13	90	1,5873;21,931;24,1168	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20636	equip302110441006	14	90	1,6614;21,1049;24,1315	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20637	equip302110442001	1	48	1,252;21,41;24,51	item103015110413,30;item103015110303,3	50000
20638	equip302110442001	2	48	1,505;21,82;24,103	item103015110413,50;item103015110303,5	100000
20639	equip302110442001	3	48	1,808;21,132;24,165	item103015110413,70;item103015110303,12	150000
20640	equip302110442001	4	48	1,1161;21,189;24,238	item103015110413,100;item103015110303,20	200000
20641	equip302110442001	5	55	1,1565;21,256;24,321	item103015110413,150;item103015110303,30;item103015110412,1	250000
20642	equip302110442001	6	60	1,2020;21,330;24,414	item103015110413,200;item103015110303,30;item103015110412,1	500000
20643	equip302110442001	7	65	1,2474;21,404;24,508	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20644	equip302110442001	8	70	1,2979;21,487;24,611	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20645	equip302110442001	9	75	1,3484;21,569;24,715	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20646	equip302110442001	10	80	1,4040;21,660;24,829	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20647	equip302110442001	11	85	1,4646;21,759;24,954	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20648	equip302110442001	12	90	1,5302;21,867;24,1088	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20649	equip302110442001	13	90	1,6009;21,982;24,1234	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20650	equip302110442001	14	90	1,6767;21,1106;24,1389	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20651	equip302110442002	1	48	1,221;21,36;24,38	item103015110413,30;item103015110303,3	50000
20652	equip302110442002	2	48	1,442;21,72;24,76	item103015110413,50;item103015110303,5	100000
20653	equip302110442002	3	48	1,707;21,115;24,122	item103015110413,70;item103015110303,12	150000
20654	equip302110442002	4	48	1,1017;21,166;24,176	item103015110413,100;item103015110303,20	200000
20655	equip302110442002	5	55	1,1371;21,224;24,237	item103015110413,150;item103015110303,30;item103015110412,1	250000
20656	equip302110442002	6	60	1,1769;21,289;24,306	item103015110413,200;item103015110303,30;item103015110412,1	500000
20657	equip302110442002	7	65	1,2167;21,354;24,375	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20658	equip302110442002	8	70	1,2609;21,426;24,451	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20659	equip302110442002	9	75	1,3051;21,498;24,528	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20660	equip302110442002	10	80	1,3538;21,578;24,612	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20661	equip302110442002	11	85	1,4069;21,665;24,704	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20662	equip302110442002	12	90	1,4644;21,759;24,804	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20663	equip302110442002	13	90	1,5263;21,860;24,911	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20664	equip302110442002	14	90	1,5926;21,968;24,1026	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20665	equip302110442003	1	48	1,228;21,56;24,42	item103015110413,30;item103015110303,3	50000
20666	equip302110442003	2	48	1,456;21,113;24,85	item103015110413,50;item103015110303,5	100000
20667	equip302110442003	3	48	1,730;21,181;24,136	item103015110413,70;item103015110303,12	150000
20668	equip302110442003	4	48	1,1049;21,261;24,196	item103015110413,100;item103015110303,20	200000
20669	equip302110442003	5	55	1,1414;21,352;24,265	item103015110413,150;item103015110303,30;item103015110412,1	250000
20670	equip302110442003	6	60	1,1825;21,454;24,342	item103015110413,200;item103015110303,30;item103015110412,1	500000
20671	equip302110442003	7	65	1,2235;21,557;24,419	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20672	equip302110442003	8	70	1,2692;21,670;24,505	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20673	equip302110442003	9	75	1,3148;21,784;24,590	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20674	equip302110442003	10	80	1,3650;21,909;24,684	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20675	equip302110442003	11	85	1,4197;21,1046;24,787	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20676	equip302110442003	12	90	1,4791;21,1193;24,898	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20677	equip302110442003	13	90	1,5429;21,1353;24,1018	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20678	equip302110442003	14	90	1,6114;21,1523;24,1147	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20679	equip302110442004	1	48	1,246;21,51;24,47	item103015110413,30;item103015110303,3	50000
20680	equip302110442004	2	48	1,492;21,103;24,94	item103015110413,50;item103015110303,5	100000
20681	equip302110442004	3	48	1,787;21,165;24,151	item103015110413,70;item103015110303,12	150000
20682	equip302110442004	4	48	1,1132;21,237;24,217	item103015110413,100;item103015110303,20	200000
20683	equip302110442004	5	55	1,1526;21,320;24,293	item103015110413,150;item103015110303,30;item103015110412,1	250000
20684	equip302110442004	6	60	1,1969;21,413;24,378	item103015110413,200;item103015110303,30;item103015110412,1	500000
20685	equip302110442004	7	65	1,2412;21,506;24,463	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20686	equip302110442004	8	70	1,2904;21,610;24,558	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20687	equip302110442004	9	75	1,3396;21,713;24,652	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20688	equip302110442004	10	80	1,3938;21,827;24,756	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20689	equip302110442004	11	85	1,4529;21,951;24,870	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20690	equip302110442004	12	90	1,5169;21,1085;24,993	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20691	equip302110442004	13	90	1,5858;21,1230;24,1125	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20692	equip302110442004	14	90	1,6596;21,1385;24,1267	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20693	equip302110442005	1	48	1,235;21,46;24,33	item103015110413,30;item103015110303,3	50000
20694	equip302110442005	2	48	1,470;21,93;24,67	item103015110413,50;item103015110303,5	100000
20695	equip302110442005	3	48	1,752;21,148;24,108	item103015110413,70;item103015110303,12	150000
20696	equip302110442005	4	48	1,1082;21,214;24,155	item103015110413,100;item103015110303,20	200000
20697	equip302110442005	5	55	1,1458;21,288;24,209	item103015110413,150;item103015110303,30;item103015110412,1	250000
20698	equip302110442005	6	60	1,1882;21,372;24,270	item103015110413,200;item103015110303,30;item103015110412,1	500000
20699	equip302110442005	7	65	1,2305;21,456;24,331	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20700	equip302110442005	8	70	1,2775;21,549;24,398	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20701	equip302110442005	9	75	1,3246;21,642;24,466	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20702	equip302110442005	10	80	1,3764;21,744;24,540	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20703	equip302110442005	11	85	1,4328;21,856;24,621	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20704	equip302110442005	12	90	1,4940;21,977;24,709	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20705	equip302110442005	13	90	1,5598;21,1107;24,804	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20706	equip302110442005	14	90	1,6304;21,1247;24,905	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20707	equip302110442006	1	48	1,260;21,41;24,51	item103015110413,30;item103015110303,3	50000
20708	equip302110442006	2	48	1,521;21,82;24,103	item103015110413,50;item103015110303,5	100000
20709	equip302110442006	3	48	1,833;21,132;24,165	item103015110413,70;item103015110303,12	150000
20710	equip302110442006	4	48	1,1198;21,189;24,238	item103015110413,100;item103015110303,20	200000
20711	equip302110442006	5	55	1,1615;21,256;24,321	item103015110413,150;item103015110303,30;item103015110412,1	250000
20712	equip302110442006	6	60	1,2084;21,330;24,414	item103015110413,200;item103015110303,30;item103015110412,1	500000
20713	equip302110442006	7	65	1,2552;21,404;24,508	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20714	equip302110442006	8	70	1,3073;21,487;24,611	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20715	equip302110442006	9	75	1,3594;21,569;24,715	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20716	equip302110442006	10	80	1,4168;21,660;24,829	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20717	equip302110442006	11	85	1,4793;21,759;24,954	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20718	equip302110442006	12	90	1,5470;21,867;24,1088	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20719	equip302110442006	13	90	1,6199;21,982;24,1234	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
