流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
2295	5021	29	5	3	5021029	item171002000002,20	9005021,20	3,400;4,200	npc_relic_521	5900521
2296	5021	30	5	2	5021030	item171002000003,2			npc_relic_521	5900521
2297	5021	31	5	2	5021031	item171002000003,2			npc_relic_521	5900521
2298	5021	32	5	2	5021032	item171002000003,2			npc_relic_521	5900521
2299	5021	33	5	2	5021033	item171002000003,2			npc_relic_521	5900521
2300	5021	34	5	2	5021034	item171002000003,2			npc_relic_521	5900521
2301	5021	35	5	2	5021035	item171002000003,2			npc_relic_521	5900521
2302	5021	36	6	3	5021036	item171002000003,5	9005021,30	3,600;4,300	npc_relic_521	5900521
2303	5021	37	6	4	5021037		9005021,50	3,800;4,400	npc_relic_521	5900521
2304	5022	1	1	1	5022001		9005022,40		npc_relic_522	5900522
2305	5022	2	1	2	5022002	item171002000001,5			npc_relic_522	5900522
2306	5022	3	1	2	5022003	item171002000001,5			npc_relic_522	5900522
2307	5022	4	1	2	5022004	item171002000001,5			npc_relic_522	5900522
2308	5022	5	1	2	5022005	item171002000001,5			npc_relic_522	5900522
2309	5022	6	1	2	5022006	item171002000001,5			npc_relic_522	5900522
2310	5022	7	1	2	5022007	item171002000001,5			npc_relic_522	5900522
2311	5022	8	2	3	5022008	item171002000001,50			npc_relic_522	5900522
2312	5022	9	2	2	5022009	item171002000001,10			npc_relic_522	5900522
2313	5022	10	2	2	5022010	item171002000001,10			npc_relic_522	5900522
2314	5022	11	2	2	5022011	item171002000001,10			npc_relic_522	5900522
2315	5022	12	2	2	5022012	item171002000001,10			npc_relic_522	5900522
2316	5022	13	2	2	5022013	item171002000001,10			npc_relic_522	5900522
2317	5022	14	2	2	5022014	item171002000001,10			npc_relic_522	5900522
2318	5022	15	3	3	5022015	item171002000001,100			npc_relic_522	5900522
2319	5022	16	3	2	5022016	item171002000001,15			npc_relic_522	5900522
2320	5022	17	3	2	5022017	item171002000001,15			npc_relic_522	5900522
2321	5022	18	3	2	5022018	item171002000001,15			npc_relic_522	5900522
2322	5022	19	3	2	5022019	item171002000001,15			npc_relic_522	5900522
2323	5022	20	3	2	5022020	item171002000001,15			npc_relic_522	5900522
2324	5022	21	3	2	5022021	item171002000001,15			npc_relic_522	5900522
2325	5022	22	4	3	5022022	item171002000002,15	9005022,10	3,200;4,100	npc_relic_522	5900522
2326	5022	23	4	2	5022023	item171002000002,5			npc_relic_522	5900522
2327	5022	24	4	2	5022024	item171002000002,5			npc_relic_522	5900522
2328	5022	25	4	2	5022025	item171002000002,5			npc_relic_522	5900522
2329	5022	26	4	2	5022026	item171002000002,5			npc_relic_522	5900522
2330	5022	27	4	2	5022027	item171002000002,5			npc_relic_522	5900522
2331	5022	28	4	2	5022028	item171002000002,5			npc_relic_522	5900522
2332	5022	29	5	3	5022029	item171002000002,20	9005022,20	3,400;4,200	npc_relic_522	5900522
2333	5022	30	5	2	5022030	item171002000003,2			npc_relic_522	5900522
2334	5022	31	5	2	5022031	item171002000003,2			npc_relic_522	5900522
2335	5022	32	5	2	5022032	item171002000003,2			npc_relic_522	5900522
2336	5022	33	5	2	5022033	item171002000003,2			npc_relic_522	5900522
2337	5022	34	5	2	5022034	item171002000003,2			npc_relic_522	5900522
2338	5022	35	5	2	5022035	item171002000003,2			npc_relic_522	5900522
2339	5022	36	6	3	5022036	item171002000003,5	9005022,30	3,600;4,300	npc_relic_522	5900522
2340	5022	37	6	4	5022037		9005022,50	3,800;4,400	npc_relic_522	5900522
2341	5023	1	1	1	5023001		9005023,40		npc_relic_523	5900523
2342	5023	2	1	2	5023002	item171002000001,5			npc_relic_523	5900523
2343	5023	3	1	2	5023003	item171002000001,5			npc_relic_523	5900523
2344	5023	4	1	2	5023004	item171002000001,5			npc_relic_523	5900523
2345	5023	5	1	2	5023005	item171002000001,5			npc_relic_523	5900523
2346	5023	6	1	2	5023006	item171002000001,5			npc_relic_523	5900523
2347	5023	7	1	2	5023007	item171002000001,5			npc_relic_523	5900523
2348	5023	8	2	3	5023008	item171002000001,50			npc_relic_523	5900523
2349	5023	9	2	2	5023009	item171002000001,10			npc_relic_523	5900523
2350	5023	10	2	2	5023010	item171002000001,10			npc_relic_523	5900523
2351	5023	11	2	2	5023011	item171002000001,10			npc_relic_523	5900523
2352	5023	12	2	2	5023012	item171002000001,10			npc_relic_523	5900523
2353	5023	13	2	2	5023013	item171002000001,10			npc_relic_523	5900523
2354	5023	14	2	2	5023014	item171002000001,10			npc_relic_523	5900523
2355	5023	15	3	3	5023015	item171002000001,100			npc_relic_523	5900523
2356	5023	16	3	2	5023016	item171002000001,15			npc_relic_523	5900523
2357	5023	17	3	2	5023017	item171002000001,15			npc_relic_523	5900523
2358	5023	18	3	2	5023018	item171002000001,15			npc_relic_523	5900523
2359	5023	19	3	2	5023019	item171002000001,15			npc_relic_523	5900523
2360	5023	20	3	2	5023020	item171002000001,15			npc_relic_523	5900523
2361	5023	21	3	2	5023021	item171002000001,15			npc_relic_523	5900523
2362	5023	22	4	3	5023022	item171002000002,15	9005023,10	3,200;4,100	npc_relic_523	5900523
2363	5023	23	4	2	5023023	item171002000002,5			npc_relic_523	5900523
2364	5023	24	4	2	5023024	item171002000002,5			npc_relic_523	5900523
2365	5023	25	4	2	5023025	item171002000002,5			npc_relic_523	5900523
2366	5023	26	4	2	5023026	item171002000002,5			npc_relic_523	5900523
2367	5023	27	4	2	5023027	item171002000002,5			npc_relic_523	5900523
2368	5023	28	4	2	5023028	item171002000002,5			npc_relic_523	5900523
2369	5023	29	5	3	5023029	item171002000002,20	9005023,20	3,400;4,200	npc_relic_523	5900523
2370	5023	30	5	2	5023030	item171002000003,2			npc_relic_523	5900523
2371	5023	31	5	2	5023031	item171002000003,2			npc_relic_523	5900523
2372	5023	32	5	2	5023032	item171002000003,2			npc_relic_523	5900523
2373	5023	33	5	2	5023033	item171002000003,2			npc_relic_523	5900523
2374	5023	34	5	2	5023034	item171002000003,2			npc_relic_523	5900523
2375	5023	35	5	2	5023035	item171002000003,2			npc_relic_523	5900523
2376	5023	36	6	3	5023036	item171002000003,5	9005023,30	3,600;4,300	npc_relic_523	5900523
2377	5023	37	6	4	5023037		9005023,50	3,800;4,400	npc_relic_523	5900523
2378	5024	1	1	1	5024001		9005024,40		npc_relic_524	5900524
2379	5024	2	1	2	5024002	item171002000001,5			npc_relic_524	5900524
2380	5024	3	1	2	5024003	item171002000001,5			npc_relic_524	5900524
2381	5024	4	1	2	5024004	item171002000001,5			npc_relic_524	5900524
2382	5024	5	1	2	5024005	item171002000001,5			npc_relic_524	5900524
2383	5024	6	1	2	5024006	item171002000001,5			npc_relic_524	5900524
2384	5024	7	1	2	5024007	item171002000001,5			npc_relic_524	5900524
2385	5024	8	2	3	5024008	item171002000001,50			npc_relic_524	5900524
2386	5024	9	2	2	5024009	item171002000001,10			npc_relic_524	5900524
2387	5024	10	2	2	5024010	item171002000001,10			npc_relic_524	5900524
2388	5024	11	2	2	5024011	item171002000001,10			npc_relic_524	5900524
2389	5024	12	2	2	5024012	item171002000001,10			npc_relic_524	5900524
2390	5024	13	2	2	5024013	item171002000001,10			npc_relic_524	5900524
2391	5024	14	2	2	5024014	item171002000001,10			npc_relic_524	5900524
2392	5024	15	3	3	5024015	item171002000001,100			npc_relic_524	5900524
2393	5024	16	3	2	5024016	item171002000001,15			npc_relic_524	5900524
2394	5024	17	3	2	5024017	item171002000001,15			npc_relic_524	5900524
2395	5024	18	3	2	5024018	item171002000001,15			npc_relic_524	5900524
2396	5024	19	3	2	5024019	item171002000001,15			npc_relic_524	5900524
2397	5024	20	3	2	5024020	item171002000001,15			npc_relic_524	5900524
2398	5024	21	3	2	5024021	item171002000001,15			npc_relic_524	5900524
2399	5024	22	4	3	5024022	item171002000002,15	9005024,10	3,200;4,100	npc_relic_524	5900524
2400	5024	23	4	2	5024023	item171002000002,5			npc_relic_524	5900524
2401	5024	24	4	2	5024024	item171002000002,5			npc_relic_524	5900524
2402	5024	25	4	2	5024025	item171002000002,5			npc_relic_524	5900524
2403	5024	26	4	2	5024026	item171002000002,5			npc_relic_524	5900524
2404	5024	27	4	2	5024027	item171002000002,5			npc_relic_524	5900524
2405	5024	28	4	2	5024028	item171002000002,5			npc_relic_524	5900524
2406	5024	29	5	3	5024029	item171002000002,20	9005024,20	3,400;4,200	npc_relic_524	5900524
2407	5024	30	5	2	5024030	item171002000003,2			npc_relic_524	5900524
2408	5024	31	5	2	5024031	item171002000003,2			npc_relic_524	5900524
2409	5024	32	5	2	5024032	item171002000003,2			npc_relic_524	5900524
2410	5024	33	5	2	5024033	item171002000003,2			npc_relic_524	5900524
2411	5024	34	5	2	5024034	item171002000003,2			npc_relic_524	5900524
2412	5024	35	5	2	5024035	item171002000003,2			npc_relic_524	5900524
2413	5024	36	6	3	5024036	item171002000003,5	9005024,30	3,600;4,300	npc_relic_524	5900524
2414	5024	37	6	4	5024037		9005024,50	3,800;4,400	npc_relic_524	5900524
2415	5025	1	1	1	5025001		9005025,40		npc_relic_525	5900525
2416	5025	2	1	2	5025002	item171002000001,5			npc_relic_525	5900525
2417	5025	3	1	2	5025003	item171002000001,5			npc_relic_525	5900525
2418	5025	4	1	2	5025004	item171002000001,5			npc_relic_525	5900525
2419	5025	5	1	2	5025005	item171002000001,5			npc_relic_525	5900525
2420	5025	6	1	2	5025006	item171002000001,5			npc_relic_525	5900525
2421	5025	7	1	2	5025007	item171002000001,5			npc_relic_525	5900525
2422	5025	8	2	3	5025008	item171002000001,50			npc_relic_525	5900525
2423	5025	9	2	2	5025009	item171002000001,10			npc_relic_525	5900525
2424	5025	10	2	2	5025010	item171002000001,10			npc_relic_525	5900525
2425	5025	11	2	2	5025011	item171002000001,10			npc_relic_525	5900525
2426	5025	12	2	2	5025012	item171002000001,10			npc_relic_525	5900525
2427	5025	13	2	2	5025013	item171002000001,10			npc_relic_525	5900525
2428	5025	14	2	2	5025014	item171002000001,10			npc_relic_525	5900525
2429	5025	15	3	3	5025015	item171002000001,100			npc_relic_525	5900525
2430	5025	16	3	2	5025016	item171002000001,15			npc_relic_525	5900525
2431	5025	17	3	2	5025017	item171002000001,15			npc_relic_525	5900525
2432	5025	18	3	2	5025018	item171002000001,15			npc_relic_525	5900525
2433	5025	19	3	2	5025019	item171002000001,15			npc_relic_525	5900525
2434	5025	20	3	2	5025020	item171002000001,15			npc_relic_525	5900525
2435	5025	21	3	2	5025021	item171002000001,15			npc_relic_525	5900525
2436	5025	22	4	3	5025022	item171002000002,15	9005025,10	3,200;4,100	npc_relic_525	5900525
2437	5025	23	4	2	5025023	item171002000002,5			npc_relic_525	5900525
2438	5025	24	4	2	5025024	item171002000002,5			npc_relic_525	5900525
2439	5025	25	4	2	5025025	item171002000002,5			npc_relic_525	5900525
2440	5025	26	4	2	5025026	item171002000002,5			npc_relic_525	5900525
2441	5025	27	4	2	5025027	item171002000002,5			npc_relic_525	5900525
2442	5025	28	4	2	5025028	item171002000002,5			npc_relic_525	5900525
2443	5025	29	5	3	5025029	item171002000002,20	9005025,20	3,400;4,200	npc_relic_525	5900525
2444	5025	30	5	2	5025030	item171002000003,2			npc_relic_525	5900525
2445	5025	31	5	2	5025031	item171002000003,2			npc_relic_525	5900525
2446	5025	32	5	2	5025032	item171002000003,2			npc_relic_525	5900525
2447	5025	33	5	2	5025033	item171002000003,2			npc_relic_525	5900525
2448	5025	34	5	2	5025034	item171002000003,2			npc_relic_525	5900525
2449	5025	35	5	2	5025035	item171002000003,2			npc_relic_525	5900525
2450	5025	36	6	3	5025036	item171002000003,5	9005025,30	3,600;4,300	npc_relic_525	5900525
2451	5025	37	6	4	5025037		9005025,50	3,800;4,400	npc_relic_525	5900525
2452	5026	1	1	1	5026001		9005026,40		npc_relic_526	5900526
2453	5026	2	1	2	5026002	item171002000001,5			npc_relic_526	5900526
2454	5026	3	1	2	5026003	item171002000001,5			npc_relic_526	5900526
2455	5026	4	1	2	5026004	item171002000001,5			npc_relic_526	5900526
2456	5026	5	1	2	5026005	item171002000001,5			npc_relic_526	5900526
2457	5026	6	1	2	5026006	item171002000001,5			npc_relic_526	5900526
2458	5026	7	1	2	5026007	item171002000001,5			npc_relic_526	5900526
2459	5026	8	2	3	5026008	item171002000001,50			npc_relic_526	5900526
2460	5026	9	2	2	5026009	item171002000001,10			npc_relic_526	5900526
2461	5026	10	2	2	5026010	item171002000001,10			npc_relic_526	5900526
2462	5026	11	2	2	5026011	item171002000001,10			npc_relic_526	5900526
2463	5026	12	2	2	5026012	item171002000001,10			npc_relic_526	5900526
2464	5026	13	2	2	5026013	item171002000001,10			npc_relic_526	5900526
2465	5026	14	2	2	5026014	item171002000001,10			npc_relic_526	5900526
2466	5026	15	3	3	5026015	item171002000001,100			npc_relic_526	5900526
2467	5026	16	3	2	5026016	item171002000001,15			npc_relic_526	5900526
2468	5026	17	3	2	5026017	item171002000001,15			npc_relic_526	5900526
2469	5026	18	3	2	5026018	item171002000001,15			npc_relic_526	5900526
2470	5026	19	3	2	5026019	item171002000001,15			npc_relic_526	5900526
2471	5026	20	3	2	5026020	item171002000001,15			npc_relic_526	5900526
2472	5026	21	3	2	5026021	item171002000001,15			npc_relic_526	5900526
2473	5026	22	4	3	5026022	item171002000002,15	9005026,10	3,200;4,100	npc_relic_526	5900526
2474	5026	23	4	2	5026023	item171002000002,5			npc_relic_526	5900526
2475	5026	24	4	2	5026024	item171002000002,5			npc_relic_526	5900526
2476	5026	25	4	2	5026025	item171002000002,5			npc_relic_526	5900526
2477	5026	26	4	2	5026026	item171002000002,5			npc_relic_526	5900526
2478	5026	27	4	2	5026027	item171002000002,5			npc_relic_526	5900526
2479	5026	28	4	2	5026028	item171002000002,5			npc_relic_526	5900526
2480	5026	29	5	3	5026029	item171002000002,20	9005026,20	3,400;4,200	npc_relic_526	5900526
2481	5026	30	5	2	5026030	item171002000003,2			npc_relic_526	5900526
2482	5026	31	5	2	5026031	item171002000003,2			npc_relic_526	5900526
2483	5026	32	5	2	5026032	item171002000003,2			npc_relic_526	5900526
2484	5026	33	5	2	5026033	item171002000003,2			npc_relic_526	5900526
2485	5026	34	5	2	5026034	item171002000003,2			npc_relic_526	5900526
2486	5026	35	5	2	5026035	item171002000003,2			npc_relic_526	5900526
2487	5026	36	6	3	5026036	item171002000003,5	9005026,30	3,600;4,300	npc_relic_526	5900526
2488	5026	37	6	4	5026037		9005026,50	3,800;4,400	npc_relic_526	5900526
2489	5027	1	1	1	5027001		9005027,40		npc_relic_527	5900527
2490	5027	2	1	2	5027002	item171002000001,5			npc_relic_527	5900527
2491	5027	3	1	2	5027003	item171002000001,5			npc_relic_527	5900527
2492	5027	4	1	2	5027004	item171002000001,5			npc_relic_527	5900527
2493	5027	5	1	2	5027005	item171002000001,5			npc_relic_527	5900527
2494	5027	6	1	2	5027006	item171002000001,5			npc_relic_527	5900527
2495	5027	7	1	2	5027007	item171002000001,5			npc_relic_527	5900527
2496	5027	8	2	3	5027008	item171002000001,50			npc_relic_527	5900527
2497	5027	9	2	2	5027009	item171002000001,10			npc_relic_527	5900527
2498	5027	10	2	2	5027010	item171002000001,10			npc_relic_527	5900527
2499	5027	11	2	2	5027011	item171002000001,10			npc_relic_527	5900527
2500	5027	12	2	2	5027012	item171002000001,10			npc_relic_527	5900527
2501	5027	13	2	2	5027013	item171002000001,10			npc_relic_527	5900527
2502	5027	14	2	2	5027014	item171002000001,10			npc_relic_527	5900527
2503	5027	15	3	3	5027015	item171002000001,100			npc_relic_527	5900527
2504	5027	16	3	2	5027016	item171002000001,15			npc_relic_527	5900527
2505	5027	17	3	2	5027017	item171002000001,15			npc_relic_527	5900527
2506	5027	18	3	2	5027018	item171002000001,15			npc_relic_527	5900527
2507	5027	19	3	2	5027019	item171002000001,15			npc_relic_527	5900527
2508	5027	20	3	2	5027020	item171002000001,15			npc_relic_527	5900527
2509	5027	21	3	2	5027021	item171002000001,15			npc_relic_527	5900527
2510	5027	22	4	3	5027022	item171002000002,15	9005027,10	3,200;4,100	npc_relic_527	5900527
2511	5027	23	4	2	5027023	item171002000002,5			npc_relic_527	5900527
2512	5027	24	4	2	5027024	item171002000002,5			npc_relic_527	5900527
2513	5027	25	4	2	5027025	item171002000002,5			npc_relic_527	5900527
2514	5027	26	4	2	5027026	item171002000002,5			npc_relic_527	5900527
2515	5027	27	4	2	5027027	item171002000002,5			npc_relic_527	5900527
2516	5027	28	4	2	5027028	item171002000002,5			npc_relic_527	5900527
2517	5027	29	5	3	5027029	item171002000002,20	9005027,20	3,400;4,200	npc_relic_527	5900527
2518	5027	30	5	2	5027030	item171002000003,2			npc_relic_527	5900527
2519	5027	31	5	2	5027031	item171002000003,2			npc_relic_527	5900527
2520	5027	32	5	2	5027032	item171002000003,2			npc_relic_527	5900527
2521	5027	33	5	2	5027033	item171002000003,2			npc_relic_527	5900527
2522	5027	34	5	2	5027034	item171002000003,2			npc_relic_527	5900527
2523	5027	35	5	2	5027035	item171002000003,2			npc_relic_527	5900527
2524	5027	36	6	3	5027036	item171002000003,5	9005027,30	3,600;4,300	npc_relic_527	5900527
2525	5027	37	6	4	5027037		9005027,50	3,800;4,400	npc_relic_527	5900527
2526	5028	1	1	1	5028001		9005028,40		npc_relic_528	5900528
2527	5028	2	1	2	5028002	item171002000001,5			npc_relic_528	5900528
2528	5028	3	1	2	5028003	item171002000001,5			npc_relic_528	5900528
2529	5028	4	1	2	5028004	item171002000001,5			npc_relic_528	5900528
2530	5028	5	1	2	5028005	item171002000001,5			npc_relic_528	5900528
2531	5028	6	1	2	5028006	item171002000001,5			npc_relic_528	5900528
2532	5028	7	1	2	5028007	item171002000001,5			npc_relic_528	5900528
2533	5028	8	2	3	5028008	item171002000001,50			npc_relic_528	5900528
2534	5028	9	2	2	5028009	item171002000001,10			npc_relic_528	5900528
2535	5028	10	2	2	5028010	item171002000001,10			npc_relic_528	5900528
2536	5028	11	2	2	5028011	item171002000001,10			npc_relic_528	5900528
2537	5028	12	2	2	5028012	item171002000001,10			npc_relic_528	5900528
2538	5028	13	2	2	5028013	item171002000001,10			npc_relic_528	5900528
2539	5028	14	2	2	5028014	item171002000001,10			npc_relic_528	5900528
2540	5028	15	3	3	5028015	item171002000001,100			npc_relic_528	5900528
2541	5028	16	3	2	5028016	item171002000001,15			npc_relic_528	5900528
2542	5028	17	3	2	5028017	item171002000001,15			npc_relic_528	5900528
2543	5028	18	3	2	5028018	item171002000001,15			npc_relic_528	5900528
2544	5028	19	3	2	5028019	item171002000001,15			npc_relic_528	5900528
2545	5028	20	3	2	5028020	item171002000001,15			npc_relic_528	5900528
2546	5028	21	3	2	5028021	item171002000001,15			npc_relic_528	5900528
2547	5028	22	4	3	5028022	item171002000002,15	9005028,10	3,200;4,100	npc_relic_528	5900528
2548	5028	23	4	2	5028023	item171002000002,5			npc_relic_528	5900528
2549	5028	24	4	2	5028024	item171002000002,5			npc_relic_528	5900528
2550	5028	25	4	2	5028025	item171002000002,5			npc_relic_528	5900528
2551	5028	26	4	2	5028026	item171002000002,5			npc_relic_528	5900528
2552	5028	27	4	2	5028027	item171002000002,5			npc_relic_528	5900528
2553	5028	28	4	2	5028028	item171002000002,5			npc_relic_528	5900528
2554	5028	29	5	3	5028029	item171002000002,20	9005028,20	3,400;4,200	npc_relic_528	5900528
2555	5028	30	5	2	5028030	item171002000003,2			npc_relic_528	5900528
2556	5028	31	5	2	5028031	item171002000003,2			npc_relic_528	5900528
2557	5028	32	5	2	5028032	item171002000003,2			npc_relic_528	5900528
2558	5028	33	5	2	5028033	item171002000003,2			npc_relic_528	5900528
2559	5028	34	5	2	5028034	item171002000003,2			npc_relic_528	5900528
2560	5028	35	5	2	5028035	item171002000003,2			npc_relic_528	5900528
2561	5028	36	6	3	5028036	item171002000003,5	9005028,30	3,600;4,300	npc_relic_528	5900528
2562	5028	37	6	4	5028037		9005028,50	3,800;4,400	npc_relic_528	5900528
2563	5029	1	1	1	5029001		9005029,40		npc_relic_529	5900529
2564	5029	2	1	2	5029002	item171002000001,5			npc_relic_529	5900529
2565	5029	3	1	2	5029003	item171002000001,5			npc_relic_529	5900529
2566	5029	4	1	2	5029004	item171002000001,5			npc_relic_529	5900529
2567	5029	5	1	2	5029005	item171002000001,5			npc_relic_529	5900529
2568	5029	6	1	2	5029006	item171002000001,5			npc_relic_529	5900529
2569	5029	7	1	2	5029007	item171002000001,5			npc_relic_529	5900529
2570	5029	8	2	3	5029008	item171002000001,50			npc_relic_529	5900529
2571	5029	9	2	2	5029009	item171002000001,10			npc_relic_529	5900529
2572	5029	10	2	2	5029010	item171002000001,10			npc_relic_529	5900529
2573	5029	11	2	2	5029011	item171002000001,10			npc_relic_529	5900529
2574	5029	12	2	2	5029012	item171002000001,10			npc_relic_529	5900529
2575	5029	13	2	2	5029013	item171002000001,10			npc_relic_529	5900529
2576	5029	14	2	2	5029014	item171002000001,10			npc_relic_529	5900529
2577	5029	15	3	3	5029015	item171002000001,100			npc_relic_529	5900529
2578	5029	16	3	2	5029016	item171002000001,15			npc_relic_529	5900529
2579	5029	17	3	2	5029017	item171002000001,15			npc_relic_529	5900529
2580	5029	18	3	2	5029018	item171002000001,15			npc_relic_529	5900529
2581	5029	19	3	2	5029019	item171002000001,15			npc_relic_529	5900529
2582	5029	20	3	2	5029020	item171002000001,15			npc_relic_529	5900529
2583	5029	21	3	2	5029021	item171002000001,15			npc_relic_529	5900529
2584	5029	22	4	3	5029022	item171002000002,15	9005029,10	3,200;4,100	npc_relic_529	5900529
2585	5029	23	4	2	5029023	item171002000002,5			npc_relic_529	5900529
2586	5029	24	4	2	5029024	item171002000002,5			npc_relic_529	5900529
2587	5029	25	4	2	5029025	item171002000002,5			npc_relic_529	5900529
2588	5029	26	4	2	5029026	item171002000002,5			npc_relic_529	5900529
2589	5029	27	4	2	5029027	item171002000002,5			npc_relic_529	5900529
2590	5029	28	4	2	5029028	item171002000002,5			npc_relic_529	5900529
2591	5029	29	5	3	5029029	item171002000002,20	9005029,20	3,400;4,200	npc_relic_529	5900529
2592	5029	30	5	2	5029030	item171002000003,2			npc_relic_529	5900529
2593	5029	31	5	2	5029031	item171002000003,2			npc_relic_529	5900529
2594	5029	32	5	2	5029032	item171002000003,2			npc_relic_529	5900529
2595	5029	33	5	2	5029033	item171002000003,2			npc_relic_529	5900529
2596	5029	34	5	2	5029034	item171002000003,2			npc_relic_529	5900529
2597	5029	35	5	2	5029035	item171002000003,2			npc_relic_529	5900529
2598	5029	36	6	3	5029036	item171002000003,5	9005029,30	3,600;4,300	npc_relic_529	5900529
2599	5029	37	6	4	5029037		9005029,50	3,800;4,400	npc_relic_529	5900529
2600	5030	1	1	1	5030001		9005030,40		npc_relic_530	5900530
2601	5030	2	1	2	5030002	item171002000001,5			npc_relic_530	5900530
2602	5030	3	1	2	5030003	item171002000001,5			npc_relic_530	5900530
2603	5030	4	1	2	5030004	item171002000001,5			npc_relic_530	5900530
2604	5030	5	1	2	5030005	item171002000001,5			npc_relic_530	5900530
2605	5030	6	1	2	5030006	item171002000001,5			npc_relic_530	5900530
2606	5030	7	1	2	5030007	item171002000001,5			npc_relic_530	5900530
2607	5030	8	2	3	5030008	item171002000001,50			npc_relic_530	5900530
2608	5030	9	2	2	5030009	item171002000001,10			npc_relic_530	5900530
2609	5030	10	2	2	5030010	item171002000001,10			npc_relic_530	5900530
2610	5030	11	2	2	5030011	item171002000001,10			npc_relic_530	5900530
2611	5030	12	2	2	5030012	item171002000001,10			npc_relic_530	5900530
2612	5030	13	2	2	5030013	item171002000001,10			npc_relic_530	5900530
2613	5030	14	2	2	5030014	item171002000001,10			npc_relic_530	5900530
2614	5030	15	3	3	5030015	item171002000001,100			npc_relic_530	5900530
2615	5030	16	3	2	5030016	item171002000001,15			npc_relic_530	5900530
2616	5030	17	3	2	5030017	item171002000001,15			npc_relic_530	5900530
2617	5030	18	3	2	5030018	item171002000001,15			npc_relic_530	5900530
2618	5030	19	3	2	5030019	item171002000001,15			npc_relic_530	5900530
2619	5030	20	3	2	5030020	item171002000001,15			npc_relic_530	5900530
2620	5030	21	3	2	5030021	item171002000001,15			npc_relic_530	5900530
2621	5030	22	4	3	5030022	item171002000002,15	9005030,10	3,200;4,100	npc_relic_530	5900530
2622	5030	23	4	2	5030023	item171002000002,5			npc_relic_530	5900530
2623	5030	24	4	2	5030024	item171002000002,5			npc_relic_530	5900530
2624	5030	25	4	2	5030025	item171002000002,5			npc_relic_530	5900530
2625	5030	26	4	2	5030026	item171002000002,5			npc_relic_530	5900530
2626	5030	27	4	2	5030027	item171002000002,5			npc_relic_530	5900530
2627	5030	28	4	2	5030028	item171002000002,5			npc_relic_530	5900530
2628	5030	29	5	3	5030029	item171002000002,20	9005030,20	3,400;4,200	npc_relic_530	5900530
2629	5030	30	5	2	5030030	item171002000003,2			npc_relic_530	5900530
2630	5030	31	5	2	5030031	item171002000003,2			npc_relic_530	5900530
2631	5030	32	5	2	5030032	item171002000003,2			npc_relic_530	5900530
2632	5030	33	5	2	5030033	item171002000003,2			npc_relic_530	5900530
2633	5030	34	5	2	5030034	item171002000003,2			npc_relic_530	5900530
2634	5030	35	5	2	5030035	item171002000003,2			npc_relic_530	5900530
2635	5030	36	6	3	5030036	item171002000003,5	9005030,30	3,600;4,300	npc_relic_530	5900530
2636	5030	37	6	4	5030037		9005030,50	3,800;4,400	npc_relic_530	5900530
2637	5031	1	1	1	5031001		9005031,40		npc_relic_531	5900531
2638	5031	2	1	2	5031002	item171002000001,5			npc_relic_531	5900531
2639	5031	3	1	2	5031003	item171002000001,5			npc_relic_531	5900531
2640	5031	4	1	2	5031004	item171002000001,5			npc_relic_531	5900531
2641	5031	5	1	2	5031005	item171002000001,5			npc_relic_531	5900531
2642	5031	6	1	2	5031006	item171002000001,5			npc_relic_531	5900531
2643	5031	7	1	2	5031007	item171002000001,5			npc_relic_531	5900531
2644	5031	8	2	3	5031008	item171002000001,50			npc_relic_531	5900531
2645	5031	9	2	2	5031009	item171002000001,10			npc_relic_531	5900531
2646	5031	10	2	2	5031010	item171002000001,10			npc_relic_531	5900531
2647	5031	11	2	2	5031011	item171002000001,10			npc_relic_531	5900531
2648	5031	12	2	2	5031012	item171002000001,10			npc_relic_531	5900531
2649	5031	13	2	2	5031013	item171002000001,10			npc_relic_531	5900531
2650	5031	14	2	2	5031014	item171002000001,10			npc_relic_531	5900531
2651	5031	15	3	3	5031015	item171002000001,100			npc_relic_531	5900531
2652	5031	16	3	2	5031016	item171002000001,15			npc_relic_531	5900531
2653	5031	17	3	2	5031017	item171002000001,15			npc_relic_531	5900531
2654	5031	18	3	2	5031018	item171002000001,15			npc_relic_531	5900531
2655	5031	19	3	2	5031019	item171002000001,15			npc_relic_531	5900531
2656	5031	20	3	2	5031020	item171002000001,15			npc_relic_531	5900531
2657	5031	21	3	2	5031021	item171002000001,15			npc_relic_531	5900531
2658	5031	22	4	3	5031022	item171002000002,15	9005031,10	3,200;4,100	npc_relic_531	5900531
2659	5031	23	4	2	5031023	item171002000002,5			npc_relic_531	5900531
2660	5031	24	4	2	5031024	item171002000002,5			npc_relic_531	5900531
2661	5031	25	4	2	5031025	item171002000002,5			npc_relic_531	5900531
2662	5031	26	4	2	5031026	item171002000002,5			npc_relic_531	5900531
2663	5031	27	4	2	5031027	item171002000002,5			npc_relic_531	5900531
2664	5031	28	4	2	5031028	item171002000002,5			npc_relic_531	5900531
2665	5031	29	5	3	5031029	item171002000002,20	9005031,20	3,400;4,200	npc_relic_531	5900531
2666	5031	30	5	2	5031030	item171002000003,2			npc_relic_531	5900531
2667	5031	31	5	2	5031031	item171002000003,2			npc_relic_531	5900531
