流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
3777	2750112	5	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501125	ExecuteTaskContent27501125	ExecuteTaskStory27501125	SubmitTaskName27501125	SubmitTaskContent27501125	SubmitTaskStory27501125					0
3778	27501130	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3779	2750113	0	25	6	0	2750113,0	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501130	ExecuteTaskContent27501130	ExecuteTaskStory27501130	SubmitTaskName27501130	SubmitTaskContent27501130	SubmitTaskStory27501130					0
3780	2750113	1	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501131	ExecuteTaskContent27501131	ExecuteTaskStory27501131	SubmitTaskName27501131	SubmitTaskContent27501131	SubmitTaskStory27501131					0
3781	2750113	2	8	5	0	SoulStar		LinkUI:SoulStarCubePanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501132	ExecuteTaskContent27501132	ExecuteTaskStory27501132	SubmitTaskName27501132	SubmitTaskContent27501132	SubmitTaskStory27501132					0
3782	2750113	3	25	6	0	2750113,3	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501133	ExecuteTaskContent27501133	ExecuteTaskStory27501133	SubmitTaskName27501133	SubmitTaskContent27501133	SubmitTaskStory27501133					0
3783	2750113	4	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501134	ExecuteTaskContent27501134	ExecuteTaskStory27501134	SubmitTaskName27501134	SubmitTaskContent27501134	SubmitTaskStory27501134					0
3784	27501140	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3785	27501141	0	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1	npc_10002	2		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0				ExecuteTaskName275011410	ExecuteTaskContent275011410	ExecuteTaskStory275011410	SubmitTaskName275011410	SubmitTaskContent275011410	SubmitTaskStory275011410					0
3786	2750114	0	1	1	0	npc_101831		npc_101831	0		1		6	6		0	0	0		4.000000	1	npc_101831	6		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0				ExecuteTaskName27501140	ExecuteTaskContent27501140	ExecuteTaskStory27501140	SubmitTaskName27501140	SubmitTaskContent27501140	SubmitTaskStory27501140					0
3787	2750114	1	2	2	0	monster13110302	monster13110302	monster13110302	0		1	1	6	6	-31.8,-0.0,23.5	0	0	0		4.000000	3		0		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0		1;2;3	-1;-1;-1	ExecuteTaskName27501141	ExecuteTaskContent27501141	ExecuteTaskStory27501141	SubmitTaskName27501141	SubmitTaskContent27501141	SubmitTaskStory27501141					0
3788	2750114	2	25	6	0	2750114,3	-31.9,0.0,24.9,45,icon_caiji,InteractiveSearch	-31.9,0.0,24.9,45,icon_caiji,InteractiveSearch	0		1		6	6	-31.9,0.0,24.9	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,100000;item1000,100000	item10000000002,100000;item1000,100000				0				ExecuteTaskName27501142	ExecuteTaskContent27501142	ExecuteTaskStory27501142	SubmitTaskName27501142	SubmitTaskContent27501142	SubmitTaskStory27501142					0
3789	2750115	0	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1		0		0	0	1	1	0	0							0				ExecuteTaskName27501150	ExecuteTaskContent27501150	ExecuteTaskStory27501150	SubmitTaskName27501150	SubmitTaskContent27501150	SubmitTaskStory27501150					0
3790	27501160	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3791	2750116	0	25	6	0	2750116,0	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501160	ExecuteTaskContent27501160	ExecuteTaskStory27501160	SubmitTaskName27501160	SubmitTaskContent27501160	SubmitTaskStory27501160					0
3792	2750116	1	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501161	ExecuteTaskContent27501161	ExecuteTaskStory27501161	SubmitTaskName27501161	SubmitTaskContent27501161	SubmitTaskStory27501161					0
3793	2750116	2	2	2	0	monster10006008	monster10006008	monster10006008	0		1	1	6	6	-10.4,0.7,-22.9	0	0	0		8.000000	1		0		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501162	ExecuteTaskContent27501162	ExecuteTaskStory27501162	SubmitTaskName27501162	SubmitTaskContent27501162	SubmitTaskStory27501162					0
3794	2750116	3	25	6	0	2750116,3	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501163	ExecuteTaskContent27501163	ExecuteTaskStory27501163	SubmitTaskName27501163	SubmitTaskContent27501163	SubmitTaskStory27501163					0
3795	2750116	4	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501164	ExecuteTaskContent27501164	ExecuteTaskStory27501164	SubmitTaskName27501164	SubmitTaskContent27501164	SubmitTaskStory27501164					0
3796	27501170	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3797	2750117	0	25	6	0	2750117,0	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501170	ExecuteTaskContent27501170	ExecuteTaskStory27501170	SubmitTaskName27501170	SubmitTaskContent27501170	SubmitTaskStory27501170					0
3798	2750117	1	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501171	ExecuteTaskContent27501171	ExecuteTaskStory27501171	SubmitTaskName27501171	SubmitTaskContent27501171	SubmitTaskStory27501171					0
3799	2750117	2	4	1	0	door_30041		door_30041	0		1		1032	5	28.4,8.0,60.9	0	0	0		3.000000	1		0		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501172	ExecuteTaskContent27501172	ExecuteTaskStory27501172	SubmitTaskName27501172	SubmitTaskContent27501172	SubmitTaskStory27501172					0
3800	2750117	3	25	6	0	2750117,3	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501173	ExecuteTaskContent27501173	ExecuteTaskStory27501173	SubmitTaskName27501173	SubmitTaskContent27501173	SubmitTaskStory27501173					0
3801	2750117	4	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501174	ExecuteTaskContent27501174	ExecuteTaskStory27501174	SubmitTaskName27501174	SubmitTaskContent27501174	SubmitTaskStory27501174					0
3802	27501180	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3803	2750118	0	25	6	0	2750118,0	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501180	ExecuteTaskContent27501180	ExecuteTaskStory27501180	SubmitTaskName27501180	SubmitTaskContent27501180	SubmitTaskStory27501180					0
3804	2750118	1	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1	npc_10002	2		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501181	ExecuteTaskContent27501181	ExecuteTaskStory27501181	SubmitTaskName27501181	SubmitTaskContent27501181	SubmitTaskStory27501181					0
3805	2750118	2	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1	npc_10002	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501182	ExecuteTaskContent27501182	ExecuteTaskStory27501182	SubmitTaskName27501182	SubmitTaskContent27501182	SubmitTaskStory27501182					0
3806	27501190	0	69	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											EwaitTaskName27501	EwaitTaskContent27501	EwaitTaskStory27501	SwaitTaskName27501	SwaitTaskContent27501	SwaitTaskStory27501					0
3807	2750119	0	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1	npc_10002	2		0	0	0	1	0	0		item10000000002,20000;item1000,100000					0				ExecuteTaskName27501190	ExecuteTaskContent27501190	ExecuteTaskStory27501190	SubmitTaskName27501190	SubmitTaskContent27501190	SubmitTaskStory27501190					0
3808	2750119	1	25	6	0	2750119,1	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,20000;item1000,100000	item10000000002,20000;item1000,100000				0				ExecuteTaskName27501191	ExecuteTaskContent27501191	ExecuteTaskStory27501191	SubmitTaskName27501191	SubmitTaskContent27501191	SubmitTaskStory27501191					0
3809	2750120	0	6	4	0	-45.4,-0.4,-44.2	-45.4,-0.4,-44.2	-45.4,-0.4,-44.2	0		1		6	6	-45.4,-0.4,-44.2	0	0	0		4.000000	1		0		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0				ExecuteTaskName27501200	ExecuteTaskContent27501200	ExecuteTaskStory27501200	SubmitTaskName27501200	SubmitTaskContent27501200	SubmitTaskStory27501200					0
3810	2750120	1	1	1	0	npc_101831		npc_101831	0		1		6	6		0	0	0		4.000000	1	npc_101831	6		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0				ExecuteTaskName27501201	ExecuteTaskContent27501201	ExecuteTaskStory27501201	SubmitTaskName27501201	SubmitTaskContent27501201	SubmitTaskStory27501201					0
3811	2750120	2	48	1	0	npc_D_001	npc_D_001	npc_D_001	0		1		6	6		0	0	0		4.000000	1		0		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0				ExecuteTaskName27501202	ExecuteTaskContent27501202	ExecuteTaskStory27501202	SubmitTaskName27501202	SubmitTaskContent27501202	SubmitTaskStory27501202					0
3812	2750120	3	2	2	0	monster27501001		monster27501001	0		1	1	6	6	-31.9,0.0,24.9	0	0	0		4.000000	1		0		0	0	0	1	0	0		item10000000002,100000;item1000,100000					0		1;2;3	-1;-1;-1	ExecuteTaskName27501203	ExecuteTaskContent27501203	ExecuteTaskStory27501203	SubmitTaskName27501203	SubmitTaskContent27501203	SubmitTaskStory27501203					0
3813	2750120	4	25	6	0	2750120,4	-31.9,0.0,24.9,45,icon_caiji,InteractiveSearch	-31.9,0.0,24.9,45,icon_caiji,InteractiveSearch	0		1		6	6	-31.9,0.0,24.9	0	0	0		4.000000	1		0		0	0	1	1	0	0		item10000000002,100000;item1000,100000	item10000000002,100000;item1000,100000				0				ExecuteTaskName27501204	ExecuteTaskContent27501204	ExecuteTaskStory27501204	SubmitTaskName27501204	SubmitTaskContent27501204	SubmitTaskStory27501204					0
3814	2750121	0	1	1	0	npc_100021	npc_100021	npc_100021	0		1		6	6		0	0	0		4.000000	1	npc_100021	6		0	0	0	1	0	0		item10000000002,20000;item1000,100000;item100000000003,3					0				ExecuteTaskName27501210	ExecuteTaskContent27501210	ExecuteTaskStory27501210	SubmitTaskName27501210	SubmitTaskContent27501210	SubmitTaskStory27501210					0
3815	2750121	1	25	6	0	2750121,1	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	-8.0,0.1,-10.8,46,icon_caiji,InteractivePray	0		1		2	2	-8.0,0.1,-10.8	0	0	0		4.000000	1		0		0	0	0	1	0	0		item10000000002,20000;item1000,100000;item100000000003,3					0				ExecuteTaskName27501211	ExecuteTaskContent27501211	ExecuteTaskStory27501211	SubmitTaskName27501211	SubmitTaskContent27501211	SubmitTaskStory27501211					0
3816	2750121	2	1	1	0	npc_10002	npc_10002	npc_10002	0		1		2	2	61.0,13.3,57.3	0	0	0		4.000000	1	npc_10002	2		0	0	1	1	0	0		item10000000002,20000;item1000,100000;item100000000003,3	item10000000002,20000;item1000,100000;item100000000003,3				0				ExecuteTaskName27501212	ExecuteTaskContent27501212	ExecuteTaskStory27501212	SubmitTaskName27501212	SubmitTaskContent27501212	SubmitTaskStory27501212					0
3817	2018801	0	1	1	0	npc_forging_001		npc_forging_001	0		1		2	2		0	0	0		3.000000	1	npc_forging_001	2		0	0	1	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188010	ExecuteTaskContent20188010	ExecuteTaskStory20188010	SubmitTaskName20188010	SubmitTaskContent20188010	SubmitTaskStory20188010					0
3818	2018802	0	1	1	0	npc_100821		npc_100821	0		1		2	2		0	0	0		3.000000	1	npc_100821	1		0	0	1	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188020	ExecuteTaskContent20188020	ExecuteTaskStory20188020	SubmitTaskName20188020	SubmitTaskContent20188020	SubmitTaskStory20188020					0
3819	2018802	1	4	1	0	door_350021		door_350021	0		1		1101	6	13.9,4.4,95.8	0	0	0		3.000000	1		0		0	0	0	1	0	0		item1000,20000;item105000000030,10	item1000,20000;item105000000030,10				0				ExecuteTaskName20188021	ExecuteTaskContent20188021	ExecuteTaskStory20188021	SubmitTaskName20188021	SubmitTaskContent20188021	SubmitTaskStory20188021					0
3820	2018802	2	4	1	0	door_30051		door_30051	0		1		1034	6	33.5,-5.0,-59.3	0	0	0		3.000000	1		0		0	0	0	1	0	0		item1000,20000;item100500000001,5	item1000,20000;item100500000001,5				0				ExecuteTaskName20188022	ExecuteTaskContent20188022	ExecuteTaskStory20188022	SubmitTaskName20188022	SubmitTaskContent20188022	SubmitTaskStory20188022					0
3821	2018802	3	4	1	0	door_350031		door_350031	0		1		1107	6	21.6,4.5,97.3	0	0	0		3.000000	1		0		0	0	0	1	0	0		item1000,20000;item101040101017,10	item1000,20000;item101040101017,10				0				ExecuteTaskName20188023	ExecuteTaskContent20188023	ExecuteTaskStory20188023	SubmitTaskName20188023	SubmitTaskContent20188023	SubmitTaskStory20188023					0
3822	2018802	4	1	1	0	npc_100821		npc_100821	0		1		1	1		0	0	0		3.000000	1	npc_100821	1		0	0	1	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188024	ExecuteTaskContent20188024	ExecuteTaskStory20188024	SubmitTaskName20188024	SubmitTaskContent20188024	SubmitTaskStory20188024					0
3823	2018803	0	1	1	0	npc_10189		npc_10189	0		1		7	7		0	0	0		3.000000	1	npc_10189	7		0	0	0	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188030	ExecuteTaskContent20188030	ExecuteTaskStory20188030	SubmitTaskName20188030	SubmitTaskContent20188030	SubmitTaskStory20188030					0
3824	2018803	1	3	5	0	item108100101104		LinkUI:TradingPanel;1;0;item108100101104	0		1		0	0		0	0	0		3.000000	10		0		0	0	1	1	0	0		item1000,15000;item8170000120010,3	item1000,15000;item8170000120010,3				0				ExecuteTaskName20188031	ExecuteTaskContent20188031	ExecuteTaskStory20188031	SubmitTaskName20188031	SubmitTaskContent20188031	SubmitTaskStory20188031					0
3825	2018803	2	3	5	0	item108100101202		LinkUI:TradingPanel;1;0;item108100101202	0		1		0	0		0	0	0		3.000000	10		0		0	0	1	1	0	0		item1000,15000;item8103010121004,3	item1000,15000;item8103010121004,3				0				ExecuteTaskName20188032	ExecuteTaskContent20188032	ExecuteTaskStory20188032	SubmitTaskName20188032	SubmitTaskContent20188032	SubmitTaskStory20188032					0
3826	2018803	3	3	5	0	item108100102203		LinkUI:TradingPanel;1;0;item108100102203	0		1		0	0		0	0	0		3.000000	10		0		0	0	1	1	0	0		item1000,15000;item8144320000001,3	item1000,15000;item8144320000001,3				0				ExecuteTaskName20188033	ExecuteTaskContent20188033	ExecuteTaskStory20188033	SubmitTaskName20188033	SubmitTaskContent20188033	SubmitTaskStory20188033					0
3827	2018803	4	1	1	0	npc_10189		npc_10189	0		1		7	7		0	0	0		3.000000	1	npc_10189	7		0	0	1	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188034	ExecuteTaskContent20188034	ExecuteTaskStory20188034	SubmitTaskName20188034	SubmitTaskContent20188034	SubmitTaskStory20188034					0
3828	2018804	0	1	1	0	npc_forging_001		npc_forging_001	0		1		2	2		0	0	0		3.000000	1	npc_forging_001	2		0	0	1	1	0	0		item1000,5000	item1000,5000				0				ExecuteTaskName20188040	ExecuteTaskContent20188040	ExecuteTaskStory20188040	SubmitTaskName20188040	SubmitTaskContent20188040	SubmitTaskStory20188040					0
3829	2118801	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188010	ExecuteTaskContent21188010	ExecuteTaskStory21188010	SubmitTaskName21188010	SubmitTaskContent21188010	SubmitTaskStory21188010					0
3830	2118802	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188020	ExecuteTaskContent21188020	ExecuteTaskStory21188020	SubmitTaskName21188020	SubmitTaskContent21188020	SubmitTaskStory21188020					0
3831	2118803	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188030	ExecuteTaskContent21188030	ExecuteTaskStory21188030	SubmitTaskName21188030	SubmitTaskContent21188030	SubmitTaskStory21188030					0
3832	2118804	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188040	ExecuteTaskContent21188040	ExecuteTaskStory21188040	SubmitTaskName21188040	SubmitTaskContent21188040	SubmitTaskStory21188040					0
3833	2118805	0	1	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											ExecuteTaskName21188050	ExecuteTaskContent21188050	ExecuteTaskStory21188050	SubmitTaskName21188050	SubmitTaskContent21188050	SubmitTaskStory21188050					0
3834	2118806	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188060	ExecuteTaskContent21188060	ExecuteTaskStory21188060	SubmitTaskName21188060	SubmitTaskContent21188060	SubmitTaskStory21188060					0
3835	2118807	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188070	ExecuteTaskContent21188070	ExecuteTaskStory21188070	SubmitTaskName21188070	SubmitTaskContent21188070	SubmitTaskStory21188070					0
3836	2118808	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188080	ExecuteTaskContent21188080	ExecuteTaskStory21188080	SubmitTaskName21188080	SubmitTaskContent21188080	SubmitTaskStory21188080					0
3837	2118809	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188090	ExecuteTaskContent21188090	ExecuteTaskStory21188090	SubmitTaskName21188090	SubmitTaskContent21188090	SubmitTaskStory21188090					0
3838	2118810	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188100	ExecuteTaskContent21188100	ExecuteTaskStory21188100	SubmitTaskName21188100	SubmitTaskContent21188100	SubmitTaskStory21188100					0
3839	2118811	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188110	ExecuteTaskContent21188110	ExecuteTaskStory21188110	SubmitTaskName21188110	SubmitTaskContent21188110	SubmitTaskStory21188110					0
3840	2118812	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188120	ExecuteTaskContent21188120	ExecuteTaskStory21188120	SubmitTaskName21188120	SubmitTaskContent21188120	SubmitTaskStory21188120					0
3841	2118813	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188130	ExecuteTaskContent21188130	ExecuteTaskStory21188130	SubmitTaskName21188130	SubmitTaskContent21188130	SubmitTaskStory21188130					0
3842	2118814	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188140	ExecuteTaskContent21188140	ExecuteTaskStory21188140	SubmitTaskName21188140	SubmitTaskContent21188140	SubmitTaskStory21188140					0
3843	2118815	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188150	ExecuteTaskContent21188150	ExecuteTaskStory21188150	SubmitTaskName21188150	SubmitTaskContent21188150	SubmitTaskStory21188150					0
3844	2118816	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188160	ExecuteTaskContent21188160	ExecuteTaskStory21188160	SubmitTaskName21188160	SubmitTaskContent21188160	SubmitTaskStory21188160					0
3845	2118817	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188170	ExecuteTaskContent21188170	ExecuteTaskStory21188170	SubmitTaskName21188170	SubmitTaskContent21188170	SubmitTaskStory21188170					0
3846	2118818	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188180	ExecuteTaskContent21188180	ExecuteTaskStory21188180	SubmitTaskName21188180	SubmitTaskContent21188180	SubmitTaskStory21188180					0
3847	2118819	0	2	2	0				0				0	0		0	0	0		3.000000	1		0		0	0	1	1	0	1							0				ExecuteTaskName21188190	ExecuteTaskContent21188190	ExecuteTaskStory21188190	SubmitTaskName21188190	SubmitTaskContent21188190	SubmitTaskStory21188190					0
3848	2128801	0	8	5	0	StarForgeLvUp		LinkUI:StrengthenPanel;4	0		1		0	0		0	0	0		0.000000	1		0		1	0	1	1	0	0							0				ExecuteTaskName21288010	ExecuteTaskContent21288010	ExecuteTaskStory21288010	SubmitTaskName21288010	SubmitTaskContent21288010	SubmitTaskStory21288010					0
3849	2128802	0	1	0	0				0				0	0		0	0	0		0.000000	0		0		0	0	0	0	0	0											ExecuteTaskName21288020	ExecuteTaskContent21288020	ExecuteTaskStory21288020	SubmitTaskName21288020	SubmitTaskContent21288020	SubmitTaskStory21288020					0
3850	590010	0	48	5	0	591400point		LinkUI:StarChildChapterViewPanel	0				0	0		0	0	0		0.000000	1		0		0	0	1	1	0	3							0				ExecuteTaskName5900100	ExecuteTaskContent5900100	ExecuteTaskStory5900100	SubmitTaskName5900100	SubmitTaskContent5900100	SubmitTaskStory5900100					0
3851	590010	1	72	5	0			LinkUI:StarChildChapterViewPanel	0				0	0		0	0	0		0.000000	0		0		0	0	1	1	0	3											ExecuteTaskName5900101	ExecuteTaskContent5900101	ExecuteTaskStory5900101	SubmitTaskName5900101	SubmitTaskContent5900101	SubmitTaskStory5900101					0
3852	591010	0	1	1	0	npc_10159	npc_10159	npc_10159	0		1		2	2		0	0	0		4.000000	1	npc_10159	2		0	0	0	1	0	0							0				ExecuteTaskName5910100	ExecuteTaskContent5910100	ExecuteTaskStory5910100	SubmitTaskName5910100	SubmitTaskContent5910100	SubmitTaskStory5910100					0
3853	591020	0	73	4	0	npc_10002;3		60.2,13.3,56.3	0		1		2	2	60.2,13.3,56.3	0	0	0		0.000000	1		0		0	0	0	1	0	0							0				ExecuteTaskName5910200	ExecuteTaskContent5910200	ExecuteTaskStory5910200	SubmitTaskName5910200	SubmitTaskContent5910200	SubmitTaskStory5910200					0
3854	591020	1	1	1	0	npc_10002		npc_10002	0		1		2	2		0	0	0		3.000000	1	npc_10002	2		0	0	0	1	0	0							0				ExecuteTaskName5910201	ExecuteTaskContent5910201	ExecuteTaskStory5910201	SubmitTaskName5910201	SubmitTaskContent5910201	SubmitTaskStory5910201					0
3855	591030	0	73	4	0	npc_10043;3		97.7,9.7,22.9	0		1		2	2	97.7,9.7,22.9	0	0	0		0.000000	1		0		0	0	0	1	0	0							0				ExecuteTaskName5910300	ExecuteTaskContent5910300	ExecuteTaskStory5910300	SubmitTaskName5910300	SubmitTaskContent5910300	SubmitTaskStory5910300					0
3856	591030	1	1	1	0	npc_10043		npc_10043	0		1		2	2		0	0	0		3.000000	1	npc_10043	2		0	0	0	1	0	0							0				ExecuteTaskName5910301	ExecuteTaskContent5910301	ExecuteTaskStory5910301	SubmitTaskName5910301	SubmitTaskContent5910301	SubmitTaskStory5910301					0
