流水ID	NPC	等级	经验	阶段文本	相识历程文本	比较喜欢礼物	喜欢礼物	邮件回礼奖励	谢礼文本	每日好感交互类型	交互增加好感度	每日好感度上限	羁绊类型	羁绊效果	羁绊名称	羁绊说明
340	npc_10190	9	110000	Relationship_Name_9	Relationship_Des_9	item170000104010;item170000104020;item170000104030	item106210100015	item107999900001,300	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,22,125	BondNameDes5_npc_10190	BondDes5_npc_10190
341	npc_10190	10	160000	Relationship_Name_10	Relationship_Des_10	item170000104010;item170000104020;item170000104030	item106210100015	item8103010111018,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,31,100	BondNameDes6_npc_10190	BondDes6_npc_10190
342	npc_10189	0	0				item106210100018					3000	0			
343	npc_10189	1	500	Relationship_Name_1	Relationship_Des_1	item107999900001;item107999900002;item107999900003	item106210100018	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,24,50	BondNameDes1_npc_10189	BondDes1_npc_10189
344	npc_10189	2	2000	Relationship_Name_2	Relationship_Des_2	item107999900001;item107999900002;item107999900003	item106210100018	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
345	npc_10189	3	4000	Relationship_Name_3	Relationship_Des_3	item107999900001;item107999900002;item107999900003	item106210100018	item101040101015,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,24,75	BondNameDes2_npc_10189	BondDes2_npc_10189
346	npc_10189	4	10000	Relationship_Name_4	Relationship_Des_4	item107999900001;item107999900002;item107999900003	item106210100018	item107999900001,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
347	npc_10189	5	20000	Relationship_Name_5	Relationship_Des_5	item107999900001;item107999900002;item107999900003	item106210100018	item103010131001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,24,100	BondNameDes3_npc_10189	BondDes3_npc_10189
348	npc_10189	6	40000	Relationship_Name_6	Relationship_Des_6	item107999900001;item107999900002;item107999900003	item106210100018	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
349	npc_10189	7	80000	Relationship_Name_7	Relationship_Des_7	item107999900001;item107999900002;item107999900003	item106210100018	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,24,125	BondNameDes4_npc_10189	BondDes4_npc_10189
350	npc_10189	8	140000	Relationship_Name_8	Relationship_Des_8	item107999900001;item107999900002;item107999900003	item106210100018	item107999900002,87	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
351	npc_10189	9	220000	Relationship_Name_9	Relationship_Des_9	item107999900001;item107999900002;item107999900003	item106210100018	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,24,150	BondNameDes5_npc_10189	BondDes5_npc_10189
352	npc_10189	10	320000	Relationship_Name_10	Relationship_Des_10	item107999900001;item107999900002;item107999900003	item106210100018	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,33,200	BondNameDes6_npc_10189	BondDes6_npc_10189
353	npc_10197	0	0				item106210100012					2000	0			
354	npc_10197	1	500	Relationship_Name_1	Relationship_Des_1	item103010111001;item103010111002;item103010111003	item106210100012	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	2	0,26,25	BondNameDes1_npc_10197	BondDes1_npc_10197
355	npc_10197	2	1000	Relationship_Name_2	Relationship_Des_2	item103010111001;item103010111002;item103010111003	item106210100012	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
356	npc_10197	3	2000	Relationship_Name_3	Relationship_Des_3	item103010111001;item103010111002;item103010111003	item106210100012	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	2	0,26,50	BondNameDes2_npc_10197	BondDes2_npc_10197
357	npc_10197	4	5000	Relationship_Name_4	Relationship_Des_4	item103010111001;item103010111002;item103010111003	item106210100012	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
358	npc_10197	5	10000	Relationship_Name_5	Relationship_Des_5	item103010111001;item103010111002;item103010111003	item106210100012	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	2	0,26,75	BondNameDes3_npc_10197	BondDes3_npc_10197
359	npc_10197	6	20000	Relationship_Name_6	Relationship_Des_6	item103010111001;item103010111002;item103010111003	item106210100012	item1000,6000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
360	npc_10197	7	40000	Relationship_Name_7	Relationship_Des_7	item103010111001;item103010111002;item103010111003	item106210100012	item107300000002,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,26,100	BondNameDes4_npc_10197	BondDes4_npc_10197
361	npc_10197	8	70000	Relationship_Name_8	Relationship_Des_8	item103010111001;item103010111002;item103010111003	item106210100012	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
362	npc_10197	9	110000	Relationship_Name_9	Relationship_Des_9	item103010111001;item103010111002;item103010111003	item106210100012	item101040101015,180	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,26,125	BondNameDes5_npc_10197	BondDes5_npc_10197
363	npc_10197	10	160000	Relationship_Name_10	Relationship_Des_10	item103010111001;item103010111002;item103010111003	item106210100012	item8170000120010,500	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,35,100	BondNameDes6_npc_10197	BondDes6_npc_10197
364	npc_10196	0	0				item106210100005					3000	0			
365	npc_10196	1	500	Relationship_Name_1	Relationship_Des_1	item107300000001;item107300000002	item106210100005	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	1	item100000000006,10	BondNameDes1_npc_10196	BondDes1_npc_10196
366	npc_10196	2	2000	Relationship_Name_2	Relationship_Des_2	item107300000001;item107300000002	item106210100005	item101040101015,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
367	npc_10196	3	4000	Relationship_Name_3	Relationship_Des_3	item107300000001;item107300000002	item106210100005	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	1	item100000000006,25	BondNameDes2_npc_10196	BondDes2_npc_10196
368	npc_10196	4	10000	Relationship_Name_4	Relationship_Des_4	item107300000001;item107300000002	item106210100005	item8103010121004,18	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
369	npc_10196	5	20000	Relationship_Name_5	Relationship_Des_5	item107300000001;item107300000002	item106210100005	item103010131001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	1	item100000000006,75	BondNameDes3_npc_10196	BondDes3_npc_10196
370	npc_10196	6	40000	Relationship_Name_6	Relationship_Des_6	item107300000001;item107300000002	item106210100005	item107999900002,54	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
371	npc_10196	7	80000	Relationship_Name_7	Relationship_Des_7	item107300000001;item107300000002	item106210100005	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,15	BondNameDes4_npc_10196	BondDes4_npc_10196
372	npc_10196	8	140000	Relationship_Name_8	Relationship_Des_8	item107300000001;item107300000002	item106210100005	item107300000001,130	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
373	npc_10196	9	220000	Relationship_Name_9	Relationship_Des_9	item107300000001;item107300000002	item106210100005	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,30	BondNameDes5_npc_10196	BondDes5_npc_10196
374	npc_10196	10	320000	Relationship_Name_10	Relationship_Des_10	item107300000001;item107300000002	item106210100005	item107300000002,100	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,60	BondNameDes6_npc_10196	BondDes6_npc_10196
375	npc_10222	0	0				item106210100003					3000	0			
376	npc_10222	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100003	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,4,10	BondNameDes1_npc_10222	BondDes1_npc_10222
377	npc_10222	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100003	item107999900001,17	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
378	npc_10222	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100003	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,4,15	BondNameDes2_npc_10222	BondDes2_npc_10222
379	npc_10222	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100003	item101040101015,35	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
380	npc_10222	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100003	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,4,20	BondNameDes3_npc_10222	BondDes3_npc_10222
381	npc_10222	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100003	item8103010121004,80	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
382	npc_10222	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100003	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,4,25	BondNameDes4_npc_10222	BondDes4_npc_10222
383	npc_10222	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100003	item8103010121005,33	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
384	npc_10222	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100003	item8103010121005,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,4,30	BondNameDes5_npc_10222	BondDes5_npc_10222
385	npc_10222	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100003	item8103010121005,63	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,13,100	BondNameDes6_npc_10222	BondDes6_npc_10222
386	npc_10227	0	0				item106210100002					3000	0			
387	npc_10227	1	500	Relationship_Name_1	Relationship_Des_1	item103010111006;item103010111007;item103010111008	item106210100002	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,1,100	BondNameDes1_npc_10227	BondDes1_npc_10227
388	npc_10227	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111006;item103010111007;item103010111008	item106210100002	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
389	npc_10227	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111006;item103010111007;item103010111008	item106210100002	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,1,150	BondNameDes2_npc_10227	BondDes2_npc_10227
390	npc_10227	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111006;item103010111007;item103010111008	item106210100002	item8170000120010,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
391	npc_10227	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111006;item103010111007;item103010111008	item106210100002	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,1,200	BondNameDes3_npc_10227	BondDes3_npc_10227
392	npc_10227	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111006;item103010111007;item103010111008	item106210100002	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
393	npc_10227	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111006;item103010111007;item103010111008	item106210100002	item1000,20000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,1,250	BondNameDes4_npc_10227	BondDes4_npc_10227
394	npc_10227	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111006;item103010111007;item103010111008	item106210100002	item101040101015,260	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
395	npc_10227	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111006;item103010111007;item103010111008	item106210100002	item107300000001,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,1,300	BondNameDes5_npc_10227	BondDes5_npc_10227
396	npc_10227	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111006;item103010111007;item103010111008	item106210100002	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,11,100	BondNameDes6_npc_10227	BondDes6_npc_10227
397	npc_10224	0	0				item106210100017					2000	0			
398	npc_10224	1	500	Relationship_Name_1	Relationship_Des_1	item103010111001;item103010111002;item103010111003	item106210100017	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	1	item105000000030,20	BondNameDes1_npc_10224	BondDes1_npc_10224
399	npc_10224	2	1000	Relationship_Name_2	Relationship_Des_2	item103010111001;item103010111002;item103010111003	item106210100017	item107200042001,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
400	npc_10224	3	2000	Relationship_Name_3	Relationship_Des_3	item103010111001;item103010111002;item103010111003	item106210100017	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	1	item105000000070,3	BondNameDes2_npc_10224	BondDes2_npc_10224
401	npc_10224	4	5000	Relationship_Name_4	Relationship_Des_4	item103010111001;item103010111002;item103010111003	item106210100017	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
402	npc_10224	5	10000	Relationship_Name_5	Relationship_Des_5	item103010111001;item103010111002;item103010111003	item106210100017	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	1	item105000000030,80	BondNameDes3_npc_10224	BondDes3_npc_10224
403	npc_10224	6	20000	Relationship_Name_6	Relationship_Des_6	item103010111001;item103010111002;item103010111003	item106210100017	item107999900002,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
404	npc_10224	7	40000	Relationship_Name_7	Relationship_Des_7	item103010111001;item103010111002;item103010111003	item106210100017	item8103010111018,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item105000000071,3	BondNameDes4_npc_10224	BondDes4_npc_10224
405	npc_10224	8	70000	Relationship_Name_8	Relationship_Des_8	item103010111001;item103010111002;item103010111003	item106210100017	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
406	npc_10224	9	110000	Relationship_Name_9	Relationship_Des_9	item103010111001;item103010111002;item103010111003	item106210100017	item107200043001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item105000000031,50	BondNameDes5_npc_10224	BondDes5_npc_10224
407	npc_10224	10	160000	Relationship_Name_10	Relationship_Des_10	item103010111001;item103010111002;item103010111003	item106210100017	item107300000001,125	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item105000000028,30	BondNameDes6_npc_10224	BondDes6_npc_10224
408	npc_103207	0	0				item106210100013					4000	0			
409	npc_103207	1	500	Relationship_Name_1	Relationship_Des_1	item107999900001;item107999900002;item107999900003	item106210100013	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,3,20	BondNameDes1_npc_103207	BondDes1_npc_103207
410	npc_103207	2	4000	Relationship_Name_2	Relationship_Des_2	item107999900001;item107999900002;item107999900003	item106210100013	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
411	npc_103207	3	8000	Relationship_Name_3	Relationship_Des_3	item107999900001;item107999900002;item107999900003	item106210100013	item107999900001,50	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,3,30	BondNameDes2_npc_103207	BondDes2_npc_103207
412	npc_103207	4	20000	Relationship_Name_4	Relationship_Des_4	item107999900001;item107999900002;item107999900003	item106210100013	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
413	npc_103207	5	40000	Relationship_Name_5	Relationship_Des_5	item107999900001;item107999900002;item107999900003	item106210100013	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,40	BondNameDes3_npc_103207	BondDes3_npc_103207
414	npc_103207	6	80000	Relationship_Name_6	Relationship_Des_6	item107999900001;item107999900002;item107999900003	item106210100013	item107300000002,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
415	npc_103207	7	160000	Relationship_Name_7	Relationship_Des_7	item107999900001;item107999900002;item107999900003	item106210100013	item107999900001,700	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,3,50	BondNameDes4_npc_103207	BondDes4_npc_103207
416	npc_103207	8	280000	Relationship_Name_8	Relationship_Des_8	item107999900001;item107999900002;item107999900003	item106210100013	item107200051001,26	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
417	npc_103207	9	440000	Relationship_Name_9	Relationship_Des_9	item107999900001;item107999900002;item107999900003	item106210100013	item101040101015,640	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,3,60	BondNameDes5_npc_103207	BondDes5_npc_103207
418	npc_103207	10	640000	Relationship_Name_10	Relationship_Des_10	item107999900001;item107999900002;item107999900003	item106210100013	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,12,200	BondNameDes6_npc_103207	BondDes6_npc_103207
419	npc_109005	0	0				item106210100020					3000	0			
420	npc_109005	1	500	Relationship_Name_1	Relationship_Des_1	item107300000001;item107300000002	item106210100020	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	1	item100000000006,10	BondNameDes1_npc_109005	BondDes1_npc_109005
421	npc_109005	2	2000	Relationship_Name_2	Relationship_Des_2	item107300000001;item107300000002	item106210100020	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
422	npc_109005	3	4000	Relationship_Name_3	Relationship_Des_3	item107300000001;item107300000002	item106210100020	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	1	item100000000006,25	BondNameDes2_npc_109005	BondDes2_npc_109005
423	npc_109005	4	10000	Relationship_Name_4	Relationship_Des_4	item107300000001;item107300000002	item106210100020	item8170000120010,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
424	npc_109005	5	20000	Relationship_Name_5	Relationship_Des_5	item107300000001;item107300000002	item106210100020	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	1	item100000000006,75	BondNameDes3_npc_109005	BondDes3_npc_109005
425	npc_109005	6	40000	Relationship_Name_6	Relationship_Des_6	item107300000001;item107300000002	item106210100020	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
426	npc_109005	7	80000	Relationship_Name_7	Relationship_Des_7	item107300000001;item107300000002	item106210100020	item1000,20000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,15	BondNameDes4_npc_109005	BondDes4_npc_109005
427	npc_109005	8	140000	Relationship_Name_8	Relationship_Des_8	item107300000001;item107300000002	item106210100020	item101040101015,260	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
428	npc_109005	9	220000	Relationship_Name_9	Relationship_Des_9	item107300000001;item107300000002	item106210100020	item107300000001,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,30	BondNameDes5_npc_109005	BondDes5_npc_109005
429	npc_109005	10	320000	Relationship_Name_10	Relationship_Des_10	item107300000001;item107300000002	item106210100020	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item100000000000,60	BondNameDes6_npc_109005	BondDes6_npc_109005
430	npc_109021	0	0				item106210100011					4000	0			
431	npc_109021	1	500	Relationship_Name_1	Relationship_Des_1	item103010111016;item103010111017;item103010111018	item106210100011	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,23,50	BondNameDes1_npc_109021	BondDes1_npc_109021
432	npc_109021	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111016;item103010111017;item103010111018	item106210100011	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
433	npc_109021	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111016;item103010111017;item103010111018	item106210100011	item107200042001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,23,75	BondNameDes2_npc_109021	BondDes2_npc_109021
434	npc_109021	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111016;item103010111017;item103010111018	item106210100011	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
435	npc_109021	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111016;item103010111017;item103010111018	item106210100011	item107200043001,28	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,23,100	BondNameDes3_npc_109021	BondDes3_npc_109021
436	npc_109021	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111016;item103010111017;item103010111018	item106210100011	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
437	npc_109021	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111016;item103010111017;item103010111018	item106210100011	item107300000002,84	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,23,125	BondNameDes4_npc_109021	BondDes4_npc_109021
438	npc_109021	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111016;item103010111017;item103010111018	item106210100011	item1000,57000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
439	npc_109021	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111016;item103010111017;item103010111018	item106210100011	item107300000002,128	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,23,150	BondNameDes5_npc_109021	BondDes5_npc_109021
440	npc_109021	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111016;item103010111017;item103010111018	item106210100011	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,32,200	BondNameDes6_npc_109021	BondDes6_npc_109021
441	npc_109008	0	0				item106210100007					4000	0			
442	npc_109008	1	500	Relationship_Name_1	Relationship_Des_1	item103010131001	item106210100007	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,206,100	BondNameDes1_npc_109008	BondDes1_npc_109008
443	npc_109008	2	4000	Relationship_Name_2	Relationship_Des_2	item103010131001	item106210100007	item8170000120010,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
444	npc_109008	3	8000	Relationship_Name_3	Relationship_Des_3	item103010131001	item106210100007	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,206,100	BondNameDes2_npc_109008	BondDes2_npc_109008
445	npc_109008	4	20000	Relationship_Name_4	Relationship_Des_4	item103010131001	item106210100007	item8103010121004,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
446	npc_109008	5	40000	Relationship_Name_5	Relationship_Des_5	item103010131001	item106210100007	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,206,100	BondNameDes3_npc_109008	BondDes3_npc_109008
447	npc_109008	6	80000	Relationship_Name_6	Relationship_Des_6	item103010131001	item106210100007	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
448	npc_109008	7	160000	Relationship_Name_7	Relationship_Des_7	item103010131001	item106210100007	item1000,42000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,206,300	BondNameDes4_npc_109008	BondDes4_npc_109008
449	npc_109008	8	280000	Relationship_Name_8	Relationship_Des_8	item103010131001	item106210100007	item8103010111018,46	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
450	npc_109008	9	440000	Relationship_Name_9	Relationship_Des_9	item103010131001	item106210100007	item107300000002,128	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,206,400	BondNameDes5_npc_109008	BondDes5_npc_109008
451	npc_109008	10	640000	Relationship_Name_10	Relationship_Des_10	item103010131001	item106210100007	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,206,500	BondNameDes6_npc_109008	BondDes6_npc_109008
452	npc_109020	0	0				item106210100016					3000	0			
453	npc_109020	1	500	Relationship_Name_1	Relationship_Des_1	item102010411001;item103010411001	item106210100016	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,25,25	BondNameDes1_npc_109020	BondDes1_npc_109020
