流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
3407	207	47	3,26;1,260;25,87;22,87	16500	item17908000000001,1
3408	207	48	3,27;1,270;25,90;22,90	16500	item17908000000001,1
3409	207	49	3,28;1,280;25,94;22,94	16500	item17908000000001,1
3410	207	50	3,29;1,290;25,97;22,97	25500	item17908000000001,1
3411	207	51	3,31;1,301;25,101;22,101	25500	item17908000000001,1
3412	207	52	3,32;1,312;25,104;22,104	25500	item17908000000001,1
3413	207	53	3,33;1,323;25,108;22,108	25500	item17908000000001,1
3414	207	54	3,34;1,334;25,112;22,112	25500	item17908000000001,1
3415	207	55	3,35;1,345;25,115;22,115	34000	item17908000000001,1
3416	207	56	3,36;1,357;25,119;22,119	34000	item17908000000001,1
3417	207	57	3,37;1,369;25,123;22,123	34000	item17908000000001,1
3418	207	58	3,39;1,381;25,127;22,127	34000	item17908000000001,1
3419	207	59	3,40;1,393;25,131;22,131	34000	item17908000000001,1
3420	207	60	3,41;1,405;25,135;22,135	21000	item17908000000001,1
3421	207	61	3,42;1,418;25,140;22,140	21000	item17908000000001,1
3422	207	62	3,44;1,431;25,144;22,144	21000	item17908000000001,1
3423	207	63	3,45;1,444;25,148;22,148	21000	item17908000000001,1
3424	207	64	3,46;1,457;25,153;22,153	21000	item17908000000001,1
3425	207	65	3,47;1,470;25,157;22,157	38500	item17908000000001,1
3426	207	66	3,49;1,483;25,161;22,161	38500	item17908000000001,1
3427	207	67	3,50;1,496;25,166;22,166	38500	item17908000000001,1
3428	207	68	3,51;1,509;25,170;22,170	38500	item17908000000001,1
3429	207	69	3,53;1,522;25,174;22,174	38500	item17908000000001,1
3430	207	70	3,54;1,535;25,179;22,179	55500	item17908000000001,1
3431	207	71	3,55;1,549;25,183;22,183	55500	item17908000000001,1
3432	207	72	3,57;1,563;25,188;22,188	55500	item17908000000001,1
3433	207	73	3,58;1,577;25,193;22,193	55500	item17908000000001,1
3434	207	74	3,60;1,591;25,197;22,197	55500	item17908000000001,1
3435	207	75	3,61;1,605;25,202;22,202	72500	item17908000000001,1
3436	207	76	3,62;1,620;25,207;22,207	72500	item17908000000001,1
3437	207	77	3,64;1,635;25,212;22,212	72500	item17908000000001,1
3438	207	78	3,65;1,650;25,217;22,217	72500	item17908000000001,1
3439	207	79	3,67;1,665;25,222;22,222	72500	item17908000000001,1
3440	207	80	3,68;1,680;25,227;22,227	45000	item17908000000001,1
3441	207	81	3,70;1,696;25,232;22,232	45000	item17908000000001,1
3442	207	82	3,72;1,712;25,238;22,238	45000	item17908000000001,1
3443	207	83	3,73;1,728;25,243;22,243	45000	item17908000000001,1
3444	207	84	3,75;1,744;25,248;22,248	45000	item17908000000001,1
3445	207	85	3,76;1,760;25,254;22,254	82500	item17908000000001,1
3446	207	86	3,78;1,777;25,259;22,259	82500	item17908000000001,1
3447	207	87	3,80;1,794;25,265;22,265	82500	item17908000000001,1
3448	207	88	3,82;1,811;25,271;22,271	82500	item17908000000001,1
3449	207	89	3,83;1,828;25,276;22,276	82500	item17908000000001,1
3450	207	90	3,85;1,845;25,282;22,282	120000	item17908000000001,1
3451	207	91	3,87;1,863;25,288;22,288	120000	item17908000000001,1
3452	207	92	3,89;1,881;25,294;22,294	120000	item17908000000001,1
3453	207	93	3,90;1,899;25,300;22,300	120000	item17908000000001,1
3454	207	94	3,92;1,917;25,306;22,306	120000	item17908000000001,1
3455	207	95	3,94;1,935;25,312;22,312	157500	item17908000000001,1
3456	207	96	3,96;1,954;25,318;22,318	157500	item17908000000001,1
3457	207	97	3,98;1,973;25,325;22,325	157500	item17908000000001,1
3458	207	98	3,100;1,992;25,331;22,331	157500	item17908000000001,1
3459	207	99	3,102;1,1011;25,337;22,337	157500	item17908000000001,1
3460	207	100	3,103;1,1030;25,344;22,344	97500	item17908000000001,1
3461	207	101	3,105;1,1050;25,350;22,350	97500	item17908000000001,1
3462	207	102	3,107;1,1070;25,357;22,357	97500	item17908000000001,1
3463	207	103	3,109;1,1090;25,364;22,364	97500	item17908000000001,1
3464	207	104	3,111;1,1110;25,370;22,370	97500	item17908000000001,1
3465	207	105	3,113;1,1130;25,377;22,377	163500	item17908000000001,1
3466	207	106	3,116;1,1151;25,384;22,384	163500	item17908000000001,1
3467	207	107	3,118;1,1172;25,391;22,391	163500	item17908000000001,1
3468	207	108	3,120;1,1193;25,398;22,398	163500	item17908000000001,1
3469	207	109	3,122;1,1214;25,405;22,405	163500	item17908000000001,1
3470	207	110	3,124;1,1235;25,412;22,412	229500	item17908000000001,1
3471	207	111	3,126;1,1257;25,419;22,419	229500	item17908000000001,1
3472	207	112	3,128;1,1279;25,427;22,427	229500	item17908000000001,1
3473	207	113	3,131;1,1301;25,434;22,434	229500	item17908000000001,1
3474	207	114	3,133;1,1323;25,441;22,441	229500	item17908000000001,1
3475	207	115	3,135;1,1345;25,449;22,449	295000	item17908000000001,1
3476	207	116	3,137;1,1367;25,456;22,456	295000	item17908000000001,1
3477	207	117	3,139;1,1389;25,463;22,463	295000	item17908000000001,1
3478	207	118	3,142;1,1411;25,471;22,471	295000	item17908000000001,1
3479	207	119	3,144;1,1433;25,478;22,478	295000	item17908000000001,1
3480	207	120	3,146;1,1455;25,485;22,485	180000	item17908000000001,1
3481	207	121	3,148;1,1478;25,493;22,493	180000	item17908000000001,1
3482	207	122	3,151;1,1501;25,501;22,501	180000	item17908000000001,1
3483	207	123	3,153;1,1524;25,508;22,508	180000	item17908000000001,1
3484	207	124	3,155;1,1547;25,516;22,516	180000	item17908000000001,1
3485	207	125	3,157;1,1570;25,524;22,524	280000	item17908000000001,1
3486	207	126	3,160;1,1594;25,532;22,532	280000	item17908000000001,1
3487	207	127	3,162;1,1618;25,540;22,540	280000	item17908000000001,1
3488	207	128	3,165;1,1642;25,548;22,548	280000	item17908000000001,1
3489	207	129	3,167;1,1666;25,556;22,556	280000	item17908000000001,1
3490	207	130	3,169;1,1690;25,564;22,564	380000	item17908000000001,1
3491	207	131	3,172;1,1715;25,572;22,572	380000	item17908000000001,1
3492	207	132	3,174;1,1740;25,580;22,580	380000	item17908000000001,1
3493	207	133	3,177;1,1765;25,589;22,589	380000	item17908000000001,1
3494	207	134	3,179;1,1790;25,597;22,597	380000	item17908000000001,1
3495	207	135	3,182;1,1815;25,605;22,605	480000	item17908000000001,1
3496	207	136	3,185;1,1841;25,614;22,614	480000	item17908000000001,1
3497	207	137	3,187;1,1867;25,623;22,623	480000	item17908000000001,1
3498	207	138	3,190;1,1893;25,631;22,631	480000	item17908000000001,1
3499	207	139	3,192;1,1919;25,640;22,640	480000	item17908000000001,1
3500	207	140	3,195;1,1945;25,649;22,649	0	item17908000000001,1
3501	307	1	3,1;1,2;25,1;22,1	200	item17908000000001,1
3502	307	2	3,1;1,4;25,2;22,2	200	item17908000000001,1
3503	307	3	3,1;1,6;25,2;22,2	200	item17908000000001,1
3504	307	4	3,1;1,8;25,3;22,3	200	item17908000000001,1
3505	307	5	3,1;1,10;25,4;22,4	600	item17908000000001,1
3506	307	6	3,2;1,13;25,5;22,5	600	item17908000000001,1
3507	307	7	3,2;1,16;25,6;22,6	600	item17908000000001,1
3508	307	8	3,2;1,19;25,7;22,7	600	item17908000000001,1
3509	307	9	3,3;1,22;25,8;22,8	600	item17908000000001,1
3510	307	10	3,3;1,25;25,9;22,9	1000	item17908000000001,1
3511	307	11	3,3;1,30;25,10;22,10	1000	item17908000000001,1
3512	307	12	3,4;1,35;25,12;22,12	1000	item17908000000001,1
3513	307	13	3,4;1,40;25,14;22,14	1000	item17908000000001,1
3514	307	14	3,5;1,45;25,15;22,15	1000	item17908000000001,1
3515	307	15	3,5;1,50;25,17;22,17	2000	item17908000000001,1
3516	307	16	3,6;1,55;25,19;22,19	2000	item17908000000001,1
3517	307	17	3,6;1,60;25,20;22,20	2000	item17908000000001,1
3518	307	18	3,7;1,65;25,22;22,22	2000	item17908000000001,1
3519	307	19	3,7;1,70;25,24;22,24	2000	item17908000000001,1
3520	307	20	3,8;1,75;25,25;22,25	800	item17908000000001,1
3521	307	21	3,9;1,82;25,28;22,28	800	item17908000000001,1
3522	307	22	3,9;1,89;25,30;22,30	800	item17908000000001,1
3523	307	23	3,10;1,96;25,32;22,32	800	item17908000000001,1
3524	307	24	3,11;1,103;25,35;22,35	800	item17908000000001,1
3525	307	25	3,11;1,110;25,37;22,37	2500	item17908000000001,1
3526	307	26	3,12;1,118;25,40;22,40	2500	item17908000000001,1
3527	307	27	3,13;1,126;25,42;22,42	2500	item17908000000001,1
3528	307	28	3,14;1,134;25,45;22,45	2500	item17908000000001,1
3529	307	29	3,15;1,142;25,48;22,48	2500	item17908000000001,1
3530	307	30	3,15;1,150;25,50;22,50	7000	item17908000000001,1
3531	307	31	3,16;1,159;25,53;22,53	7000	item17908000000001,1
3532	307	32	3,17;1,168;25,56;22,56	7000	item17908000000001,1
3533	307	33	3,18;1,177;25,59;22,59	7000	item17908000000001,1
3534	307	34	3,19;1,186;25,62;22,62	7000	item17908000000001,1
3535	307	35	3,20;1,195;25,65;22,65	15000	item17908000000001,1
3536	307	36	3,21;1,205;25,69;22,69	15000	item17908000000001,1
3537	307	37	3,22;1,215;25,72;22,72	15000	item17908000000001,1
3538	307	38	3,23;1,225;25,75;22,75	15000	item17908000000001,1
3539	307	39	3,24;1,235;25,79;22,79	15000	item17908000000001,1
3540	307	40	3,25;1,245;25,82;22,82	7500	item17908000000001,1
3541	307	41	3,26;1,256;25,86;22,86	7500	item17908000000001,1
3542	307	42	3,27;1,267;25,89;22,89	7500	item17908000000001,1
3543	307	43	3,28;1,278;25,93;22,93	7500	item17908000000001,1
3544	307	44	3,29;1,289;25,97;22,97	7500	item17908000000001,1
3545	307	45	3,30;1,300;25,100;22,100	16500	item17908000000001,1
3546	307	46	3,32;1,312;25,104;22,104	16500	item17908000000001,1
3547	307	47	3,33;1,324;25,108;22,108	16500	item17908000000001,1
3548	307	48	3,34;1,336;25,112;22,112	16500	item17908000000001,1
3549	307	49	3,35;1,348;25,116;22,116	16500	item17908000000001,1
3550	307	50	3,36;1,360;25,120;22,120	25500	item17908000000001,1
3551	307	51	3,38;1,373;25,125;22,125	25500	item17908000000001,1
3552	307	52	3,39;1,386;25,129;22,129	25500	item17908000000001,1
3553	307	53	3,40;1,399;25,133;22,133	25500	item17908000000001,1
3554	307	54	3,42;1,412;25,138;22,138	25500	item17908000000001,1
3555	307	55	3,43;1,425;25,142;22,142	34000	item17908000000001,1
3556	307	56	3,44;1,440;25,147;22,147	34000	item17908000000001,1
3557	307	57	3,46;1,455;25,152;22,152	34000	item17908000000001,1
3558	307	58	3,47;1,470;25,157;22,157	34000	item17908000000001,1
3559	307	59	3,49;1,485;25,162;22,162	34000	item17908000000001,1
3560	307	60	3,50;1,500;25,167;22,167	21000	item17908000000001,1
3561	307	61	3,52;1,516;25,172;22,172	21000	item17908000000001,1
3562	307	62	3,54;1,532;25,178;22,178	21000	item17908000000001,1
3563	307	63	3,55;1,548;25,183;22,183	21000	item17908000000001,1
3564	307	64	3,57;1,564;25,188;22,188	21000	item17908000000001,1
3565	307	65	3,58;1,580;25,194;22,194	38500	item17908000000001,1
3566	307	66	3,60;1,597;25,199;22,199	38500	item17908000000001,1
3567	307	67	3,62;1,614;25,205;22,205	38500	item17908000000001,1
3568	307	68	3,64;1,631;25,211;22,211	38500	item17908000000001,1
3569	307	69	3,65;1,648;25,216;22,216	38500	item17908000000001,1
3570	307	70	3,67;1,665;25,222;22,222	55500	item17908000000001,1
3571	307	71	3,69;1,683;25,228;22,228	55500	item17908000000001,1
3572	307	72	3,71;1,701;25,234;22,234	55500	item17908000000001,1
3573	307	73	3,72;1,719;25,240;22,240	55500	item17908000000001,1
3574	307	74	3,74;1,737;25,246;22,246	55500	item17908000000001,1
3575	307	75	3,76;1,755;25,252;22,252	72500	item17908000000001,1
3576	307	76	3,78;1,774;25,258;22,258	72500	item17908000000001,1
3577	307	77	3,80;1,793;25,265;22,265	72500	item17908000000001,1
3578	307	78	3,82;1,812;25,271;22,271	72500	item17908000000001,1
3579	307	79	3,84;1,831;25,277;22,277	72500	item17908000000001,1
3580	307	80	3,85;1,850;25,284;22,284	45000	item17908000000001,1
3581	307	81	3,87;1,870;25,290;22,290	45000	item17908000000001,1
3582	307	82	3,89;1,890;25,297;22,297	45000	item17908000000001,1
3583	307	83	3,91;1,910;25,304;22,304	45000	item17908000000001,1
3584	307	84	3,93;1,930;25,310;22,310	45000	item17908000000001,1
3585	307	85	3,95;1,950;25,317;22,317	82500	item17908000000001,1
3586	307	86	3,98;1,972;25,324;22,324	82500	item17908000000001,1
3587	307	87	3,100;1,994;25,332;22,332	82500	item17908000000001,1
3588	307	88	3,102;1,1016;25,339;22,339	82500	item17908000000001,1
3589	307	89	3,104;1,1038;25,346;22,346	82500	item17908000000001,1
3590	307	90	3,106;1,1060;25,354;22,354	120000	item17908000000001,1
3591	307	91	3,109;1,1082;25,361;22,361	120000	item17908000000001,1
3592	307	92	3,111;1,1104;25,368;22,368	120000	item17908000000001,1
3593	307	93	3,113;1,1126;25,376;22,376	120000	item17908000000001,1
3594	307	94	3,115;1,1148;25,383;22,383	120000	item17908000000001,1
3595	307	95	3,117;1,1170;25,390;22,390	157500	item17908000000001,1
3596	307	96	3,120;1,1193;25,398;22,398	157500	item17908000000001,1
3597	307	97	3,122;1,1216;25,406;22,406	157500	item17908000000001,1
3598	307	98	3,124;1,1239;25,413;22,413	157500	item17908000000001,1
3599	307	99	3,127;1,1262;25,421;22,421	157500	item17908000000001,1
3600	307	100	3,129;1,1285;25,429;22,429	97500	item17908000000001,1
3601	307	101	3,131;1,1310;25,437;22,437	97500	item17908000000001,1
3602	307	102	3,134;1,1335;25,445;22,445	97500	item17908000000001,1
3603	307	103	3,136;1,1360;25,454;22,454	97500	item17908000000001,1
3604	307	104	3,139;1,1385;25,462;22,462	97500	item17908000000001,1
3605	307	105	3,141;1,1410;25,470;22,470	163500	item17908000000001,1
3606	307	106	3,144;1,1436;25,479;22,479	163500	item17908000000001,1
3607	307	107	3,147;1,1462;25,488;22,488	163500	item17908000000001,1
3608	307	108	3,149;1,1488;25,496;22,496	163500	item17908000000001,1
3609	307	109	3,152;1,1514;25,505;22,505	163500	item17908000000001,1
3610	307	110	3,154;1,1540;25,514;22,514	229500	item17908000000001,1
3611	307	111	3,157;1,1567;25,523;22,523	229500	item17908000000001,1
3612	307	112	3,160;1,1594;25,532;22,532	229500	item17908000000001,1
3613	307	113	3,163;1,1621;25,541;22,541	229500	item17908000000001,1
3614	307	114	3,165;1,1648;25,550;22,550	229500	item17908000000001,1
3615	307	115	3,168;1,1675;25,559;22,559	295000	item17908000000001,1
3616	307	116	3,171;1,1703;25,568;22,568	295000	item17908000000001,1
3617	307	117	3,174;1,1731;25,577;22,577	295000	item17908000000001,1
3618	307	118	3,176;1,1759;25,587;22,587	295000	item17908000000001,1
3619	307	119	3,179;1,1787;25,596;22,596	295000	item17908000000001,1
3620	307	120	3,182;1,1815;25,605;22,605	180000	item17908000000001,1
3621	307	121	3,185;1,1844;25,615;22,615	180000	item17908000000001,1
3622	307	122	3,188;1,1873;25,625;22,625	180000	item17908000000001,1
3623	307	123	3,191;1,1902;25,634;22,634	180000	item17908000000001,1
3624	307	124	3,194;1,1931;25,644;22,644	180000	item17908000000001,1
3625	307	125	3,196;1,1960;25,654;22,654	280000	item17908000000001,1
3626	307	126	3,199;1,1990;25,664;22,664	280000	item17908000000001,1
3627	307	127	3,202;1,2020;25,674;22,674	280000	item17908000000001,1
3628	307	128	3,205;1,2050;25,684;22,684	280000	item17908000000001,1
3629	307	129	3,208;1,2080;25,694;22,694	280000	item17908000000001,1
3630	307	130	3,211;1,2110;25,704;22,704	380000	item17908000000001,1
3631	307	131	3,215;1,2142;25,714;22,714	380000	item17908000000001,1
3632	307	132	3,218;1,2174;25,725;22,725	380000	item17908000000001,1
3633	307	133	3,221;1,2206;25,736;22,736	380000	item17908000000001,1
3634	307	134	3,224;1,2238;25,746;22,746	380000	item17908000000001,1
3635	307	135	3,227;1,2270;25,757;22,757	480000	item17908000000001,1
3636	307	136	3,231;1,2303;25,768;22,768	480000	item17908000000001,1
3637	307	137	3,234;1,2336;25,779;22,779	480000	item17908000000001,1
3638	307	138	3,237;1,2369;25,790;22,790	480000	item17908000000001,1
3639	307	139	3,241;1,2402;25,801;22,801	480000	item17908000000001,1
3640	307	140	3,244;1,2435;25,812;22,812	0	item17908000000001,1
3641	407	1	3,1;1,2;25,1;22,1	200	item17908000000001,1
3642	407	2	3,1;1,4;25,2;22,2	200	item17908000000001,1
3643	407	3	3,1;1,6;25,2;22,2	200	item17908000000001,1
3644	407	4	3,1;1,8;25,3;22,3	200	item17908000000001,1
3645	407	5	3,1;1,10;25,4;22,4	600	item17908000000001,1
3646	407	6	3,2;1,14;25,5;22,5	600	item17908000000001,1
3647	407	7	3,2;1,18;25,6;22,6	600	item17908000000001,1
3648	407	8	3,3;1,22;25,8;22,8	600	item17908000000001,1
3649	407	9	3,3;1,26;25,9;22,9	600	item17908000000001,1
3650	407	10	3,3;1,30;25,10;22,10	1000	item17908000000001,1
3651	407	11	3,4;1,35;25,12;22,12	1000	item17908000000001,1
3652	407	12	3,4;1,40;25,14;22,14	1000	item17908000000001,1
3653	407	13	3,5;1,45;25,15;22,15	1000	item17908000000001,1
3654	407	14	3,5;1,50;25,17;22,17	1000	item17908000000001,1
3655	407	15	3,6;1,55;25,19;22,19	2000	item17908000000001,1
3656	407	16	3,7;1,61;25,21;22,21	2000	item17908000000001,1
3657	407	17	3,7;1,67;25,23;22,23	2000	item17908000000001,1
3658	407	18	3,8;1,73;25,25;22,25	2000	item17908000000001,1
3659	407	19	3,8;1,79;25,27;22,27	2000	item17908000000001,1
3660	407	20	3,9;1,85;25,29;22,29	800	item17908000000001,1
3661	407	21	3,10;1,93;25,31;22,31	800	item17908000000001,1
3662	407	22	3,11;1,101;25,34;22,34	800	item17908000000001,1
3663	407	23	3,11;1,109;25,37;22,37	800	item17908000000001,1
3664	407	24	3,12;1,117;25,39;22,39	800	item17908000000001,1
3665	407	25	3,13;1,125;25,42;22,42	2500	item17908000000001,1
3666	407	26	3,14;1,134;25,45;22,45	2500	item17908000000001,1
3667	407	27	3,15;1,143;25,48;22,48	2500	item17908000000001,1
3668	407	28	3,16;1,152;25,51;22,51	2500	item17908000000001,1
3669	407	29	3,17;1,161;25,54;22,54	2500	item17908000000001,1
3670	407	30	3,17;1,170;25,57;22,57	7000	item17908000000001,1
3671	407	31	3,18;1,180;25,60;22,60	7000	item17908000000001,1
3672	407	32	3,19;1,190;25,64;22,64	7000	item17908000000001,1
3673	407	33	3,20;1,200;25,67;22,67	7000	item17908000000001,1
3674	407	34	3,21;1,210;25,70;22,70	7000	item17908000000001,1
3675	407	35	3,22;1,220;25,74;22,74	15000	item17908000000001,1
3676	407	36	3,24;1,232;25,78;22,78	15000	item17908000000001,1
3677	407	37	3,25;1,244;25,82;22,82	15000	item17908000000001,1
3678	407	38	3,26;1,256;25,86;22,86	15000	item17908000000001,1
3679	407	39	3,27;1,268;25,90;22,90	15000	item17908000000001,1
3680	407	40	3,28;1,280;25,94;22,94	7500	item17908000000001,1
3681	407	41	3,30;1,293;25,98;22,98	7500	item17908000000001,1
3682	407	42	3,31;1,306;25,102;22,102	7500	item17908000000001,1
3683	407	43	3,32;1,319;25,107;22,107	7500	item17908000000001,1
3684	407	44	3,34;1,332;25,111;22,111	7500	item17908000000001,1
3685	407	45	3,35;1,345;25,115;22,115	16500	item17908000000001,1
3686	407	46	3,36;1,359;25,120;22,120	16500	item17908000000001,1
3687	407	47	3,38;1,373;25,125;22,125	16500	item17908000000001,1
3688	407	48	3,39;1,387;25,129;22,129	16500	item17908000000001,1
3689	407	49	3,41;1,401;25,134;22,134	16500	item17908000000001,1
3690	407	50	3,42;1,415;25,139;22,139	25500	item17908000000001,1
3691	407	51	3,44;1,431;25,144;22,144	25500	item17908000000001,1
3692	407	52	3,45;1,447;25,149;22,149	25500	item17908000000001,1
3693	407	53	3,47;1,463;25,155;22,155	25500	item17908000000001,1
3694	407	54	3,48;1,479;25,160;22,160	25500	item17908000000001,1
3695	407	55	3,50;1,495;25,165;22,165	34000	item17908000000001,1
3696	407	56	3,52;1,512;25,171;22,171	34000	item17908000000001,1
3697	407	57	3,53;1,529;25,177;22,177	34000	item17908000000001,1
3698	407	58	3,55;1,546;25,182;22,182	34000	item17908000000001,1
3699	407	59	3,57;1,563;25,188;22,188	34000	item17908000000001,1
3700	407	60	3,58;1,580;25,194;22,194	21000	item17908000000001,1
3701	407	61	3,60;1,598;25,200;22,200	21000	item17908000000001,1
3702	407	62	3,62;1,616;25,206;22,206	21000	item17908000000001,1
3703	407	63	3,64;1,634;25,212;22,212	21000	item17908000000001,1
3704	407	64	3,66;1,652;25,218;22,218	21000	item17908000000001,1
3705	407	65	3,67;1,670;25,224;22,224	38500	item17908000000001,1
3706	407	66	3,69;1,689;25,230;22,230	38500	item17908000000001,1
3707	407	67	3,71;1,708;25,236;22,236	38500	item17908000000001,1
3708	407	68	3,73;1,727;25,243;22,243	38500	item17908000000001,1
3709	407	69	3,75;1,746;25,249;22,249	38500	item17908000000001,1
3710	407	70	3,77;1,765;25,255;22,255	55500	item17908000000001,1
3711	407	71	3,79;1,786;25,262;22,262	55500	item17908000000001,1
3712	407	72	3,81;1,807;25,269;22,269	55500	item17908000000001,1
3713	407	73	3,83;1,828;25,276;22,276	55500	item17908000000001,1
3714	407	74	3,85;1,849;25,283;22,283	55500	item17908000000001,1
3715	407	75	3,87;1,870;25,290;22,290	72500	item17908000000001,1
3716	407	76	3,90;1,892;25,298;22,298	72500	item17908000000001,1
3717	407	77	3,92;1,914;25,305;22,305	72500	item17908000000001,1
3718	407	78	3,94;1,936;25,312;22,312	72500	item17908000000001,1
3719	407	79	3,96;1,958;25,320;22,320	72500	item17908000000001,1
3720	407	80	3,98;1,980;25,327;22,327	45000	item17908000000001,1
3721	407	81	3,101;1,1004;25,335;22,335	45000	item17908000000001,1
3722	407	82	3,103;1,1028;25,343;22,343	45000	item17908000000001,1
3723	407	83	3,106;1,1052;25,351;22,351	45000	item17908000000001,1
3724	407	84	3,108;1,1076;25,359;22,359	45000	item17908000000001,1
3725	407	85	3,110;1,1100;25,367;22,367	82500	item17908000000001,1
3726	407	86	3,113;1,1125;25,375;22,375	82500	item17908000000001,1
3727	407	87	3,115;1,1150;25,384;22,384	82500	item17908000000001,1
3728	407	88	3,118;1,1175;25,392;22,392	82500	item17908000000001,1
3729	407	89	3,120;1,1200;25,400;22,400	82500	item17908000000001,1
3730	407	90	3,123;1,1225;25,409;22,409	120000	item17908000000001,1
3731	407	91	3,126;1,1251;25,417;22,417	120000	item17908000000001,1
3732	407	92	3,128;1,1277;25,426;22,426	120000	item17908000000001,1
3733	407	93	3,131;1,1303;25,435;22,435	120000	item17908000000001,1
3734	407	94	3,133;1,1329;25,443;22,443	120000	item17908000000001,1
3735	407	95	3,136;1,1355;25,452;22,452	157500	item17908000000001,1
3736	407	96	3,139;1,1382;25,461;22,461	157500	item17908000000001,1
3737	407	97	3,141;1,1409;25,470;22,470	157500	item17908000000001,1
3738	407	98	3,144;1,1436;25,479;22,479	157500	item17908000000001,1
3739	407	99	3,147;1,1463;25,488;22,488	157500	item17908000000001,1
3740	407	100	3,149;1,1490;25,497;22,497	97500	item17908000000001,1
3741	407	101	3,152;1,1519;25,507;22,507	97500	item17908000000001,1
3742	407	102	3,155;1,1548;25,516;22,516	97500	item17908000000001,1
3743	407	103	3,158;1,1577;25,526;22,526	97500	item17908000000001,1
3744	407	104	3,161;1,1606;25,536;22,536	97500	item17908000000001,1
3745	407	105	3,164;1,1635;25,545;22,545	163500	item17908000000001,1
3746	407	106	3,167;1,1665;25,555;22,555	163500	item17908000000001,1
3747	407	107	3,170;1,1695;25,565;22,565	163500	item17908000000001,1
3748	407	108	3,173;1,1725;25,575;22,575	163500	item17908000000001,1
3749	407	109	3,176;1,1755;25,585;22,585	163500	item17908000000001,1
3750	407	110	3,179;1,1785;25,595;22,595	229500	item17908000000001,1
3751	407	111	3,182;1,1817;25,606;22,606	229500	item17908000000001,1
3752	407	112	3,185;1,1849;25,617;22,617	229500	item17908000000001,1
3753	407	113	3,189;1,1881;25,627;22,627	229500	item17908000000001,1
3754	407	114	3,192;1,1913;25,638;22,638	229500	item17908000000001,1
3755	407	115	3,195;1,1945;25,649;22,649	295000	item17908000000001,1
3756	407	116	3,198;1,1977;25,659;22,659	295000	item17908000000001,1
3757	407	117	3,201;1,2009;25,670;22,670	295000	item17908000000001,1
3758	407	118	3,205;1,2041;25,681;22,681	295000	item17908000000001,1
3759	407	119	3,208;1,2073;25,691;22,691	295000	item17908000000001,1
3760	407	120	3,211;1,2105;25,702;22,702	180000	item17908000000001,1
3761	407	121	3,214;1,2139;25,713;22,713	180000	item17908000000001,1
3762	407	122	3,218;1,2173;25,725;22,725	180000	item17908000000001,1
3763	407	123	3,221;1,2207;25,736;22,736	180000	item17908000000001,1
3764	407	124	3,225;1,2241;25,747;22,747	180000	item17908000000001,1
3765	407	125	3,228;1,2275;25,759;22,759	280000	item17908000000001,1
3766	407	126	3,231;1,2310;25,770;22,770	280000	item17908000000001,1
3767	407	127	3,235;1,2345;25,782;22,782	280000	item17908000000001,1
3768	407	128	3,238;1,2380;25,794;22,794	280000	item17908000000001,1
3769	407	129	3,242;1,2415;25,805;22,805	280000	item17908000000001,1
3770	407	130	3,245;1,2450;25,817;22,817	380000	item17908000000001,1
3771	407	131	3,249;1,2487;25,829;22,829	380000	item17908000000001,1
3772	407	132	3,253;1,2524;25,842;22,842	380000	item17908000000001,1
3773	407	133	3,257;1,2561;25,854;22,854	380000	item17908000000001,1
3774	407	134	3,260;1,2598;25,866;22,866	380000	item17908000000001,1
3775	407	135	3,264;1,2635;25,879;22,879	480000	item17908000000001,1
3776	407	136	3,268;1,2673;25,891;22,891	480000	item17908000000001,1
3777	407	137	3,272;1,2711;25,904;22,904	480000	item17908000000001,1
3778	407	138	3,275;1,2749;25,917;22,917	480000	item17908000000001,1
3779	407	139	3,279;1,2787;25,929;22,929	480000	item17908000000001,1
3780	407	140	3,283;1,2825;25,942;22,942	0	item17908000000001,1
3781	507	1	3,1;1,3;25,1;22,1	200	item17908000000001,1
3782	507	2	3,1;1,6;25,2;22,2	200	item17908000000001,1
3783	507	3	3,1;1,9;25,3;22,3	200	item17908000000001,1
3784	507	4	3,2;1,12;25,4;22,4	200	item17908000000001,1
3785	507	5	3,2;1,15;25,5;22,5	600	item17908000000001,1
3786	507	6	3,2;1,19;25,7;22,7	600	item17908000000001,1
3787	507	7	3,3;1,23;25,8;22,8	600	item17908000000001,1
3788	507	8	3,3;1,27;25,9;22,9	600	item17908000000001,1
3789	507	9	3,4;1,31;25,11;22,11	600	item17908000000001,1
3790	507	10	3,4;1,35;25,12;22,12	1000	item17908000000001,1
3791	507	11	3,5;1,41;25,14;22,14	1000	item17908000000001,1
3792	507	12	3,5;1,47;25,16;22,16	1000	item17908000000001,1
3793	507	13	3,6;1,53;25,18;22,18	1000	item17908000000001,1
3794	507	14	3,6;1,59;25,20;22,20	1000	item17908000000001,1
3795	507	15	3,7;1,65;25,22;22,22	2000	item17908000000001,1
3796	507	16	3,8;1,72;25,24;22,24	2000	item17908000000001,1
3797	507	17	3,8;1,79;25,27;22,27	2000	item17908000000001,1
3798	507	18	3,9;1,86;25,29;22,29	2000	item17908000000001,1
3799	507	19	3,10;1,93;25,31;22,31	2000	item17908000000001,1
3800	507	20	3,10;1,100;25,34;22,34	800	item17908000000001,1
3801	507	21	3,11;1,109;25,37;22,37	800	item17908000000001,1
