流水id	学徒id	学徒等级	武艺属性加成	升级属性加成范围	才艺属性加成	升级属性加成范围	升级所需经验	学徒称号等级	援护技能上限
1733	apprentic_6003	53	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	487	3	4
1734	apprentic_6003	54	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	507	3	4
1735	apprentic_6003	55	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	527	3	4
1736	apprentic_6003	56	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	547	3	4
1737	apprentic_6003	57	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	567	3	4
1738	apprentic_6003	58	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	587	3	4
1739	apprentic_6003	59	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	607	3	4
1740	apprentic_6003	60	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	627	3	4
1741	apprentic_6003	61	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	647	4	5
1742	apprentic_6003	62	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	687	4	5
1743	apprentic_6003	63	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	727	4	5
1744	apprentic_6003	64	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	767	4	5
1745	apprentic_6003	65	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	807	4	5
1746	apprentic_6003	66	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	847	4	5
1747	apprentic_6003	67	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	887	4	5
1748	apprentic_6003	68	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	927	4	5
1749	apprentic_6003	69	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	967	4	5
1750	apprentic_6003	70	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1007	4	5
1751	apprentic_6003	71	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1047	4	5
1752	apprentic_6003	72	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1107	4	5
1753	apprentic_6003	73	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1167	4	5
1754	apprentic_6003	74	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1227	4	5
1755	apprentic_6003	75	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1287	4	5
1756	apprentic_6003	76	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1347	4	5
1757	apprentic_6003	77	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1407	4	5
1758	apprentic_6003	78	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1467	4	5
1759	apprentic_6003	79	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	1527	4	5
1760	apprentic_6003	80	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;34,288,345,1666;35,230,288,1666;31,345,460,1666	2,3	1,38,76,1666;2,38,76,1666;3,32,64,1666;4,32,64,1666;5,30,60,1666;6,30,60,1666	0	4	5
1761	apprentic_6004	1	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	7	1	2
1762	apprentic_6004	2	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	9	1	2
1763	apprentic_6004	3	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	11	1	2
1764	apprentic_6004	4	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	13	1	2
1765	apprentic_6004	5	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	15	1	2
1766	apprentic_6004	6	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	17	1	2
1767	apprentic_6004	7	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	19	1	2
1768	apprentic_6004	8	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	21	1	2
1769	apprentic_6004	9	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	23	1	2
1770	apprentic_6004	10	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	25	1	2
1771	apprentic_6004	11	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	27	1	2
1772	apprentic_6004	12	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	29	1	2
1773	apprentic_6004	13	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	31	1	2
1774	apprentic_6004	14	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	33	1	2
1775	apprentic_6004	15	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	35	1	2
1776	apprentic_6004	16	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	37	1	2
1777	apprentic_6004	17	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	39	1	2
1778	apprentic_6004	18	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	41	1	2
1779	apprentic_6004	19	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	43	1	2
1780	apprentic_6004	20	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	45	1	2
1781	apprentic_6004	21	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	47	2	3
1782	apprentic_6004	22	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	57	2	3
1783	apprentic_6004	23	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	67	2	3
1784	apprentic_6004	24	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	77	2	3
1785	apprentic_6004	25	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	87	2	3
1786	apprentic_6004	26	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	97	2	3
1787	apprentic_6004	27	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	107	2	3
1788	apprentic_6004	28	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	117	2	3
1789	apprentic_6004	29	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	127	2	3
1790	apprentic_6004	30	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	137	2	3
1791	apprentic_6004	31	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	147	2	3
1792	apprentic_6004	32	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	157	2	3
1793	apprentic_6004	33	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	167	2	3
1794	apprentic_6004	34	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	177	2	3
1795	apprentic_6004	35	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	187	2	3
1796	apprentic_6004	36	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	197	2	3
1797	apprentic_6004	37	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	207	2	3
1798	apprentic_6004	38	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	217	2	3
1799	apprentic_6004	39	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	227	2	3
1800	apprentic_6004	40	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	1,2	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	237	2	3
1801	apprentic_6004	41	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	247	3	4
1802	apprentic_6004	42	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	267	3	4
1803	apprentic_6004	43	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	287	3	4
1804	apprentic_6004	44	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	307	3	4
1805	apprentic_6004	45	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	327	3	4
1806	apprentic_6004	46	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	347	3	4
1807	apprentic_6004	47	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	367	3	4
1808	apprentic_6004	48	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	387	3	4
1809	apprentic_6004	49	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	407	3	4
1810	apprentic_6004	50	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	427	3	4
1811	apprentic_6004	51	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	447	3	4
1812	apprentic_6004	52	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	467	3	4
1813	apprentic_6004	53	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	487	3	4
1814	apprentic_6004	54	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	507	3	4
1815	apprentic_6004	55	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	527	3	4
1816	apprentic_6004	56	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	547	3	4
1817	apprentic_6004	57	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	567	3	4
1818	apprentic_6004	58	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	587	3	4
1819	apprentic_6004	59	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	607	3	4
1820	apprentic_6004	60	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	627	3	4
1821	apprentic_6004	61	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	647	4	5
1822	apprentic_6004	62	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	687	4	5
1823	apprentic_6004	63	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	727	4	5
1824	apprentic_6004	64	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	767	4	5
1825	apprentic_6004	65	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	807	4	5
1826	apprentic_6004	66	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	847	4	5
1827	apprentic_6004	67	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	887	4	5
1828	apprentic_6004	68	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	927	4	5
1829	apprentic_6004	69	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	967	4	5
1830	apprentic_6004	70	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1007	4	5
1831	apprentic_6004	71	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1047	4	5
1832	apprentic_6004	72	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1107	4	5
1833	apprentic_6004	73	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1167	4	5
1834	apprentic_6004	74	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1227	4	5
1835	apprentic_6004	75	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;34,360,432,1666;35,288,360,1666;31,432,576,1666	2,3	1,48,96,1666;2,48,96,1666;3,40,80,1666;4,40,80,1666;5,38,76,1666;6,38,76,1666	1287	4	5
