流水ID	编号	步骤	内容类型	提示内容	提示内容位置	提示内容弹出方式	提示内容字体大小	文字居中	方向	引导框大小	引导框位置偏移	引导出现延迟	目标是否旋转	旋转速度和半径	关键步	是否依赖上一个引导	开启条件类型	开启条件内容	是否反复触发	相对层级	是否强制	是否遮罩	是否全屏触发	重新引导版本	步骤名字	前置对象路径	不添加触发对象	触发对象路径	触发NPC	移动位置	移动提示特效半径	人声语音	适用渠道
362	1104	0	0	GuideText21008	0.5;1	1	20	1	0	1;1		0.000000	0		1		1	25		0			1	0				SeaContendBigMapPanel/MapRoot/Viewport/Map/PortRoot/NodeRoot/10101	0	0	0	0	
363	1104	1	1	GuideText21009	0.5;0.5	1	20	1	0	1;1		0.000000	0			1	1	25		0				0					0	0	0	100079	
364	1104	2	0	GuideText21011	-50;1	0	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaContendBigMapPanel/MapRoot/Viewport/Map/PortRoot/BossRoot/Monster1	0	0	0	0	
365	1104	3	0	GuideText21012	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaContendBigMapPanel/BottomRoot/BtnArea/BtnRoot/DayRewardBtn	0	0	0	0	
366	1104	4	0	GuideText21010	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0				0				SeaContendBigMapPanel/BottomRoot/BtnArea/BtnRoot/MapBtn	0	0	0	0	
367	1105	0	0	GuideText21013	-50;1	0	20	1	3	1;1		0.000000	0		1		1	25		0			1	0				SeaContendMiniMapPanel/Root/GridRoot/ScrollRect/Viewport/Content/StartPos	0	0	0	0	
368	1105	1	0	GuideText21015	0.5;1	0	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SeaContendMiniMapPanel/Root/TopRoot/SailCurrencyPageRoot/SeaCurrencyPage(Clone)/Root/Currency1	0	0	0	0	
369	1105	2	0	GuideText21016	0.5;1	0	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SeaContendMiniMapPanel/Root/TopRoot/SailCurrencyPageRoot/SeaCurrencyPage(Clone)/Root/Currency2	0	0	0	0	
370	1105	3	0	GuideText21017	0.5;1	0	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SeaContendMiniMapPanel/Root/TopRoot/SailCurrencyPageRoot/SeaCurrencyPage(Clone)/Root/Currency3	0	0	0	0	
371	1105	4	0	GuideText21014	-50;1	0	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaContendMiniMapPanel/Root/GridRoot/ScrollRect/Viewport/Content/Grid	0	0	0	0	
372	1106	0	0	GuideText21019	0;0	1	20	1	1	1;1		0.000000	0				1	25		0			1	0				SeaContendGridTipsPanel/Window/MyRoot/Title	0	0	0	0	
373	1106	1	0	GuideText21020	0;0	1	20	1	1	1;1		0.000000	0			1	1	25		0				0				SeaContendGridTipsPanel/Window/MyRoot/TopSoloBtn	0	0	0	0	
374	1107	0	0	GuideText21021	-50;1	1	20	1	3	1;1		0.000000	0		1		1	25		0			1	0				SeaContendIslandChartPanel/Root/IslanNodeRoot/绿叶之岛	0	0	0	0	
375	1107	1	0	GuideText21022	0;0	1	20	1	1	0.6;0.6		0.000000	0			1	1	25		0				0				SeaContendIslandChartPanel/Root/BottomRoot/CollectBtn	0	0	0	0	
376	1107	2	0	GuideText21023	-50;1	0	20	1	2	1;1		0.000000	0			1	1	25		0				0				SeaContendIslandChartPanel/Root/BottomRoot/IslandManageBtn	0	0	0	0	
377	1108	0	0	GuideText21024	-50;1	0	20	1	3	1;1		0.000000	0		1		1	25		0			1	0				SeaCurrencyIslandDetailsPanel/Window/Frame/BaseReward	0	0	0	0	
378	1108	1	0	GuideText21025	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaCurrencyIslandDetailsPanel/Window/Frame/LuckyItem/LuckyItemView/Viewport/Content/PrefabCell(Clone)	0	0	0	0	
379	1108	2	0	GuideText21026	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0				0				SeaContendLuckyItemSelectPanel/ItemIconScrollView/Viewport/Content/Lucky(Clone)	0	0	0	0	
380	1108	3	0	GuideText21027	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0				0				SeaContendLuckyItemSelectPanel/ConfirmBtn	0	0	0	0	
381	1108	4	0	GuideText21028	0;0	1	20	1	1	1;1		0.000000	0			1	1	25		0				0				SeaCurrencyIslandDetailsPanel/CloseButton	0	0	0	0	
382	1109	0	0	GuideText21029	1;1	0	20	1	1	1;1		0.000000	0		1		1	25		0			1	0				SeaContendBossChallengePanel/Root/SeaContendBossChallengeDetailPage/BonusLuck/LuckyItemRoot/LuckyItem	0	0	0	0	
383	1109	1	0	GuideText21030	-50;1	0	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaContendBossChallengePanel/Root/Left/BtnArea/TeamBtn	0	0	0	0	
384	1109	2	0	GuideText21031	1;1	0	20	1	1	1;1		0.000000	0			1	1	25		0				0				SeaContendBossChallengePanel/Root/SeaContendBossChallengeDetailPage/EnterBtn	0	0	0	0	
385	1110	0	0	GuideText21032	0.5;1	1	20	1	0	1;1		0.000000	0		1		1	25		0			1	0				SeaContendTalentPanel/Root/SkillPointsRoot/Gold	0	0	0	0	
386	1110	1	0	GuideText21033	0.5;1	1	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SeaContendTalentPanel/Root/SkillRoot/TabsRoot/Tab1/ShowAdd/AddImage	0	0	0	0	
387	1110	2	0	GuideText21034	0.5;0.5	1	20	1	0	1;1		0.000000	0				1	25		0			1	0				SeaContendTalentPanel/Root/SkillRoot/TabsRoot/Tab1/NextSkillRoot/SkillPrefab(Clone)/SkillRoot	0	0	0	100079	
388	1110	3	0	GuideText21035	1;1	0	20	1	2	1;1		0.000000	0				1	25		0				0				SeaContendTalentTipsPanel/PanelRoot/RuneInfoPage/Root/BottomArea/BtnArea/RightBtn	0	0	0	0	
389	1110	4	0	GuideText21036	1;1	0	20	1	1	1;1		0.000000	0			1	1	25		0			1	0				SeaContendTalentPanel/Root/SkillPointsRoot/ResetTalentPointBtn	0	0	0	0	
390	1110	5	0	GuideText21037	-50;1	1	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SeaContendTalentPanel/Root/ButtenRoot/Tab2	0	0	0	0	
391	1111	0	0	GuideText22002	1;180	0	20	1	2	1;1.5	0;60	0.000000	0		1		1	40		0			1	0				AbyssWarMainPanel/Root/BottomRoot/BtnArea/IntroductionBtn/ImageRoot	0	0	0	0	
392	1111	1	0	GuideText22003	-20;130	1	20	1	2	1;1.2	-25;20	0.000000	0			1	1	40		0			1	0				AbyssWarMainPanel/Root/BottomRoot/BtnArea/SkillBtn/ImageRoot	0	0	0	0	
393	1111	2	0	GuideText22004	1;40	0	20	1	2	1;1	0;-20	0.000000	0			1	1	40		0			1	0				AbyssWarMainPanel/Root/BottomRoot/BtnArea/MainStageBtn/ImageRoot	0	0	0	0	
394	1112	0	0	GuideText22005	-30;1	0	20	1	3	1;0.8		0.000000	0		1		1	40		0			1	0				AbyssWarStageSelectPanel/MapRoot/Viewport/Map/PortRoot/NodeRoot/NodePos1/101/Bg	0	0	0	0	
395	1113	0	0	GuideText22006	-30;1	0	20	1	3	1;1		0.000000	0		1		1	40		0			1	0				AbyssWarMiniMapPanel/Root/GridRoot/TileScrollRect/Viewport/Content/PlayerLayer/PlayerRoot/MaipPlayer	0	0	0	0	
396	1113	1	0	GuideText22007	1;50	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarMiniMapPanel/Root/GridRoot/TileScrollRect/Viewport/Content/ShowLayer/126/Root/IconRoot/IconImg	0	0	0	0	
397	1113	2	0	GuideText22026	1;50	0	20	1	2	1;0.8		0.000000	0			1	1	40		0			1	0				AbyssWarMiniMapPanel/Root/GridRoot/TileScrollRect/Viewport/Content/ShowLayer/155/Root/IconRoot/IconImg	0	0	0	0	
398	1113	3	0	GuideText22027	1;50	0	20	1	2	1;0.8		0.000000	0			1	1	40		0			1	0				AbyssWarMiniMapPanel/Root/GridRoot/TileScrollRect/Viewport/Content/ShowLayer/158/Root/IconRoot/IconImg	0	0	0	0	
399	1114	0	0	GuideText22008	1;1	0	20	1	2	1;1	-40;0	0.000000	0		1		1	40		0			1	0				AbyssWarGridTipsPanel/Window/MyRoot/TitleBG/TitleLabel	0	0	0	0	
400	1114	1	0	GuideText22009	1;20	1	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarGridTipsPanel/Window/MyRoot/RewardRoot/ItemIcon(Clone)/Graphic	0	0	0	0	
401	1114	2	0	GuideText22010	1;1	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarGridTipsPanel/Window/MyRoot/Cost/Count	0	0	0	0	
402	1114	3	0	GuideText22011	1;20	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarGridTipsPanel/Window/MyRoot/TopSoloBtn	0	0	0	0	
403	1115	0	0	GuideText22015	1;1	0	20	1	2	1;1		0.000000	0		1		1	40		0			1	0				AbyssWarTalentPanel/Root/LeftRoot/GrroveRoot/skillIconRoot/SkillIcon1/Image	0	0	0	0	
404	1115	1	0	GuideText22016	1;20	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarTalentPanel/Root/RightRoot/LowerRoot/SkillIcon (8)/SkillRoot/SkillImage	0	0	0	0	
405	1115	2	0	GuideText22017	1;1	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarTalentPanel/Root/RightRoot/LowerRoot/Title/SkillIcon1/Image	0	0	0	0	
406	1116	0	0	GuideText22019	1;1	0	20	1	2	1;1		0.000000	0		1		1	40		0			1	0				AbyssWarSkillTipsPanel/PanelRoot/CenterButton/Graphic	0	0	0	0	
407	1116	1	0	GuideText22020	1;30	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarTalentPanel/Root/LeftRoot/GrroveRoot/skillIconRoot/SkillIcon1/Image	0	0	0	0	
408	1116	2	0	GuideText22021	1;40	0	20	1	2	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarTalentPanel/Root/LeftRoot/SkillImage/SkillIconRoot/SkillIcon1/SkillRoot	0	0	0	0	
409	1117	0	0	GuideText22022	1;60	0	20	1	2	1;1		0.000000	0		1		1	40		0			1	0				AbyssWarActLinkAllPanel/MyRoot/PageRoot/SubPlotPage/AbyssWarPlotPage(Clone)/Window/PlotRootPage/AwardRootView/RwdArea/Viewport/Content/PrefabCell	0	0	0	0	
410	1117	1	0	GuideText22023	1;1	0	20	1	3	1;1		0.000000	0			1	1	40		0			1	0				AbyssWarActLinkAllPanel/MyRoot/PanelTabPageRoot/ToggleGroup/TreeMenuPage/ListView/Content/ParentMenuCell1	0	0	0	0	
411	1118	0	0	GuideText22024	-40;1	0	20	1	0	0.7;1	-60;0	0.000000	0		1		1	40		0			1	0				AbyssWarActLinkAllPanel/MyRoot/PageRoot/SubTaskPage/AbyssWarTaskPage(Clone)/Window/FixedScrollView1/Viewport/Content/PrefabCell(Clone)/TitleBg/DescText	0	0	0	0	
412	10012	0	0	GuideText100010	0;0	0	20	1	3	1;1		0.000000	4				4	10000020,0,3		0				0				MainPanel/JoystickTouch/JoystickTouchPageRoot/JoystickTouchPage(Clone)/TouchPanel/CircleImage	0	0	0	0	
413	10013	0	0	GuideText10040	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		3	10300320,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_6	0	0	0	100044	
414	10013	1	0	GuideText10041	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_25/OpenState	0	0	0	100049	
415	10013	2	0	GuideText10042	0;0	0	20	1	2	1;0.9		0.000000	0				0			0				0				DungeonInfoPanel/Window/MyRoot/RightPanel/DungeonNormalInfoPageRoot/TeamDungeonEnterPanel(Clone)/Window/Dungeon_NormalRoot/RightRoot/GoRoot/GoBtn	0	0	0	100048	
416	10014	0	0	GuideText20120	10;0	0	20	1	3	0;0	-10000;0	0.000000	0		1		4	10200060,0,3		0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/10200060	0	0	0	0	
417	10015	0	0	GuideText20120	10;0	0	20	1	3	0;0	-10000;0	0.000000	0		1		4	10200060,2,3		0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/10200060	0	0	0	0	
418	10016	0	0	GuideText100020	0;0	0	20	1	1	1;1		0.000000	0				4	11100020,2,3		0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/NormalAtkButton	0	0	0	0	
419	10017	0	0	GuideText10092	0;0	0	20	1	2	1;1		0.000000	0		1		4	11100150,3,3		0				0				MainPanel/ChatMiniRoot/ChatMiniPage(Clone)/CenterRoot/Root/Top/AutoButton	0	0	0	0	
420	10018	0	0	GuideText10031	0;0	0	20	1	0	1;0.8		0.000000	0		1		3	10800500,0,3		0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_30/OpenState	0	0	0	100065	
421	10018	1	1	GuideText10044	0.9;0.34	0	20	1	0	1;1		0.000000	0			1	1	30		0				0				TeamEasyGroupPanel/Window/MyRoot/CreateBtn	0	0	0	100051	
422	10018	2	1	GuideText10045	0.85;0.34	2	20	1	0	1;1		0.000000	0			1	1	30		0				0				TeamEasyGroupPanel/Window/MyRoot/AutoBtn	0	0	0	100052	
423	1119	0	0	GuideText22050	0;0	1	20	1	2	5;1.3	0;-35	0.000000	0		1		1	30		0			1	0				TraranEnterPanel/Root/TaskBtn	0	0	0	0	
424	1119	1	0	GuideText22051	15;-10	1	20	1	1	2.1;2.1	5;-15	0.000000	0			1	1	30		0			1	0				TraranEnterPanel/Root/ShopBtn	0	0	0	0	
425	1119	2	0	GuideText22052	-15;0	1	20	1	3	0.9;1	-20;-3	0.000000	0			1	1	30		0			1	0				TraranEnterPanel/Root/GameRoot/Today_Affix/Affix	0	0	0	0	
426	1119	3	0	GuideText22053	100;0	1	20	1	3	2;0.65	80;-3	0.000000	0			1	1	30		0			1	0				TraranEnterPanel/Root/GameRoot/Lost_Treasure/Chest	0	0	0	0	
427	1119	4	0	GuideText22054	-90;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				TraranEnterPanel/Root/GameRoot/Explore_Progress/AccessButton	0	0	0	0	
428	1119	5	0	GuideText22055	0;-130	1	20	1	0	5;5		0.000000	0			1	1	30		0				0				TraranEnterPanel/Root/Right/ButtonWorld	0	0	0	0	
429	1120	0	0	GuideText22056	-40;0	0	20	1	3	1;1		0.000000	0		1		1	30		0				0				TraranPreparePanel/Window/MyRoot/Left/Prefab/SlotAllRoot/0	0	0	0	0	
430	1120	1	0	GuideText22057	50;50	1	20	1	3	1.1;1.1		0.000000	0			1	1	30		0				0				TraranPreparePanel/Window/MyRoot/Right/FixedScrollView/Viewport	0	0	0	0	
431	1120	2	0	GuideText22058	-20;0	1	20	1	3	1;1		0.000000	0				1	30		0				0				TraranPreparePanel/Window/MyRoot/Left/UseProjectBtn	0	0	0	0	
432	1121	0	0	GuideText22059	0;0	0	20	1	0	1;1		0.000000	0		1		1	30		0			1	0				TraranMapPanel/CurrencyPageRoot/CommonCurrencyPage(Clone)/Root/SingleCurrencyPage(Clone)	0	0	0	0	
433	1121	1	0	GuideText22060	-90;0	1	20	1	1	1.1;1.1		0.000000	0			1	1	30		0			1	0				TraranMapPanel/SoldierListPageRoot/TraranSoldierTeamListPage(Clone)/Image	0	0	0	0	
434	1121	2	0	GuideText22061	-70;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				TraranMapPanel/Root/BottomRoot/BtnArea/SpoilsBtn	0	0	0	0	
435	1121	3	0	GuideText22062	-70;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				TraranMapPanel/Root/ScrollRect/Viewport/Content/PathRoot/1_2	0	0	0	0	
436	1123	0	0	GuideText22063	0;-10	0	20	1	0	1;0.8	0;10	0.000000	0				1	30		0			1	0				TraranSoldierTeamPanel/Window/MyRoot/RightRoot/InfoTitle2/ButtonRoot	0	0	0	0	
437	1124	0	0	GuideText22064	0;-30	0	20	1	0	1.05;1.05		0.000000	0				1	30		0			1	0				TraranSoldierTeamPanel/Window/MyRoot/RelicRoot/IconRoot	0	0	0	0	
438	1125	0	0	GuideText22065	0;0	0	20	1	1	1;1		0.000000	0				4	10000080,1,3		0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/SkillRollBtn	0	0	0	0	
439	1126	0	0	GuideText22066	0;0	1	20	1	3	1;1		0.000000	0		1		1	30		0			1	0				ElvesCastleMainPanel/Root/BtnRoot/TalentBtn/Graphic/Image	0	0	0	0	
440	1126	1	0	GuideText22067	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/BtnRoot/TaskBtn/Graphic/Image	0	0	0	0	
441	1126	2	0	GuideText22068	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/BtnRoot/ShopBtn/Graphic/Image	0	0	0	0	
442	1126	3	0	GuideText22069	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/BtnRoot/BlessBtn/Graphic/Image	0	0	0	0	
443	1126	4	0	GuideText22070	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/BtnRoot/PropBtn/Graphic/Image	0	0	0	0	
444	1126	5	0	GuideText22071	-2;0	1	20	1	1	1;1	-2;0	0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/Root/ToggleGroup/TabsRoot/EquipToggle	0	0	0	0	
445	1126	6	0	GuideText22072	0;0	1	20	1	1	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/Root/EyeButton/RaycastArea	0	0	0	0	
446	1126	7	0	GuideText22073	0;0	1	20	1	1	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/Root/FightProgress/FlushButton	0	0	0	0	
447	1126	8	0	GuideText22074	15;-50	1	20	1	2	0.8;0.3	15;-50	0.000000	0			1	1	30		0			1	0				ElvesCastleMainPanel/Root/ChallengeBtn/Image	0	0	0	0	
448	1127	0	0	GuideText22075	0;0	1	20	1	3	1;1		0.000000	0		1		1	30		0			1	0				ElvesCastleMapPanel/Root/BottomRoot/BtnArea/MonsterBuffBtn	0	0	0	0	
449	1127	1	0	GuideText22076	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMapPanel/Root/BottomRoot/BtnArea/AdditionBtn	0	0	0	0	
450	1127	2	0	GuideText22077	0;0	1	20	1	3	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMapPanel/Root/BottomRoot/BtnArea/EventDescBtn	0	0	0	0	
451	1127	3	0	GuideText22078	0;0	1	20	1	0	1;1		0.000000	0			1	1	30		0			1	0				ElvesCastleMapPanel/Player	0	0	0	0	
452	1127	4	0	GuideText22079	10;-10	1	20	1	0	0.9;0.8	10;-10	0.000000	0			1	1	30		0			1	0				ElvesCastleMapPanel/Root/Buff	0	0	0	0	
453	1128	0	0	GuideText22080	0;0	1	20	1	1	1;1		0.000000	0				5	499		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
454	1128	1	0	GuideText22081	20;0	1	20	1	1	1;1		0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_499	0	0	0	0	
455	1128	2	0	GuideText22082	0;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				ApprenticeMainPanel/MyRoot/FixedScrollView/Viewport/Content/PrefabCell(Clone)/RaycastArea	0	0	0	0	
456	1128	3	0	GuideText22083	30;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				AccessTipsPanel/MyRoot/FixedScrollView/Viewport/Content/PrefabCell(Clone)	0	0	0	0	
457	1129	0	0	GuideText22091	0;0	0	20	1	3	1;1		0.000000	0		1		0			0			1	0				GuardTempleMainPanel/Root/BottomRoot/BtnArea/ResearchBtn	0	0	0	0	
458	1129	1	0	GuideText22092	0;0	0	20	1	1	1;1		0.000000	0			1	0			0			1	0				GuardTempleMainPanel/Root/BottomRoot/BtnArea/AttackBtn	0	0	0	0	
459	1129	2	0	GuideText22093	0;0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				GuardTempleMainPanel/Root/BottomRoot/BtnArea/MilitaryBtn	0	0	0	0	
460	1129	3	0	GuideText22095	0;0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				GuardTempleMainPanel/ChallengeBtn	0	0	0	0	
461	1129	4	0	GuideText22096	0;0	0	20	1	1	1;1		0.000000	0			1	0			0				0				GuardTempleMainPanel/Root/BottomRoot/BtnArea/DefenceBtn	0	0	0	0	
462	1130	0	0	GuideText22090	0;0	0	20	1	3	1;1		0.000000	0		1		0			0				0				GuardTempleMiniMapPanel/Root/Map/GridRoot/GridCell09/Click	0	0	0	0	
463	1130	1	0	GuideText22094	0;0	0	20	1	3	1;1		0.000000	0				0			0				0				GuardTempleBattleEventPanel/Window/MyRoot/TopSoloBtn/RaycastArea	0	0	0	0	
464	1131	0	0	GuideText22100	0;0	1	20	1	2	1;1		0.000000	0		1		0			0				0				MainPanel/ChatMiniRoot/ChatMiniPage(Clone)/CenterRoot/Root/Top/FaceButton	0	0	0	0	
465	1131	1	0	GuideText22101	20;0	1	20	1	2	1;1		0.000000	0			1	0			0				0				MainPanel/ChatMiniRoot/ChatMiniPage(Clone)/CenterRoot/Root/SocialActionPage(Clone)/ActionRoot/TabRoot/Tab0	0	0	0	0	
466	1131	2	0	GuideText22102	0;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				MainPanel/ChatMiniRoot/ChatMiniPage(Clone)/CenterRoot/Root/SocialActionPage(Clone)/ActionRoot/ActionListPage/Viewport/Content/ChangeBody	0	0	0	0	
467	1132	0	0	GuideText22103	0;0	0	20	1	1	1;1		0.000000	0		1		0			0			1	0				ElementalSpiritActiveMainPanel/Root/BottomRoot/BtnArea/ElementalTrailBtn	0	0	0	0	
468	1132	1	0	GuideText22104	0;0	0	20	1	1	1;1		0.000000	0			1	0			0			1	0				ElementalSpiritActiveMainPanel/Root/BottomRoot/BtnArea/TrailTaskBtn	0	0	0	0	
469	1132	2	0	GuideText22105	0;0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				ElementalSpiritActiveMainPanel/Root/BottomRoot/BtnArea/TrailShopBtn	0	0	0	0	
470	1132	3	0	GuideText22106	0;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				ElementalSpiritActiveMainPanel/Root/BottomRoot/BtnArea/ElementalTrailBtn	0	0	0	0	
471	1132	4	1	GuideText22107	0;0	0	0		0			0.000000	0			1	0			0			1	0					0	0	0	0	
472	1132	5	0	GuideText22108	0;0	0	20	1	1	1;1		0.000000	0			1	0			0			1	0				ElementalSpiritActiveTrailPanel/MyRoot/InfoList/elementQueue/dm_ArrayMenu (1)	0	0	0	0	
473	1132	6	0	GuideText22109	0;0	0	20	1	1	1;1		0.000000	0			1	0			0				0				ElementalSpiritActiveTrailPanel/MyRoot/BtnRoot/assistBtn	0	0	0	0	
474	1132	7	1	GuideText22110	0;0	2	0		0			0.000000	0			1	0			0			1	0					0	0	0	0	
