流水Id	配置ID	常规/活动	展示佣兵编号	展示道具ID	概率描述的语言	模型显示	UI界面模型倍数	UI界面模型位置	背景图名称	模型喊话语言	常规宣传语言	活动宣传语言
155	156	2	soldier_npc_10042;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10042	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery115;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
156	157	2	soldier_npc_10041;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10041	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery116;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
157	158	2	soldier_npc_10039;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10039	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery260;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery161
158	159	2	soldier_npc_10043;soldier_npc_10046;soldier_npc_10032;soldier_npc_10045;soldier_npc_10012;soldier_npc_10044;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025;item105100000033	Soldier_Probability_2	soldier_npc_10043	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery117;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery92
159	160	2	soldier_npc_10046;soldier_npc_10022;soldier_npc_10043;soldier_npc_10045;soldier_npc_10012;soldier_npc_10044;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025;item105100000039	Soldier_Probability_2	soldier_npc_10046	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery118;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery99
160	161	2	soldier_npc_10043;soldier_npc_10046;soldier_npc_10032;soldier_npc_10045;soldier_npc_10012;soldier_npc_10044;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025;item105100000033	Soldier_Probability_2	soldier_npc_10043	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery117;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery92
161	162	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
162	163	2	soldier_npc_10046;soldier_npc_10022;soldier_npc_10043;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10045;soldier_npc_10012;soldier_npc_10044;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025;item105100000039	Soldier_Probability_2	soldier_npc_10046	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery118;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery99
163	164	2	soldier_npc_10040;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10040	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery262;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery263
164	165	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery83
165	166	2	soldier_npc_10042;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10042	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery115;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
166	167	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery104
167	168	2	soldier_npc_10041;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10041	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery116;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
168	169	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery105
169	170	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
170	171	2	soldier_npc_10048;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10048	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery120;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
171	172	2	soldier_npc_10047;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10047	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery121;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery111
172	173	2	soldier_npc_10039;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10039	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery260;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery161
173	174	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery83
174	175	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery103
175	176	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery104
176	177	2	soldier_npc_10036;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10036	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery73;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery106
177	178	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery105
178	179	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
179	180	2	soldier_npc_10049;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10049	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery119;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery113
180	181	2	soldier_npc_10041;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10041	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery116;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
181	182	2	soldier_npc_10048;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10048	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery120;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
182	183	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery104
