流水ID	职业ID	装备部位ID	装备星铸等级	装备孔位等级限制	升级到当前等级消耗道具	基础属性加成	显示属性值	显示属性加成值	总览中显示的技能描述	技能增强显示条件	孔位图标	更换技能特效未实装显示文字	视频跳转链接	技能视频预览	技能视频预览（url）	技能视频预览框显示描述
387	5	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge03_icon					
388	5	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_assassin07_01	eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	skill_1403					
389	5	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_assassin07_02	eqp_bf22_assassin07::buff01_lv2,9,eqp_bf22_assassin07::buff01_effect,10	skill_1403					
390	5	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_assassin07_03	eqp_bf22_assassin07::buff01_lv3,10,eqp_bf22_assassin07::buff01_effect,10	skill1403_starforge			hero_105_skill1403.mp4		buffname_eqp_bf22_assassin07;eqp_bf22_assassin07::buff01_effect;Lock_StarForge_Level_Rome_10
391	5	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge01_icon					
392	5	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge01_icon					
393	5	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge01_icon					
394	5	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge02_icon					
395	5	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge02_icon					
396	5	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge03_icon					
397	5	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	starforge03_icon					
398	5	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_assassin08_01	eqp_bf22_assassin08::buff01_lv1,8,eqp_bf22_assassin08::buff01_effect,10	skill_1404					
399	5	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_assassin08_02	eqp_bf22_assassin08::buff01_lv2,9,eqp_bf22_assassin08::buff01_effect,10	skill_1404					
400	5	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_assassin08_03	eqp_bf22_assassin08::buff01_lv3,10,eqp_bf22_assassin08::buff01_effect,10	skill1404_starforge			hero_105_skill1404.mp4		buffname_eqp_bf22_assassin08;eqp_bf22_assassin08::buff01_effect;Lock_StarForge_Level_Rome_10
401	6	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge01_icon					
402	6	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge01_icon					
403	6	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge01_icon					
404	6	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge02_icon					
405	6	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge02_icon					
406	6	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge03_icon					
407	6	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	starforge03_icon					
408	6	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_dragoon01_01	eqp_bf22_dragoon01::buff01_lv1,8,eqp_bf22_dragoon01::buff01_effect,10	skill_1509					
409	6	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_dragoon01_02	eqp_bf22_dragoon01::buff01_lv2,9,eqp_bf22_dragoon01::buff01_effect,10	skill_1509					
410	6	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_dragoon01_03	eqp_bf22_dragoon01::buff01_lv3,10,eqp_bf22_dragoon01::buff01_effect,10	skill1508_starforge			hero_106_skill1508.mp4		buffname_eqp_bf22_dragoon01;eqp_bf22_dragoon01::buff01_effect;Lock_StarForge_Level_Rome_10
411	6	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge01_icon					
412	6	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge01_icon					
413	6	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge01_icon					
414	6	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge02_icon					
415	6	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge02_icon					
416	6	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge03_icon					
417	6	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	starforge03_icon					
418	6	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_dragoon02_01	eqp_bf22_dragoon02::buff01_lv1,8,eqp_bf22_dragoon02::buff01_effect,10	skill_1504					
419	6	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_dragoon02_02	eqp_bf22_dragoon02::buff01_lv2,9,eqp_bf22_dragoon02::buff01_effect,10	skill_1504					
420	6	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_dragoon02_03	eqp_bf22_dragoon02::buff01_lv3,10,eqp_bf22_dragoon02::buff01_effect,10	skill1505_starforge			hero_106_skill1505.mp4		buffname_eqp_bf22_dragoon02;eqp_bf22_dragoon02::buff01_effect;Lock_StarForge_Level_Rome_10
421	6	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge01_icon					
422	6	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge01_icon					
423	6	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge01_icon					
424	6	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge02_icon					
425	6	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge02_icon					
426	6	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge03_icon					
427	6	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	starforge03_icon					
428	6	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_dragoon03_01	eqp_bf22_dragoon03::buff01_lv1,8,eqp_bf22_dragoon03::buff01_effect,10	skill_1503					
429	6	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_dragoon03_02	eqp_bf22_dragoon03::buff01_lv2,9,eqp_bf22_dragoon03::buff01_effect,10	skill_1503					
430	6	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_dragoon03_03	eqp_bf22_dragoon03::buff01_lv3,10,eqp_bf22_dragoon03::buff01_effect,10	skill1503_starforge			hero_106_skill1503.mp4		buffname_eqp_bf22_dragoon03;eqp_bf22_dragoon03::buff01_effect;Lock_StarForge_Level_Rome_10
431	6	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge01_icon					
432	6	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge01_icon					
433	6	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge01_icon					
434	6	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge02_icon					
435	6	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge02_icon					
436	6	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge03_icon					
437	6	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	starforge03_icon					
438	6	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_dragoon04_01	eqp_bf22_dragoon04::buff01_lv1,8,eqp_bf22_dragoon04::buff01_effect,10	skill_1501					
439	6	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_dragoon04_02	eqp_bf22_dragoon04::buff01_lv2,9,eqp_bf22_dragoon04::buff01_effect,10	skill_1501					
440	6	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_dragoon04_03	eqp_bf22_dragoon04::buff01_lv3,10,eqp_bf22_dragoon04::buff01_effect,10	skill1502_starforge			hero_106_skill1502.mp4		buffname_eqp_bf22_dragoon04;eqp_bf22_dragoon04::buff01_effect;Lock_StarForge_Level_Rome_10
441	6	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge01_icon					
442	6	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge01_icon					
443	6	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge01_icon					
444	6	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge02_icon					
445	6	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge02_icon					
446	6	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge03_icon					
447	6	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	starforge03_icon					
448	6	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_dragoon05_01	eqp_bf22_dragoon05::buff01_lv1,8,eqp_bf22_dragoon05::buff01_effect,10	skill_1502					
449	6	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_dragoon05_02	eqp_bf22_dragoon05::buff01_lv2,9,eqp_bf22_dragoon05::buff01_effect,10	skill_1502					
450	6	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_dragoon05_03	eqp_bf22_dragoon05::buff01_lv3,10,eqp_bf22_dragoon05::buff01_effect,10	skill1504_starforge			hero_106_skill1504.mp4		buffname_eqp_bf22_dragoon05;eqp_bf22_dragoon05::buff01_effect;Lock_StarForge_Level_Rome_10
451	6	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge01_icon					
452	6	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge01_icon					
453	6	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge01_icon					
454	6	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge02_icon					
455	6	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge02_icon					
456	6	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge03_icon					
457	6	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	starforge03_icon					
458	6	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_dragoon06_01	eqp_bf22_dragoon06::buff01_lv1,8,eqp_bf22_dragoon06::buff01_effect,10	skill_1506					
459	6	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_dragoon06_02	eqp_bf22_dragoon06::buff01_lv2,9,eqp_bf22_dragoon06::buff01_effect,10	skill_1506					
460	6	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_dragoon06_03	eqp_bf22_dragoon06::buff01_lv3,10,eqp_bf22_dragoon06::buff01_effect,10	skill1506_starforge			hero_106_skill1506.mp4		buffname_eqp_bf22_dragoon06;eqp_bf22_dragoon06::buff01_effect;Lock_StarForge_Level_Rome_10
461	6	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge01_icon					
462	6	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge01_icon					
463	6	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge01_icon					
464	6	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge02_icon					
465	6	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge02_icon					
466	6	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge03_icon					
467	6	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	starforge03_icon					
468	6	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_dragoon07_01	eqp_bf22_dragoon07::buff01_lv1,8,eqp_bf22_dragoon07::buff01_effect,10	skill_1508					
469	6	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_dragoon07_02	eqp_bf22_dragoon07::buff01_lv2,9,eqp_bf22_dragoon07::buff01_effect,10	skill_1508					
470	6	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_dragoon07_03	eqp_bf22_dragoon07::buff01_lv3,10,eqp_bf22_dragoon07::buff01_effect,10	skill1510_starforge			hero_106_skill1510.mp4		buffname_eqp_bf22_dragoon07;eqp_bf22_dragoon07::buff01_effect;Lock_StarForge_Level_Rome_10
471	6	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge01_icon					
472	6	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge01_icon					
473	6	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge01_icon					
474	6	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge02_icon					
475	6	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge02_icon					
476	6	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge03_icon					
477	6	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	starforge03_icon					
478	6	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_dragoon08_01	eqp_bf22_dragoon08::buff01_lv1,8,eqp_bf22_dragoon08::buff01_effect,10	skill_1507					
479	6	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_dragoon08_02	eqp_bf22_dragoon08::buff01_lv2,9,eqp_bf22_dragoon08::buff01_effect,10	skill_1507					
480	6	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_dragoon08_03	eqp_bf22_dragoon08::buff01_lv3,10,eqp_bf22_dragoon08::buff01_effect,10	skill1509_starforge			hero_106_skill1509.mp4		buffname_eqp_bf22_dragoon08;eqp_bf22_dragoon08::buff01_effect;Lock_StarForge_Level_Rome_10
