星座ID	星座名	星痕简体描述	星座概要描述	星痕下方的展示奖励	首通奖励	首通奖励展示	通关奖励	通关奖励展示	未通关星座图	已通关星座图	地表特效	地表特效偏移	最小携带佣兵数量	关联星域星座表头	关联任务描述	挑战星痕限制时长	挑战星痕限制等级
183	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,125000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,125000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,62000;item1026,5;item105000000030,2;item2001,21000;item177000000003,4;item177000000013,2	item1000,62000;item1026,5;item105000000030,2;item2001,21000;item177000000003,4;item177000000013,2	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	90
184	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,130000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,130000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,64000;item1026,5;item105000000030,2;item2001,22000;item177000000003,4	item1000,64000;item1026,5;item105000000030,2;item2001,22000;item177000000003,4	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	90
185	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,135000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,135000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,66000;item1026,5;item105000000030,2;item2001,23000;item177000000003,4	item1000,66000;item1026,5;item105000000030,2;item2001,23000;item177000000003,4	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	90
186	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,140000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,140000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,68000;item1026,5;item105000000030,2;item2001,24000;item177000000003,4;item177000000013,2	item1000,68000;item1026,5;item105000000030,2;item2001,24000;item177000000003,4;item177000000013,2	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	90
187	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,145000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,145000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,70000;item1026,5;item105000000030,2;item2001,25000;item177000000003,4	item1000,70000;item1026,5;item105000000030,2;item2001,25000;item177000000003,4	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	90
188	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,150000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,150000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,72000;item1026,5;item105000000030,2;item2001,26000;item177000000003,4	item1000,72000;item1026,5;item105000000030,2;item2001,26000;item177000000003,4	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	90
189	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,155000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,155000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,74000;item1026,5;item105000000030,2;item2001,27000;item177000000003,4;item177000000013,2	item1000,74000;item1026,5;item105000000030,2;item2001,27000;item177000000003,4;item177000000013,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	90
190	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,160000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,160000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,76000;item1026,5;item105000000030,2;item2001,34000;item177000000003,4	item1000,76000;item1026,5;item105000000030,2;item2001,34000;item177000000003,4	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	90
191	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,165000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,165000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,78000;item1026,5;item105000000030,2;item2001,44000;item177000000003,4	item1000,78000;item1026,5;item105000000030,2;item2001,44000;item177000000003,4	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	90
192	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,170000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,170000;item105000000029,1;item105000000030,5;item177000000001,1;item177000000002,3	item1000,80000;item1026,5;item105000000030,2;item2001,54000;item177000000003,4;item177000000013,2	item1000,80000;item1026,5;item105000000030,2;item2001,54000;item177000000003,4;item177000000013,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	90
