流水	任务类型	任务参数	任务目标	任务参数2	任务目标2	显示类型	显示内容	任务描述	奖励	链接命令	链接参数	开放等级
16039	1	1550,1551,1552	3			1	3	contract_task_des_16039	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16040	1	1550,1551,1552	5			1	5	contract_task_des_16040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16041	1	1550,1551,1552	8			1	8	contract_task_des_16041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16042	1	1550,1551,1552	12			1	12	contract_task_des_16042	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16043	2	175,176	1550,1551,1552			2	175,176	contract_task_des_16043	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16044	2	179,106,109	1550,1551,1552			2	179,106,109	contract_task_des_16044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16045	1	1550,1551,1552	1			1	1	contract_task_des_16045	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16046	1	1550,1551,1552	3			1	3	contract_task_des_16046	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16047	1	1550,1551,1552	5			1	5	contract_task_des_16047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16048	1	1550,1551,1552	8			1	8	contract_task_des_16048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16049	1	1550,1551,1552	12			1	12	contract_task_des_16049	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16050	2	174,112,106	1550,1551,1552			2	174,112,106	contract_task_des_16050	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16051	2	115,180,103	1550,1551,1552			2	115,180,103	contract_task_des_16051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16052	1	1550,1551,1552	1			1	1	contract_task_des_16052	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16053	1	1550,1551,1552	3			1	3	contract_task_des_16053	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16054	1	1550,1551,1552	5			1	5	contract_task_des_16054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16055	1	1550,1551,1552	8			1	8	contract_task_des_16055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16056	1	1550,1551,1552	12			1	12	contract_task_des_16056	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16057	2	114,177,103	1550,1551,1552			2	114,177,103	contract_task_des_16057	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16058	2	110,181,109	1550,1551,1552			2	110,181,109	contract_task_des_16058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16059	1	1550,1551,1552	1			1	1	contract_task_des_16059	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16060	1	1550,1551,1552	3			1	3	contract_task_des_16060	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16061	1	1550,1551,1552	5			1	5	contract_task_des_16061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16062	1	1550,1551,1552	8			1	8	contract_task_des_16062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16063	1	1550,1551,1552	12			1	12	contract_task_des_16063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16064	2	167,126,109	1550,1551,1552			2	167,126,109	contract_task_des_16064	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16065	2	120,172,173	1550,1551,1552			2	120,172,173	contract_task_des_16065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16066	2	111,116,182	1550,1551,1552			2	111,116,182	contract_task_des_16066	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
16067	1	1550,1551,1552	1			1	1	contract_task_des_16067	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16068	1	1550,1551,1552	3			1	3	contract_task_des_16068	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16069	1	1550,1551,1552	5			1	5	contract_task_des_16069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16070	1	1550,1551,1552	8			1	8	contract_task_des_16070	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16071	1	1550,1551,1552	12			1	12	contract_task_des_16071	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16072	2	169,177,106	1550,1551,1552			2	169,177,106	contract_task_des_16072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16073	2	176,178,175	1550,1551,1552			2	176,178,175	contract_task_des_16073	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16074	2	112,117,182	1550,1551,1552			2	112,117,182	contract_task_des_16074	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
16075	1	1550,1551,1552	1			1	1	contract_task_des_16075	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16076	1	1550,1551,1552	3			1	3	contract_task_des_16076	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16077	1	1550,1551,1552	5			1	5	contract_task_des_16077	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16078	1	1550,1551,1552	8			1	8	contract_task_des_16078	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16079	1	1550,1551,1552	13			1	13	contract_task_des_16079	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16080	2	106,168,113	1550,1551,1552			2	106,168,113	contract_task_des_16080	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16081	2	115,117,127	1550,1551,1552			2	115,117,127	contract_task_des_16081	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16082	2	111,141,182	1550,1551,1552			2	111,141,182	contract_task_des_16082	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
16083	1	1550,1551,1552	1			1	1	contract_task_des_16083	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16084	1	1550,1551,1552	3			1	3	contract_task_des_16084	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16085	1	1550,1551,1552	5			1	5	contract_task_des_16085	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16086	1	1550,1551,1552	8			1	8	contract_task_des_16086	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16087	1	1550,1551,1552	14			1	14	contract_task_des_16087	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16088	2	103,115,111	1550,1551,1552			2	103,115,111	contract_task_des_16088	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16089	2	172,170,178	1550,1551,1552			2	172,170,178	contract_task_des_16089	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16090	2	173,174,182	1550,1551,1552			2	173,174,182	contract_task_des_16090	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
16091	1	1550,1551,1552	1			1	1	contract_task_des_16091	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16092	1	1550,1551,1552	3			1	3	contract_task_des_16092	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16093	1	1550,1551,1552	5			1	5	contract_task_des_16093	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16094	1	1550,1551,1552	8			1	8	contract_task_des_16094	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16095	1	1550,1551,1552	15			1	15	contract_task_des_16095	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16096	2	114,171,111	1550,1551,1552			2	114,171,111	contract_task_des_16096	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16097	2	113,116,127	1550,1551,1552			2	113,116,127	contract_task_des_16097	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16098	2	176,126,182	1550,1551,1552			2	176,126,182	contract_task_des_16098	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
26001	1	1550,1551,1552	4			1	4	contract_task_des_26001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26002	1	1550,1551,1552	15			1	15	contract_task_des_26002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26003	1	1550,1551,1552	20			1	20	contract_task_des_26003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26004	1	1550,1551,1552	25			1	25	contract_task_des_26004	item140000011024,1	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26005	3	1550,1551,1552	1			1	1	contract_task_des_26005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26006	3	1550,1551,1552	5			1	5	contract_task_des_26006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26007	3	1550,1551,1552	10			1	10	contract_task_des_26007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26008	3	1550,1551,1552	15			1	15	contract_task_des_26008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
26009	1	1553,1554,1555,1556,1557	1			1	1	contract_task_des_26009	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26010	1	1553,1554,1555,1556,1557	3			1	3	contract_task_des_26010	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26011	1	1553,1554,1555,1556,1557	5			1	5	contract_task_des_26011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26012	1	1553,1554,1555,1556,1557	8			1	8	contract_task_des_26012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26013	1	1553,1554,1555,1556,1557	12			1	12	contract_task_des_26013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26014	1	1553,1554,1555,1556,1557	16			1	16	contract_task_des_26014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26015	1	1553,1554,1555,1556,1557	20			1	20	contract_task_des_26015	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26016	1	1553,1554,1555,1556,1557	25			1	25	contract_task_des_26016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26017	1	1553,1554,1555,1556,1557	30			1	30	contract_task_des_26017	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26018	1	1553,1554,1555,1556,1557	35			1	35	contract_task_des_26018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26019	1	1553,1554,1555,1556,1557	42			1	42	contract_task_des_26019	item140000011025,1	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26020	2	201,101,104	1553,1554,1555,1556,1557			2	201,101,104	contract_task_des_26020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26021	2	205,222,210	1553,1554,1555,1556,1557			2	205,222,210	contract_task_des_26021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26022	2	209,167,268	1553,1554,1555,1556,1557			2	209,167,268	contract_task_des_26022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26023	2	214,103,270	1553,1554,1555,1556,1557			2	214,103,270	contract_task_des_26023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26024	2	213,264,168	1553,1554,1555,1556,1557			2	213,264,168	contract_task_des_26024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26025	2	211,263,169	1553,1554,1555,1556,1557			2	211,263,169	contract_task_des_26025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26026	2	203,225,170	1553,1554,1555,1556,1557			2	203,225,170	contract_task_des_26026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26027	2	206,223,171	1553,1554,1555,1556,1557			2	206,223,171	contract_task_des_26027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
26028	2	209,106,269	1553,1554,1555,1556,1557			2	209,106,269	contract_task_des_26028	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	76
26029	2	262,103,271	1553,1554,1555,1556,1557			2	262,103,271	contract_task_des_26029	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	76
26030	4	269	1553,1554,1555,1556,1557	1553,1554,1555,1556,1557	20	3	269;20	contract_task_des_26030	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1553	76
26031	4	269,271	1553,1554,1555,1556,1557	1553,1554,1555,1556,1557	45	3	269,271;45	contract_task_des_26031	item91000001575,1	LinkUI	MauDungeonActivityPanel;2;0;1553	76
26032	1	1557	32			1	32	contract_task_des_26032	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1557	0
26033	1	1557	36			1	36	contract_task_des_26033	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1557	0
26034	1	1557	40			1	40	contract_task_des_26034	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1557	0
26035	1	1557	45			1	45	contract_task_des_26035	item91000001902,1	LinkUI	MauDungeonActivityPanel;2;0;1557	0
